,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158533.43769945923,10,390,degree_solution,1,0.6496410369873047,uniform,random,False
1,1,158533.08060461885,15,423,degree_solution,1,0.6496410369873047,uniform,random,False
2,2,158545.47046470808,33,508,degree_solution,1,0.6496410369873047,uniform,random,False
3,3,158535.69445101803,20,429,degree_solution,1,0.6496410369873047,uniform,random,False
4,4,158538.60617711177,18,469,degree_solution,1,0.6496410369873047,uniform,random,False
5,5,158549.05591736568,32,616,degree_solution,1,0.6496410369873047,uniform,random,False
6,6,158545.64083197617,30,592,degree_solution,1,0.6496410369873047,uniform,random,False
7,7,158543.1674868921,36,557,degree_solution,1,0.6496410369873047,uniform,random,False
8,8,158533.15822975553,9,376,degree_solution,1,0.6496410369873047,uniform,random,False
9,9,158538.69003249373,16,373,degree_solution,1,0.6496410369873047,uniform,random,False
10,0,159388.0338386385,1696,15535,degree_solution,100,0.6614358425140381,uniform,random,False
11,1,159364.09023931695,1602,14913,degree_solution,100,0.6614358425140381,uniform,random,False
12,2,159421.85715755352,1779,15860,degree_solution,100,0.6614358425140381,uniform,random,False
13,3,159394.04239106592,1693,15636,degree_solution,100,0.6614358425140381,uniform,random,False
14,4,159387.10718634588,1702,15241,degree_solution,100,0.6614358425140381,uniform,random,False
15,5,159352.47680627485,1589,14901,degree_solution,100,0.6614358425140381,uniform,random,False
16,6,159347.43724109078,1591,15251,degree_solution,100,0.6614358425140381,uniform,random,False
17,7,159338.33064121037,1597,14990,degree_solution,100,0.6614358425140381,uniform,random,False
18,8,159358.93076829356,1618,14771,degree_solution,100,0.6614358425140381,uniform,random,False
19,9,159396.80704515142,1725,15440,degree_solution,100,0.6614358425140381,uniform,random,False
20,0,159933.7436613654,2912,23655,degree_solution,200,0.7293078899383545,uniform,random,False
21,1,160084.6720594945,3191,25031,degree_solution,200,0.7293078899383545,uniform,random,False
22,2,159979.44241449123,2946,23633,degree_solution,200,0.7293078899383545,uniform,random,False
23,3,160008.22770033465,3058,24220,degree_solution,200,0.7293078899383545,uniform,random,False
24,4,159869.02655110607,2779,23039,degree_solution,200,0.7293078899383545,uniform,random,False
