,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158432.20246282432,33,599,degree_solution,1,0.7110309600830078,polarized,random,True
1,1,158430.0822176236,34,512,degree_solution,1,0.7110309600830078,polarized,random,True
2,2,158420.90722962774,8,359,degree_solution,1,0.7110309600830078,polarized,random,True
3,3,158426.09354076057,15,389,degree_solution,1,0.7110309600830078,polarized,random,True
4,4,158440.5486269855,46,645,degree_solution,1,0.7110309600830078,polarized,random,True
5,5,158423.16748791988,10,360,degree_solution,1,0.7110309600830078,polarized,random,True
6,6,158431.4269510171,29,405,degree_solution,1,0.7110309600830078,polarized,random,True
7,7,158422.42770468406,11,362,degree_solution,1,0.7110309600830078,polarized,random,True
8,8,158427.1056800902,18,404,degree_solution,1,0.7110309600830078,polarized,random,True
9,9,158429.63167990252,21,427,degree_solution,1,0.7110309600830078,polarized,random,True
10,10,158429.7728926678,26,408,degree_solution,1,0.7110309600830078,polarized,random,True
11,11,158423.5009877186,11,406,degree_solution,1,0.7110309600830078,polarized,random,True
12,12,158422.78160655018,12,377,degree_solution,1,0.7110309600830078,polarized,random,True
13,13,158423.3822599922,13,368,degree_solution,1,0.7110309600830078,polarized,random,True
14,14,158424.63825876228,19,425,degree_solution,1,0.7110309600830078,polarized,random,True
15,15,158428.15840450575,16,384,degree_solution,1,0.7110309600830078,polarized,random,True
16,16,158427.16791953755,19,366,degree_solution,1,0.7110309600830078,polarized,random,True
17,17,158422.9119410335,14,353,degree_solution,1,0.7110309600830078,polarized,random,True
18,18,158433.95241775678,35,609,degree_solution,1,0.7110309600830078,polarized,random,True
19,19,158422.92707346697,12,388,degree_solution,1,0.7110309600830078,polarized,random,True
20,20,158421.62671505628,5,420,degree_solution,1,0.7110309600830078,polarized,random,True
21,21,158421.56917145159,10,385,degree_solution,1,0.7110309600830078,polarized,random,True
22,22,158424.9262465582,18,392,degree_solution,1,0.7110309600830078,polarized,random,True
23,23,158429.8858124671,26,449,degree_solution,1,0.7110309600830078,polarized,random,True
24,24,158426.57746128875,24,398,degree_solution,1,0.7110309600830078,polarized,random,True
25,25,158424.36760360704,15,378,degree_solution,1,0.7110309600830078,polarized,random,True
26,26,158434.6673730287,40,504,degree_solution,1,0.7110309600830078,polarized,random,True
27,27,158429.3367746023,28,531,degree_solution,1,0.7110309600830078,polarized,random,True
28,28,158430.9720510763,26,478,degree_solution,1,0.7110309600830078,polarized,random,True
29,29,158427.16150011687,25,461,degree_solution,1,0.7110309600830078,polarized,random,True
30,30,158424.2860471581,19,416,degree_solution,1,0.7110309600830078,polarized,random,True
31,31,158429.51072675394,30,468,degree_solution,1,0.7110309600830078,polarized,random,True
32,32,158426.58968061666,23,421,degree_solution,1,0.7110309600830078,polarized,random,True
33,33,158422.57359978798,9,394,degree_solution,1,0.7110309600830078,polarized,random,True
34,34,158424.94134013186,11,360,degree_solution,1,0.7110309600830078,polarized,random,True
35,35,158431.35522934305,37,502,degree_solution,1,0.7110309600830078,polarized,random,True
36,36,158424.25440387838,13,400,degree_solution,1,0.7110309600830078,polarized,random,True
37,37,158423.54459579516,9,357,degree_solution,1,0.7110309600830078,polarized,random,True
38,38,158428.8921540613,23,422,degree_solution,1,0.7110309600830078,polarized,random,True
39,39,158427.02303981665,22,467,degree_solution,1,0.7110309600830078,polarized,random,True
40,40,158424.30860301925,12,370,degree_solution,1,0.7110309600830078,polarized,random,True
41,41,158424.6844182902,12,357,degree_solution,1,0.7110309600830078,polarized,random,True
42,42,158424.36438039187,19,440,degree_solution,1,0.7110309600830078,polarized,random,True
43,43,158426.6688056549,20,499,degree_solution,1,0.7110309600830078,polarized,random,True
44,44,158425.03297514902,17,446,degree_solution,1,0.7110309600830078,polarized,random,True
45,45,158424.8062143233,22,459,degree_solution,1,0.7110309600830078,polarized,random,True
46,46,158420.84676356052,11,356,degree_solution,1,0.7110309600830078,polarized,random,True
