,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158442.85015593213,24,120,fast_LAIM_solution,1,77.76865196228027,polarized,random,False
1,1,158442.75083044334,22,120,fast_LAIM_solution,1,77.76865196228027,polarized,random,False
2,2,158444.3963792805,26,123,fast_LAIM_solution,1,77.76865196228027,polarized,random,False
3,3,158441.83249349764,23,128,fast_LAIM_solution,1,77.76865196228027,polarized,random,False
4,4,158462.10226721445,59,279,fast_LAIM_solution,1,77.76865196228027,polarized,random,False
5,5,158453.3384954829,47,155,fast_LAIM_solution,1,77.76865196228027,polarized,random,False
6,6,158447.2849108286,38,181,fast_LAIM_solution,1,77.76865196228027,polarized,random,False
7,7,158445.84937442414,34,130,fast_LAIM_solution,1,77.76865196228027,polarized,random,False
8,8,158460.95412268236,59,189,fast_LAIM_solution,1,77.76865196228027,polarized,random,False
9,9,158447.4764872539,38,143,fast_LAIM_solution,1,77.76865196228027,polarized,random,False
10,0,158811.8107928583,328,2383,fast_LAIM_solution,10,76.9343478679657,polarized,random,False
11,1,158865.26360989304,406,2689,fast_LAIM_solution,10,76.9343478679657,polarized,random,False
12,2,158823.89654788663,337,2294,fast_LAIM_solution,10,76.9343478679657,polarized,random,False
13,3,158815.69040640246,322,2287,fast_LAIM_solution,10,76.9343478679657,polarized,random,False
14,4,158827.51873191062,329,2407,fast_LAIM_solution,10,76.9343478679657,polarized,random,False
15,5,158848.86969819965,372,2616,fast_LAIM_solution,10,76.9343478679657,polarized,random,False
16,6,158831.78758832524,355,2275,fast_LAIM_solution,10,76.9343478679657,polarized,random,False
17,7,158802.623001435,311,2294,fast_LAIM_solution,10,76.9343478679657,polarized,random,False
18,8,158833.78418081388,350,2504,fast_LAIM_solution,10,76.9343478679657,polarized,random,False
19,9,158820.78700401814,316,2285,fast_LAIM_solution,10,76.9343478679657,polarized,random,False
20,0,159109.22535294626,574,3800,fast_LAIM_solution,20,77.91714906692505,polarized,random,False
21,1,159119.42778439404,598,3759,fast_LAIM_solution,20,77.91714906692505,polarized,random,False
22,2,159123.19036134565,612,4123,fast_LAIM_solution,20,77.91714906692505,polarized,random,False
23,3,159131.48192708983,633,4224,fast_LAIM_solution,20,77.91714906692505,polarized,random,False
24,4,159126.5255171169,610,3966,fast_LAIM_solution,20,77.91714906692505,polarized,random,False
25,5,159112.9109226603,607,3972,fast_LAIM_solution,20,77.91714906692505,polarized,random,False
26,6,159117.37273056904,615,4046,fast_LAIM_solution,20,77.91714906692505,polarized,random,False
27,7,159153.6940395067,671,4380,fast_LAIM_solution,20,77.91714906692505,polarized,random,False
28,8,159102.8268323784,608,3885,fast_LAIM_solution,20,77.91714906692505,polarized,random,False
29,9,159107.78453568488,594,3953,fast_LAIM_solution,20,77.91714906692505,polarized,random,False
30,0,158994.0628480103,894,5986,fast_LAIM_solution,30,77.68338203430176,polarized,random,False
31,1,158937.98681580194,855,5812,fast_LAIM_solution,30,77.68338203430176,polarized,random,False
32,2,158924.60052146655,817,5544,fast_LAIM_solution,30,77.68338203430176,polarized,random,False
33,3,159017.1425919288,1007,6294,fast_LAIM_solution,30,77.68338203430176,polarized,random,False
34,4,158915.73404595596,836,5528,fast_LAIM_solution,30,77.68338203430176,polarized,random,False
35,5,158957.54385724125,880,5829,fast_LAIM_solution,30,77.68338203430176,polarized,random,False
36,6,158992.0958081437,945,6053,fast_LAIM_solution,30,77.68338203430176,polarized,random,False
37,7,158989.64601077425,934,6194,fast_LAIM_solution,30,77.68338203430176,polarized,random,False
38,8,158984.05970589485,924,6212,fast_LAIM_solution,30,77.68338203430176,polarized,random,False
39,9,158953.02745368413,891,6185,fast_LAIM_solution,30,77.68338203430176,polarized,random,False
40,0,158949.08771106586,1195,7619,fast_LAIM_solution,40,78.64948201179504,polarized,random,False
41,1,158916.89180395013,1119,7253,fast_LAIM_solution,40,78.64948201179504,polarized,random,False
42,2,158867.61140441214,984,6847,fast_LAIM_solution,40,78.64948201179504,polarized,random,False
43,3,158907.34694089828,1141,7340,fast_LAIM_solution,40,78.64948201179504,polarized,random,False
44,4,158935.5069174923,1121,7334,fast_LAIM_solution,40,78.64948201179504,polarized,random,False
45,5,158907.55043954053,1075,7342,fast_LAIM_solution,40,78.64948201179504,polarized,random,False
46,6,158977.6855820639,1237,7961,fast_LAIM_solution,40,78.64948201179504,polarized,random,False
47,7,158993.95518242056,1253,7667,fast_LAIM_solution,40,78.64948201179504,polarized,random,False
48,8,158987.54172272043,1280,8233,fast_LAIM_solution,40,78.64948201179504,polarized,random,False
49,9,158929.74273640165,1179,7395,fast_LAIM_solution,40,78.64948201179504,polarized,random,False
50,0,159253.29837371423,1339,8774,fast_LAIM_solution,50,78.68367195129395,polarized,random,False
51,1,159243.15567172965,1335,8888,fast_LAIM_solution,50,78.68367195129395,polarized,random,False
52,2,159276.00584226885,1373,8974,fast_LAIM_solution,50,78.68367195129395,polarized,random,False
53,3,159249.87087244733,1360,8889,fast_LAIM_solution,50,78.68367195129395,polarized,random,False
54,4,159292.96434413557,1416,9336,fast_LAIM_solution,50,78.68367195129395,polarized,random,False
55,5,159233.33710563576,1343,8563,fast_LAIM_solution,50,78.68367195129395,polarized,random,False
56,6,159277.6365658056,1378,8512,fast_LAIM_solution,50,78.68367195129395,polarized,random,False
57,7,159256.6577310708,1350,8719,fast_LAIM_solution,50,78.68367195129395,polarized,random,False
58,8,159251.5299744975,1376,8779,fast_LAIM_solution,50,78.68367195129395,polarized,random,False
59,9,159339.96127963523,1464,9289,fast_LAIM_solution,50,78.68367195129395,polarized,random,False
