,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158558.97738159148,51,289,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
1,1,158548.57952479305,34,197,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
2,2,158555.1230051198,46,233,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
3,3,158549.70880637725,38,224,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
4,4,158549.46573171322,39,223,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
5,5,158552.01860365347,38,213,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
6,6,158545.89045160855,29,198,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
7,7,158546.84695742244,32,169,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
8,8,158546.4939162645,28,182,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
9,9,158562.23309558496,64,424,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
10,10,158546.02407022988,31,200,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
11,11,158549.2230068151,38,210,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
12,12,158547.44294629683,32,230,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
13,13,158543.4945642151,27,194,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
14,14,158567.7660358303,69,406,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
15,15,158539.37039559317,22,171,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
16,16,158556.9201717813,56,437,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
17,17,158546.69522874893,30,211,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
18,18,158549.16156382344,39,204,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
19,19,158552.98573517665,40,191,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
20,20,158551.30416831665,37,218,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
21,21,158549.2785633176,44,293,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
22,22,158546.50466648847,33,198,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
23,23,158546.83494949003,33,189,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
24,24,158546.9290612973,35,225,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
25,25,158550.63683032873,37,215,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
26,26,158556.80966149102,52,319,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
27,27,158550.65282306916,45,296,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
28,28,158551.62512940087,45,226,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
29,29,158543.18653618396,29,205,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
30,30,158551.26344543838,39,184,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
31,31,158547.86204797568,32,255,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
32,32,158549.20135250085,34,218,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
33,33,158552.40057943203,39,220,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
34,34,158556.79168263543,49,285,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
35,35,158548.007813608,35,190,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
36,36,158546.73900789223,30,203,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
37,37,158548.22108107462,41,268,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
38,38,158547.88923684842,32,198,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
39,39,158560.28744145037,64,389,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
40,40,158544.89951866822,32,197,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
41,41,158553.84648376395,46,237,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
42,42,158541.80908963404,24,182,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
43,43,158555.5070803116,48,307,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
44,44,158550.27461485585,38,188,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
45,45,158545.24318867284,28,201,fast_LAIM_solution,1,51.94585180282593,uniform,random,False
