,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158908.3988542314,54,397,fast_LAIM_solution,1,75.45360803604126,polarized,random,True
1,1,158901.61090367488,56,457,fast_LAIM_solution,1,75.45360803604126,polarized,random,True
2,2,158902.06532871598,50,434,fast_LAIM_solution,1,75.45360803604126,polarized,random,True
3,3,158896.62449174473,34,343,fast_LAIM_solution,1,75.45360803604126,polarized,random,True
4,4,158904.67599728084,50,378,fast_LAIM_solution,1,75.45360803604126,polarized,random,True
5,5,158904.67568151944,52,476,fast_LAIM_solution,1,75.45360803604126,polarized,random,True
6,6,158900.6698410746,56,511,fast_LAIM_solution,1,75.45360803604126,polarized,random,True
7,7,158899.62705267503,35,340,fast_LAIM_solution,1,75.45360803604126,polarized,random,True
8,8,158901.90078416085,40,332,fast_LAIM_solution,1,75.45360803604126,polarized,random,True
9,9,158896.89390378838,41,392,fast_LAIM_solution,1,75.45360803604126,polarized,random,True
10,0,159771.9552841276,315,2122,fast_LAIM_solution,10,74.99367690086365,polarized,random,True
11,1,159801.34906555517,396,2591,fast_LAIM_solution,10,74.99367690086365,polarized,random,True
12,2,159789.89599572303,336,2520,fast_LAIM_solution,10,74.99367690086365,polarized,random,True
13,3,159768.4308316923,310,2341,fast_LAIM_solution,10,74.99367690086365,polarized,random,True
14,4,159796.16514658567,361,2587,fast_LAIM_solution,10,74.99367690086365,polarized,random,True
15,5,159767.85068947953,319,2447,fast_LAIM_solution,10,74.99367690086365,polarized,random,True
16,6,159766.42146651712,307,2252,fast_LAIM_solution,10,74.99367690086365,polarized,random,True
17,7,159795.84657399508,361,2642,fast_LAIM_solution,10,74.99367690086365,polarized,random,True
18,8,159819.66945729655,418,2981,fast_LAIM_solution,10,74.99367690086365,polarized,random,True
19,9,159800.23965248975,373,2598,fast_LAIM_solution,10,74.99367690086365,polarized,random,True
20,0,163648.82723126578,588,4018,fast_LAIM_solution,20,76.2287700176239,polarized,random,True
21,1,163628.79905663725,622,4290,fast_LAIM_solution,20,76.2287700176239,polarized,random,True
22,2,163647.98342676222,653,4562,fast_LAIM_solution,20,76.2287700176239,polarized,random,True
23,3,163603.0087662188,536,3869,fast_LAIM_solution,20,76.2287700176239,polarized,random,True
24,4,163701.30770209944,704,4588,fast_LAIM_solution,20,76.2287700176239,polarized,random,True
25,5,163634.77018482794,601,3915,fast_LAIM_solution,20,76.2287700176239,polarized,random,True
26,6,163655.99520100985,654,4330,fast_LAIM_solution,20,76.2287700176239,polarized,random,True
27,7,163627.56352536115,605,4290,fast_LAIM_solution,20,76.2287700176239,polarized,random,True
28,8,163633.47707701215,629,4535,fast_LAIM_solution,20,76.2287700176239,polarized,random,True
29,9,163656.67368069594,662,4406,fast_LAIM_solution,20,76.2287700176239,polarized,random,True
30,0,163331.4662172701,971,6156,fast_LAIM_solution,30,76.52163004875183,polarized,random,True
31,1,163310.92823479587,932,6072,fast_LAIM_solution,30,76.52163004875183,polarized,random,True
32,2,163287.47866746012,872,5673,fast_LAIM_solution,30,76.52163004875183,polarized,random,True
33,3,163315.0740524102,912,5996,fast_LAIM_solution,30,76.52163004875183,polarized,random,True
