,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,159766.34909174207,53,505,fast_LAIM_solution,1,67.60591506958008,uniform,random,True
1,1,159763.37365789598,41,414,fast_LAIM_solution,1,67.60591506958008,uniform,random,True
2,2,159754.69561011525,27,337,fast_LAIM_solution,1,67.60591506958008,uniform,random,True
3,3,159758.3739269511,32,375,fast_LAIM_solution,1,67.60591506958008,uniform,random,True
4,4,159759.65395894274,37,366,fast_LAIM_solution,1,67.60591506958008,uniform,random,True
5,5,159760.99054263803,48,368,fast_LAIM_solution,1,67.60591506958008,uniform,random,True
6,6,159773.53031993244,71,686,fast_LAIM_solution,1,67.60591506958008,uniform,random,True
7,7,159758.05393781856,33,332,fast_LAIM_solution,1,67.60591506958008,uniform,random,True
8,8,159760.96210363277,42,440,fast_LAIM_solution,1,67.60591506958008,uniform,random,True
9,9,159766.86529219057,53,523,fast_LAIM_solution,1,67.60591506958008,uniform,random,True
10,0,158289.84422783085,398,2611,fast_LAIM_solution,10,66.98795294761658,uniform,random,True
11,1,158251.24991236633,324,2267,fast_LAIM_solution,10,66.98795294761658,uniform,random,True
12,2,158257.49354018582,339,2334,fast_LAIM_solution,10,66.98795294761658,uniform,random,True
13,3,158275.52659615385,402,2731,fast_LAIM_solution,10,66.98795294761658,uniform,random,True
14,4,158231.66969971868,298,2170,fast_LAIM_solution,10,66.98795294761658,uniform,random,True
15,5,158245.24097581467,324,2311,fast_LAIM_solution,10,66.98795294761658,uniform,random,True
16,6,158246.94254589148,316,2322,fast_LAIM_solution,10,66.98795294761658,uniform,random,True
17,7,158272.88173461743,364,2856,fast_LAIM_solution,10,66.98795294761658,uniform,random,True
18,8,158213.29966328948,278,2204,fast_LAIM_solution,10,66.98795294761658,uniform,random,True
19,9,158245.205646568,321,2279,fast_LAIM_solution,10,66.98795294761658,uniform,random,True
20,0,157844.66227007494,646,4163,fast_LAIM_solution,20,68.90780687332153,uniform,random,True
21,1,157812.4855353097,605,4021,fast_LAIM_solution,20,68.90780687332153,uniform,random,True
22,2,157820.11248779178,588,4060,fast_LAIM_solution,20,68.90780687332153,uniform,random,True
23,3,157797.1552444888,558,3795,fast_LAIM_solution,20,68.90780687332153,uniform,random,True
24,4,157831.47230869657,630,4259,fast_LAIM_solution,20,68.90780687332153,uniform,random,True
25,5,157821.44696692727,608,4041,fast_LAIM_solution,20,68.90780687332153,uniform,random,True
26,6,157824.32516903165,617,4145,fast_LAIM_solution,20,68.90780687332153,uniform,random,True
27,7,157881.28860736726,708,4449,fast_LAIM_solution,20,68.90780687332153,uniform,random,True
28,8,157805.6308086977,579,3893,fast_LAIM_solution,20,68.90780687332153,uniform,random,True
29,9,157850.8827522273,667,4351,fast_LAIM_solution,20,68.90780687332153,uniform,random,True
30,0,152566.4036343728,853,5591,fast_LAIM_solution,30,68.02731800079346,uniform,random,True
31,1,152545.29033887232,806,5802,fast_LAIM_solution,30,68.02731800079346,uniform,random,True
32,2,152548.63219566207,836,5680,fast_LAIM_solution,30,68.02731800079346,uniform,random,True
33,3,152610.3318906112,961,6079,fast_LAIM_solution,30,68.02731800079346,uniform,random,True
34,4,152621.22376898187,931,6155,fast_LAIM_solution,30,68.02731800079346,uniform,random,True
35,5,152584.37219093007,877,6025,fast_LAIM_solution,30,68.02731800079346,uniform,random,True
36,6,152553.4639802561,848,5420,fast_LAIM_solution,30,68.02731800079346,uniform,random,True
37,7,152608.1132078002,950,6350,fast_LAIM_solution,30,68.02731800079346,uniform,random,True
38,8,152567.04581383013,885,5976,fast_LAIM_solution,30,68.02731800079346,uniform,random,True
39,9,152627.06472257423,987,6453,fast_LAIM_solution,30,68.02731800079346,uniform,random,True
40,0,159358.22535561502,1232,8436,fast_LAIM_solution,40,70.48026275634766,uniform,random,True
41,1,159298.75391086822,1163,7721,fast_LAIM_solution,40,70.48026275634766,uniform,random,True
42,2,159321.5474633884,1145,7838,fast_LAIM_solution,40,70.48026275634766,uniform,random,True
43,3,159296.2289009149,1085,7923,fast_LAIM_solution,40,70.48026275634766,uniform,random,True
44,4,159233.86795843986,994,7346,fast_LAIM_solution,40,70.48026275634766,uniform,random,True
45,5,159340.92971454113,1177,7885,fast_LAIM_solution,40,70.48026275634766,uniform,random,True
46,6,159255.62434394078,1047,7518,fast_LAIM_solution,40,70.48026275634766,uniform,random,True
47,7,159301.5594968161,1138,7822,fast_LAIM_solution,40,70.48026275634766,uniform,random,True
48,8,159279.95000072743,1086,7453,fast_LAIM_solution,40,70.48026275634766,uniform,random,True
49,9,159279.35696608006,1098,7970,fast_LAIM_solution,40,70.48026275634766,uniform,random,True
50,0,159720.85560659473,1281,8750,fast_LAIM_solution,50,67.87694215774536,uniform,random,True
51,1,159739.70076746313,1331,8996,fast_LAIM_solution,50,67.87694215774536,uniform,random,True
52,2,159665.95874781726,1232,8683,fast_LAIM_solution,50,67.87694215774536,uniform,random,True
53,3,159688.92655650704,1295,8696,fast_LAIM_solution,50,67.87694215774536,uniform,random,True
54,4,159764.24158938453,1411,9197,fast_LAIM_solution,50,67.87694215774536,uniform,random,True
55,5,159735.39975202075,1346,9065,fast_LAIM_solution,50,67.87694215774536,uniform,random,True
56,6,159773.239949922,1410,9263,fast_LAIM_solution,50,67.87694215774536,uniform,random,True
57,7,159708.63837800134,1296,8947,fast_LAIM_solution,50,67.87694215774536,uniform,random,True
58,8,159724.9125463925,1316,8849,fast_LAIM_solution,50,67.87694215774536,uniform,random,True
59,9,159754.23352618763,1407,9299,fast_LAIM_solution,50,67.87694215774536,uniform,random,True
