,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158325.62258071708,1,2,min_opinion_solution,1,0.24824285507202148,polarized,random,False
1,1,158325.62258071708,1,2,min_opinion_solution,1,0.24824285507202148,polarized,random,False
2,2,158325.62258071708,1,2,min_opinion_solution,1,0.24824285507202148,polarized,random,False
3,3,158325.62258071708,1,2,min_opinion_solution,1,0.24824285507202148,polarized,random,False
4,4,158325.62258071708,1,2,min_opinion_solution,1,0.24824285507202148,polarized,random,False
5,5,158325.62258071708,1,2,min_opinion_solution,1,0.24824285507202148,polarized,random,False
6,6,158325.62258071708,1,2,min_opinion_solution,1,0.24824285507202148,polarized,random,False
7,7,158325.62258071708,1,2,min_opinion_solution,1,0.24824285507202148,polarized,random,False
8,8,158325.62258071708,1,2,min_opinion_solution,1,0.24824285507202148,polarized,random,False
9,9,158325.62258071708,1,2,min_opinion_solution,1,0.24824285507202148,polarized,random,False
10,0,158641.80315223683,218,1188,min_opinion_solution,100,0.24982118606567383,polarized,random,False
11,1,158601.9219786402,160,900,min_opinion_solution,100,0.24982118606567383,polarized,random,False
12,2,158632.2227058727,220,1150,min_opinion_solution,100,0.24982118606567383,polarized,random,False
13,3,158621.2101684089,187,969,min_opinion_solution,100,0.24982118606567383,polarized,random,False
14,4,158620.93595858934,186,1139,min_opinion_solution,100,0.24982118606567383,polarized,random,False
15,5,158648.20035109483,226,1124,min_opinion_solution,100,0.24982118606567383,polarized,random,False
16,6,158606.7886514739,174,962,min_opinion_solution,100,0.24982118606567383,polarized,random,False
17,7,158600.01587262927,163,1103,min_opinion_solution,100,0.24982118606567383,polarized,random,False
18,8,158618.6977371039,180,1105,min_opinion_solution,100,0.24982118606567383,polarized,random,False
19,9,158636.3462500432,216,1175,min_opinion_solution,100,0.24982118606567383,polarized,random,False
20,0,159069.37734116733,429,2252,min_opinion_solution,200,0.24782609939575195,polarized,random,False
21,1,159037.9780252536,366,2039,min_opinion_solution,200,0.24782609939575195,polarized,random,False
22,2,159041.52574436745,384,2164,min_opinion_solution,200,0.24782609939575195,polarized,random,False
23,3,159035.90549585372,358,1963,min_opinion_solution,200,0.24782609939575195,polarized,random,False
24,4,159043.58750819552,372,1987,min_opinion_solution,200,0.24782609939575195,polarized,random,False
25,5,159041.76102826628,367,1935,min_opinion_solution,200,0.24782609939575195,polarized,random,False
26,6,159045.57683435353,391,2048,min_opinion_solution,200,0.24782609939575195,polarized,random,False
27,7,159050.70168832695,377,2088,min_opinion_solution,200,0.24782609939575195,polarized,random,False
28,8,159047.4506779339,383,2143,min_opinion_solution,200,0.24782609939575195,polarized,random,False
29,9,159030.72461015015,356,2048,min_opinion_solution,200,0.24782609939575195,polarized,random,False
30,0,158939.85908124186,563,3044,min_opinion_solution,300,0.25647830963134766,polarized,random,False
31,1,158937.28785516875,579,2834,min_opinion_solution,300,0.25647830963134766,polarized,random,False
32,2,158934.9358439612,563,2900,min_opinion_solution,300,0.25647830963134766,polarized,random,False
33,3,158947.2753115271,588,3077,min_opinion_solution,300,0.25647830963134766,polarized,random,False
34,4,158956.48614281148,580,2986,min_opinion_solution,300,0.25647830963134766,polarized,random,False
35,5,158927.34144791943,544,2901,min_opinion_solution,300,0.25647830963134766,polarized,random,False
36,6,158947.02136422618,580,3017,min_opinion_solution,300,0.25647830963134766,polarized,random,False
37,7,158912.30638690948,520,2989,min_opinion_solution,300,0.25647830963134766,polarized,random,False
38,8,158942.7740056871,566,3012,min_opinion_solution,300,0.25647830963134766,polarized,random,False
39,9,158968.24206333834,612,2896,min_opinion_solution,300,0.25647830963134766,polarized,random,False
40,0,158820.01671432995,817,4231,min_opinion_solution,400,0.2520263195037842,polarized,random,False
