,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158531.49533483904,2,11,min_opinion_solution,1,0.20752215385437012,uniform,random,False
1,1,158532.86709456303,5,48,min_opinion_solution,1,0.20752215385437012,uniform,random,False
2,2,158530.70242092264,1,10,min_opinion_solution,1,0.20752215385437012,uniform,random,False
3,3,158531.49533483904,2,11,min_opinion_solution,1,0.20752215385437012,uniform,random,False
4,4,158530.70242092264,1,10,min_opinion_solution,1,0.20752215385437012,uniform,random,False
5,5,158531.49533483904,2,11,min_opinion_solution,1,0.20752215385437012,uniform,random,False
6,6,158530.70242092264,1,10,min_opinion_solution,1,0.20752215385437012,uniform,random,False
7,7,158530.70242092264,1,10,min_opinion_solution,1,0.20752215385437012,uniform,random,False
8,8,158531.49533483904,2,11,min_opinion_solution,1,0.20752215385437012,uniform,random,False
9,9,158531.49533483904,2,11,min_opinion_solution,1,0.20752215385437012,uniform,random,False
10,0,158366.06917169483,17,61,min_opinion_solution,10,0.21083331108093262,uniform,random,False
11,1,158366.02784111438,16,61,min_opinion_solution,10,0.21083331108093262,uniform,random,False
12,2,158364.38234059032,15,61,min_opinion_solution,10,0.21083331108093262,uniform,random,False
13,3,158365.2241298224,15,61,min_opinion_solution,10,0.21083331108093262,uniform,random,False
14,4,158365.83058582377,19,89,min_opinion_solution,10,0.21083331108093262,uniform,random,False
15,5,158364.7869265313,15,61,min_opinion_solution,10,0.21083331108093262,uniform,random,False
16,6,158365.59703584478,17,62,min_opinion_solution,10,0.21083331108093262,uniform,random,False
17,7,158365.28864988897,15,60,min_opinion_solution,10,0.21083331108093262,uniform,random,False
18,8,158366.7183898122,18,60,min_opinion_solution,10,0.21083331108093262,uniform,random,False
19,9,158365.79103204026,17,61,min_opinion_solution,10,0.21083331108093262,uniform,random,False
20,0,158405.7671641046,48,210,min_opinion_solution,20,0.21081876754760742,uniform,random,False
21,1,158416.17740740793,68,290,min_opinion_solution,20,0.21081876754760742,uniform,random,False
22,2,158395.97914849225,32,168,min_opinion_solution,20,0.21081876754760742,uniform,random,False
23,3,158396.38433526878,33,147,min_opinion_solution,20,0.21081876754760742,uniform,random,False
24,4,158394.588457102,27,139,min_opinion_solution,20,0.21081876754760742,uniform,random,False
25,5,158392.7338318014,24,149,min_opinion_solution,20,0.21081876754760742,uniform,random,False
26,6,158396.5722919629,32,147,min_opinion_solution,20,0.21081876754760742,uniform,random,False
27,7,158397.33083750113,33,139,min_opinion_solution,20,0.21081876754760742,uniform,random,False
28,8,158394.4359173641,26,149,min_opinion_solution,20,0.21081876754760742,uniform,random,False
29,9,158393.18279731603,25,129,min_opinion_solution,20,0.21081876754760742,uniform,random,False
30,0,158917.2401254567,80,474,min_opinion_solution,30,0.22458195686340332,uniform,random,False
31,1,158893.35263602284,41,214,min_opinion_solution,30,0.22458195686340332,uniform,random,False
32,2,158891.62326590522,41,210,min_opinion_solution,30,0.22458195686340332,uniform,random,False
33,3,158891.5988619845,38,217,min_opinion_solution,30,0.22458195686340332,uniform,random,False
34,4,158905.49642573897,58,283,min_opinion_solution,30,0.22458195686340332,uniform,random,False
35,5,158893.5399642521,42,212,min_opinion_solution,30,0.22458195686340332,uniform,random,False
36,6,158903.31122885196,54,274,min_opinion_solution,30,0.22458195686340332,uniform,random,False
37,7,158899.17802754635,51,278,min_opinion_solution,30,0.22458195686340332,uniform,random,False
38,8,158896.79912751514,47,213,min_opinion_solution,30,0.22458195686340332,uniform,random,False
39,9,158894.58160128683,44,205,min_opinion_solution,30,0.22458195686340332,uniform,random,False
40,0,158238.0190052314,57,323,min_opinion_solution,40,0.21772313117980957,uniform,random,False
41,1,158247.25524107518,81,399,min_opinion_solution,40,0.21772313117980957,uniform,random,False
42,2,158244.03161547607,69,358,min_opinion_solution,40,0.21772313117980957,uniform,random,False
43,3,158242.04036685158,66,341,min_opinion_solution,40,0.21772313117980957,uniform,random,False
44,4,158242.4358060285,66,345,min_opinion_solution,40,0.21772313117980957,uniform,random,False
45,5,158258.3153108763,87,454,min_opinion_solution,40,0.21772313117980957,uniform,random,False
46,6,158246.02787612804,77,373,min_opinion_solution,40,0.21772313117980957,uniform,random,False
47,7,158264.75589222412,105,487,min_opinion_solution,40,0.21772313117980957,uniform,random,False
48,8,158261.35075819146,101,462,min_opinion_solution,40,0.21772313117980957,uniform,random,False
49,9,158244.40382162778,66,346,min_opinion_solution,40,0.21772313117980957,uniform,random,False
50,0,158683.36060344297,102,501,min_opinion_solution,50,0.2137298583984375,uniform,random,False
51,1,158688.24177119334,108,590,min_opinion_solution,50,0.2137298583984375,uniform,random,False
52,2,158676.64624979201,92,451,min_opinion_solution,50,0.2137298583984375,uniform,random,False
53,3,158689.74169296844,109,637,min_opinion_solution,50,0.2137298583984375,uniform,random,False
54,4,158671.3810178754,79,434,min_opinion_solution,50,0.2137298583984375,uniform,random,False
55,5,158682.87707439167,103,498,min_opinion_solution,50,0.2137298583984375,uniform,random,False
56,6,158680.9769150502,101,515,min_opinion_solution,50,0.2137298583984375,uniform,random,False
57,7,158669.24854717715,79,443,min_opinion_solution,50,0.2137298583984375,uniform,random,False
58,8,158674.65773107397,84,440,min_opinion_solution,50,0.2137298583984375,uniform,random,False
59,9,158669.3866627887,80,454,min_opinion_solution,50,0.2137298583984375,uniform,random,False
