,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
1,1,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
2,2,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
3,3,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
4,4,156011.18220838666,1,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
5,5,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
6,6,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
7,7,156011.18220838666,1,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
8,8,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
9,9,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
10,10,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
11,11,156011.18220838666,1,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
12,12,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
13,13,156011.18220838666,1,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
14,14,156011.18220838666,1,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
15,15,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
16,16,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
17,17,156012.175772275,4,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
18,18,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
19,19,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
20,20,156012.175772275,4,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
21,21,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
22,22,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
23,23,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
24,24,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
25,25,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
26,26,156012.1022871994,2,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
27,27,156012.175772275,4,5,min_opinion_solution,1,0.356677770614624,polarized,random,True
