,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
1,1,159743.45841171467,2,11,min_opinion_solution,1,0.49749302864074707,uniform,random,True
2,2,159744.0275893449,4,30,min_opinion_solution,1,0.49749302864074707,uniform,random,True
3,3,159743.6829325194,3,13,min_opinion_solution,1,0.49749302864074707,uniform,random,True
4,4,159743.53935008444,2,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
5,5,159742.890018603,2,12,min_opinion_solution,1,0.49749302864074707,uniform,random,True
6,6,159747.08248469522,7,83,min_opinion_solution,1,0.49749302864074707,uniform,random,True
7,7,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
8,8,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
9,9,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
10,10,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
11,11,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
12,12,159743.76387088918,3,12,min_opinion_solution,1,0.49749302864074707,uniform,random,True
13,13,159742.890018603,2,12,min_opinion_solution,1,0.49749302864074707,uniform,random,True
14,14,159743.3337211206,2,15,min_opinion_solution,1,0.49749302864074707,uniform,random,True
15,15,159743.53935008444,2,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
16,16,159743.64975943867,2,70,min_opinion_solution,1,0.49749302864074707,uniform,random,True
17,17,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
18,18,159744.126635037,3,16,min_opinion_solution,1,0.49749302864074707,uniform,random,True
19,19,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
20,20,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
21,21,159743.45841171467,2,11,min_opinion_solution,1,0.49749302864074707,uniform,random,True
22,22,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
23,23,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
24,24,159743.45841171467,2,11,min_opinion_solution,1,0.49749302864074707,uniform,random,True
25,25,159743.53935008444,2,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
26,26,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
27,27,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
28,28,159743.53935008444,2,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
29,29,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
30,30,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
31,31,159743.45841171467,2,11,min_opinion_solution,1,0.49749302864074707,uniform,random,True
32,32,159745.47737270797,5,54,min_opinion_solution,1,0.49749302864074707,uniform,random,True
33,33,159743.45841171467,2,11,min_opinion_solution,1,0.49749302864074707,uniform,random,True
34,34,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
35,35,159743.3337211206,2,15,min_opinion_solution,1,0.49749302864074707,uniform,random,True
36,36,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
37,37,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
38,38,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
39,39,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
40,40,159743.53935008444,2,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
41,41,159743.45841171467,2,11,min_opinion_solution,1,0.49749302864074707,uniform,random,True
42,42,159743.53935008444,2,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
43,43,159748.11521773567,9,94,min_opinion_solution,1,0.49749302864074707,uniform,random,True
44,44,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
45,45,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
46,46,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
47,47,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
48,48,159744.20757340675,3,15,min_opinion_solution,1,0.49749302864074707,uniform,random,True
49,49,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
50,50,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
51,51,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
52,52,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
53,53,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
54,54,159743.53935008444,2,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
55,55,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
56,56,159742.66549779827,1,10,min_opinion_solution,1,0.49749302864074707,uniform,random,True
