,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158532.83063382475,4,265,opinion_degree_solution,1,18.054306983947754,uniform,random,False
1,1,158537.52454966807,14,339,opinion_degree_solution,1,18.054306983947754,uniform,random,False
2,2,158548.05424013836,29,493,opinion_degree_solution,1,18.054306983947754,uniform,random,False
3,3,158537.80441360356,13,303,opinion_degree_solution,1,18.054306983947754,uniform,random,False
4,4,158532.38157978276,5,270,opinion_degree_solution,1,18.054306983947754,uniform,random,False
5,5,158533.5219930237,5,302,opinion_degree_solution,1,18.054306983947754,uniform,random,False
6,6,158536.0598414515,8,298,opinion_degree_solution,1,18.054306983947754,uniform,random,False
7,7,158532.40971682864,3,274,opinion_degree_solution,1,18.054306983947754,uniform,random,False
8,8,158532.8588509434,5,266,opinion_degree_solution,1,18.054306983947754,uniform,random,False
9,9,158532.32164441983,3,269,opinion_degree_solution,1,18.054306983947754,uniform,random,False
10,10,158534.0261811964,6,291,opinion_degree_solution,1,18.054306983947754,uniform,random,False
11,11,158534.05498398896,6,271,opinion_degree_solution,1,18.054306983947754,uniform,random,False
12,12,158533.39951571164,8,360,opinion_degree_solution,1,18.054306983947754,uniform,random,False
13,13,158538.11826366148,18,371,opinion_degree_solution,1,18.054306983947754,uniform,random,False
14,14,158534.25204068414,6,310,opinion_degree_solution,1,18.054306983947754,uniform,random,False
15,15,158534.6786296271,7,297,opinion_degree_solution,1,18.054306983947754,uniform,random,False
16,16,158544.83956251404,25,404,opinion_degree_solution,1,18.054306983947754,uniform,random,False
17,17,158534.52851970246,6,278,opinion_degree_solution,1,18.054306983947754,uniform,random,False
18,18,158534.6971354935,6,298,opinion_degree_solution,1,18.054306983947754,uniform,random,False
19,19,158534.69825997856,7,294,opinion_degree_solution,1,18.054306983947754,uniform,random,False
20,20,158537.78363293433,12,305,opinion_degree_solution,1,18.054306983947754,uniform,random,False
21,21,158533.14151269014,5,265,opinion_degree_solution,1,18.054306983947754,uniform,random,False
22,22,158538.98635320461,15,315,opinion_degree_solution,1,18.054306983947754,uniform,random,False
23,23,158543.6556631723,23,331,opinion_degree_solution,1,18.054306983947754,uniform,random,False
24,24,158531.9430130563,4,265,opinion_degree_solution,1,18.054306983947754,uniform,random,False
25,25,158534.31803332662,7,275,opinion_degree_solution,1,18.054306983947754,uniform,random,False
26,26,158537.70577607365,17,320,opinion_degree_solution,1,18.054306983947754,uniform,random,False
27,27,158534.7186272038,8,279,opinion_degree_solution,1,18.054306983947754,uniform,random,False
28,28,158538.19725353725,14,323,opinion_degree_solution,1,18.054306983947754,uniform,random,False
29,29,158534.4604684912,6,289,opinion_degree_solution,1,18.054306983947754,uniform,random,False
30,30,158539.69920668146,21,327,opinion_degree_solution,1,18.054306983947754,uniform,random,False
31,31,158542.1446182124,25,366,opinion_degree_solution,1,18.054306983947754,uniform,random,False
32,32,158540.46234842602,16,349,opinion_degree_solution,1,18.054306983947754,uniform,random,False
33,33,158531.33359096438,3,265,opinion_degree_solution,1,18.054306983947754,uniform,random,False
34,34,158531.50591048718,3,265,opinion_degree_solution,1,18.054306983947754,uniform,random,False
35,35,158538.83292537407,14,312,opinion_degree_solution,1,18.054306983947754,uniform,random,False
36,36,158534.03506881604,9,275,opinion_degree_solution,1,18.054306983947754,uniform,random,False
37,37,158536.22233950024,11,281,opinion_degree_solution,1,18.054306983947754,uniform,random,False
38,38,158536.59837206802,10,335,opinion_degree_solution,1,18.054306983947754,uniform,random,False
39,39,158532.78490247106,4,271,opinion_degree_solution,1,18.054306983947754,uniform,random,False
40,40,158534.663666908,6,300,opinion_degree_solution,1,18.054306983947754,uniform,random,False
41,41,158533.8420601638,6,300,opinion_degree_solution,1,18.054306983947754,uniform,random,False
42,42,158535.26615290003,8,275,opinion_degree_solution,1,18.054306983947754,uniform,random,False
43,43,158532.1572899435,4,265,opinion_degree_solution,1,18.054306983947754,uniform,random,False
44,44,158534.2558042801,5,314,opinion_degree_solution,1,18.054306983947754,uniform,random,False
45,45,158533.0728594885,5,270,opinion_degree_solution,1,18.054306983947754,uniform,random,False
46,46,158531.31009037982,2,265,opinion_degree_solution,1,18.054306983947754,uniform,random,False
47,47,158535.6412569321,9,309,opinion_degree_solution,1,18.054306983947754,uniform,random,False
