,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,158172.96513898743,39,372,opinion_degree_solution,1,15.289442777633667,polarized,random,True
1,1,158158.56132895817,12,232,opinion_degree_solution,1,15.289442777633667,polarized,random,True
2,2,158176.3952546855,38,443,opinion_degree_solution,1,15.289442777633667,polarized,random,True
3,3,158158.75520401655,15,255,opinion_degree_solution,1,15.289442777633667,polarized,random,True
4,4,158163.00689492226,16,246,opinion_degree_solution,1,15.289442777633667,polarized,random,True
5,5,158162.36099109708,18,231,opinion_degree_solution,1,15.289442777633667,polarized,random,True
6,6,158168.0161116546,28,273,opinion_degree_solution,1,15.289442777633667,polarized,random,True
7,7,158179.93159837453,58,443,opinion_degree_solution,1,15.289442777633667,polarized,random,True
8,8,158159.00213561064,12,233,opinion_degree_solution,1,15.289442777633667,polarized,random,True
9,9,158161.61734250622,18,237,opinion_degree_solution,1,15.289442777633667,polarized,random,True
10,10,158170.8372574568,34,329,opinion_degree_solution,1,15.289442777633667,polarized,random,True
11,11,158167.05553253982,28,275,opinion_degree_solution,1,15.289442777633667,polarized,random,True
12,12,158188.77559681216,73,586,opinion_degree_solution,1,15.289442777633667,polarized,random,True
13,13,158169.44076235048,41,376,opinion_degree_solution,1,15.289442777633667,polarized,random,True
14,14,158160.11239221852,12,244,opinion_degree_solution,1,15.289442777633667,polarized,random,True
15,15,158159.46512298225,14,240,opinion_degree_solution,1,15.289442777633667,polarized,random,True
16,16,158162.75843985417,16,243,opinion_degree_solution,1,15.289442777633667,polarized,random,True
17,17,158175.78042188703,37,383,opinion_degree_solution,1,15.289442777633667,polarized,random,True
18,18,158166.41878667206,21,268,opinion_degree_solution,1,15.289442777633667,polarized,random,True
19,19,158161.9890672588,16,236,opinion_degree_solution,1,15.289442777633667,polarized,random,True
20,20,158164.81006736142,23,257,opinion_degree_solution,1,15.289442777633667,polarized,random,True
21,21,158186.4873416487,54,377,opinion_degree_solution,1,15.289442777633667,polarized,random,True
22,22,158170.96088281486,32,391,opinion_degree_solution,1,15.289442777633667,polarized,random,True
23,23,158166.85882238587,23,291,opinion_degree_solution,1,15.289442777633667,polarized,random,True
24,24,158169.4988204095,33,278,opinion_degree_solution,1,15.289442777633667,polarized,random,True
25,25,158171.5976658657,38,289,opinion_degree_solution,1,15.289442777633667,polarized,random,True
26,26,158166.55732750925,23,302,opinion_degree_solution,1,15.289442777633667,polarized,random,True
27,27,158169.04030841248,30,368,opinion_degree_solution,1,15.289442777633667,polarized,random,True
28,28,158161.62809308144,16,259,opinion_degree_solution,1,15.289442777633667,polarized,random,True
29,29,158164.92561228274,24,248,opinion_degree_solution,1,15.289442777633667,polarized,random,True
30,30,158171.71195662112,36,331,opinion_degree_solution,1,15.289442777633667,polarized,random,True
31,31,158163.06930205642,17,253,opinion_degree_solution,1,15.289442777633667,polarized,random,True
32,32,158169.86266335016,26,297,opinion_degree_solution,1,15.289442777633667,polarized,random,True
33,33,158178.37220037458,55,448,opinion_degree_solution,1,15.289442777633667,polarized,random,True
34,34,158168.40602638616,26,330,opinion_degree_solution,1,15.289442777633667,polarized,random,True
35,35,158186.87731827956,63,525,opinion_degree_solution,1,15.289442777633667,polarized,random,True
36,36,158185.12312929888,51,346,opinion_degree_solution,1,15.289442777633667,polarized,random,True
37,37,158164.83253450153,24,243,opinion_degree_solution,1,15.289442777633667,polarized,random,True
38,38,158176.4211414983,57,468,opinion_degree_solution,1,15.289442777633667,polarized,random,True
39,39,158163.2141346991,21,249,opinion_degree_solution,1,15.289442777633667,polarized,random,True
40,40,158181.44035397182,48,425,opinion_degree_solution,1,15.289442777633667,polarized,random,True
41,41,158161.2935576313,18,262,opinion_degree_solution,1,15.289442777633667,polarized,random,True
42,42,158161.22939760084,16,242,opinion_degree_solution,1,15.289442777633667,polarized,random,True
43,43,158155.61806725847,10,230,opinion_degree_solution,1,15.289442777633667,polarized,random,True
44,44,158160.95661040026,18,255,opinion_degree_solution,1,15.289442777633667,polarized,random,True
45,45,158165.94243107244,30,323,opinion_degree_solution,1,15.289442777633667,polarized,random,True
46,46,158166.30115315833,31,338,opinion_degree_solution,1,15.289442777633667,polarized,random,True
47,47,158163.9881769519,23,257,opinion_degree_solution,1,15.289442777633667,polarized,random,True
48,48,158171.76881195107,35,390,opinion_degree_solution,1,15.289442777633667,polarized,random,True
49,49,158176.0619925124,41,336,opinion_degree_solution,1,15.289442777633667,polarized,random,True
50,50,158165.86466124136,27,296,opinion_degree_solution,1,15.289442777633667,polarized,random,True
51,51,158173.64076791683,37,330,opinion_degree_solution,1,15.289442777633667,polarized,random,True
52,52,158172.2936734342,36,307,opinion_degree_solution,1,15.289442777633667,polarized,random,True
53,53,158164.15741372612,21,277,opinion_degree_solution,1,15.289442777633667,polarized,random,True
54,54,158160.6592909399,17,245,opinion_degree_solution,1,15.289442777633667,polarized,random,True
55,55,158167.0640277572,28,281,opinion_degree_solution,1,15.289442777633667,polarized,random,True
56,56,158157.5868483679,9,228,opinion_degree_solution,1,15.289442777633667,polarized,random,True
57,57,158172.18004818,34,306,opinion_degree_solution,1,15.289442777633667,polarized,random,True
58,58,158173.25160577896,31,300,opinion_degree_solution,1,15.289442777633667,polarized,random,True
59,59,158164.9367234287,25,288,opinion_degree_solution,1,15.289442777633667,polarized,random,True
60,60,158155.2202144957,8,234,opinion_degree_solution,1,15.289442777633667,polarized,random,True
61,61,158160.8022119427,20,241,opinion_degree_solution,1,15.289442777633667,polarized,random,True
62,62,158174.6792813719,38,310,opinion_degree_solution,1,15.289442777633667,polarized,random,True
63,63,158168.66652584574,27,274,opinion_degree_solution,1,15.289442777633667,polarized,random,True
64,64,158169.42145896776,29,272,opinion_degree_solution,1,15.289442777633667,polarized,random,True
65,65,158170.03749415075,35,286,opinion_degree_solution,1,15.289442777633667,polarized,random,True
66,66,158170.17318699943,30,294,opinion_degree_solution,1,15.289442777633667,polarized,random,True
67,67,158193.65339669233,62,459,opinion_degree_solution,1,15.289442777633667,polarized,random,True
68,68,158171.51378781436,34,327,opinion_degree_solution,1,15.289442777633667,polarized,random,True
69,69,158171.28238646654,24,262,opinion_degree_solution,1,15.289442777633667,polarized,random,True
70,70,158166.42703482774,21,292,opinion_degree_solution,1,15.289442777633667,polarized,random,True
71,71,158160.86759317733,15,249,opinion_degree_solution,1,15.289442777633667,polarized,random,True
