,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,159750.14807393178,10,185,opinion_degree_solution,1,19.487494230270386,uniform,random,True
1,1,159767.3409912373,48,575,opinion_degree_solution,1,19.487494230270386,uniform,random,True
2,2,159751.97353479126,14,246,opinion_degree_solution,1,19.487494230270386,uniform,random,True
3,3,159745.85568748083,6,211,opinion_degree_solution,1,19.487494230270386,uniform,random,True
4,4,159752.71465490037,17,270,opinion_degree_solution,1,19.487494230270386,uniform,random,True
5,5,159748.49566933504,13,219,opinion_degree_solution,1,19.487494230270386,uniform,random,True
6,6,159745.7733516384,6,217,opinion_degree_solution,1,19.487494230270386,uniform,random,True
7,7,159745.71425419077,5,183,opinion_degree_solution,1,19.487494230270386,uniform,random,True
8,8,159748.56304986987,9,184,opinion_degree_solution,1,19.487494230270386,uniform,random,True
9,9,159748.91507181388,11,197,opinion_degree_solution,1,19.487494230270386,uniform,random,True
10,0,158176.47949099296,153,2246,opinion_degree_solution,10,19.487422227859497,uniform,random,True
11,1,158211.40886476258,209,2510,opinion_degree_solution,10,19.487422227859497,uniform,random,True
12,2,158211.56817755368,213,2387,opinion_degree_solution,10,19.487422227859497,uniform,random,True
13,3,158192.37716975756,187,2408,opinion_degree_solution,10,19.487422227859497,uniform,random,True
14,4,158186.8279771503,169,2271,opinion_degree_solution,10,19.487422227859497,uniform,random,True
15,5,158185.88750165462,176,2250,opinion_degree_solution,10,19.487422227859497,uniform,random,True
16,6,158207.3113263307,221,2555,opinion_degree_solution,10,19.487422227859497,uniform,random,True
17,7,158197.0676766604,184,2468,opinion_degree_solution,10,19.487422227859497,uniform,random,True
18,8,158247.98600361572,288,3196,opinion_degree_solution,10,19.487422227859497,uniform,random,True
19,9,158187.14240030444,168,2227,opinion_degree_solution,10,19.487422227859497,uniform,random,True
20,0,157681.068891574,304,3667,opinion_degree_solution,20,19.637506008148193,uniform,random,True
21,1,157720.345106336,356,3835,opinion_degree_solution,20,19.637506008148193,uniform,random,True
22,2,157685.36227419338,301,3513,opinion_degree_solution,20,19.637506008148193,uniform,random,True
23,3,157701.37606354183,341,3989,opinion_degree_solution,20,19.637506008148193,uniform,random,True
24,4,157732.73443641813,394,3677,opinion_degree_solution,20,19.637506008148193,uniform,random,True
25,5,157735.1983540813,377,4084,opinion_degree_solution,20,19.637506008148193,uniform,random,True
26,6,157720.23420044867,369,4070,opinion_degree_solution,20,19.637506008148193,uniform,random,True
27,7,157660.8715050222,257,3415,opinion_degree_solution,20,19.637506008148193,uniform,random,True
28,8,157691.53098327105,312,3382,opinion_degree_solution,20,19.637506008148193,uniform,random,True
29,9,157678.57100797104,303,3698,opinion_degree_solution,20,19.637506008148193,uniform,random,True
30,0,152387.5111155051,441,5053,opinion_degree_solution,30,16.678170204162598,uniform,random,True
31,1,152432.0273460271,498,5381,opinion_degree_solution,30,16.678170204162598,uniform,random,True
32,2,152435.5268200738,513,5520,opinion_degree_solution,30,16.678170204162598,uniform,random,True
33,3,152427.45008177578,509,5362,opinion_degree_solution,30,16.678170204162598,uniform,random,True
34,4,152430.39519573693,510,5616,opinion_degree_solution,30,16.678170204162598,uniform,random,True
35,5,152481.65637490855,593,5934,opinion_degree_solution,30,16.678170204162598,uniform,random,True
36,6,152400.3692625279,460,5195,opinion_degree_solution,30,16.678170204162598,uniform,random,True
37,7,152446.60350885734,555,5865,opinion_degree_solution,30,16.678170204162598,uniform,random,True
38,8,152376.1624226248,430,5020,opinion_degree_solution,30,16.678170204162598,uniform,random,True
39,9,152443.72346697949,535,5326,opinion_degree_solution,30,16.678170204162598,uniform,random,True
40,0,159064.14187751195,522,5816,opinion_degree_solution,40,16.659706115722656,uniform,random,True
41,1,159088.39722785915,574,6103,opinion_degree_solution,40,16.659706115722656,uniform,random,True
42,2,159024.480732863,460,5468,opinion_degree_solution,40,16.659706115722656,uniform,random,True
43,3,159057.15959955083,528,5579,opinion_degree_solution,40,16.659706115722656,uniform,random,True
44,4,159091.2499314202,574,6008,opinion_degree_solution,40,16.659706115722656,uniform,random,True
45,5,159037.9252500448,486,5636,opinion_degree_solution,40,16.659706115722656,uniform,random,True
46,6,159042.01947431455,478,5586,opinion_degree_solution,40,16.659706115722656,uniform,random,True
47,7,159039.5069455047,505,5755,opinion_degree_solution,40,16.659706115722656,uniform,random,True
48,8,159036.2257812753,461,5626,opinion_degree_solution,40,16.659706115722656,uniform,random,True
49,9,159088.73278494112,573,6080,opinion_degree_solution,40,16.659706115722656,uniform,random,True
50,0,159417.82953106682,640,6894,opinion_degree_solution,50,16.864679098129272,uniform,random,True
51,1,159514.6023495013,818,7602,opinion_degree_solution,50,16.864679098129272,uniform,random,True
52,2,159466.967964103,750,7268,opinion_degree_solution,50,16.864679098129272,uniform,random,True
53,3,159506.08935316914,815,7362,opinion_degree_solution,50,16.864679098129272,uniform,random,True
54,4,159424.9194635841,689,6844,opinion_degree_solution,50,16.864679098129272,uniform,random,True
55,5,159408.36751109603,644,6562,opinion_degree_solution,50,16.864679098129272,uniform,random,True
56,6,159454.01602539886,717,7224,opinion_degree_solution,50,16.864679098129272,uniform,random,True
57,7,159472.28568762724,750,7246,opinion_degree_solution,50,16.864679098129272,uniform,random,True
58,8,159460.06561302202,739,7469,opinion_degree_solution,50,16.864679098129272,uniform,random,True
59,9,159410.54446398036,636,6927,opinion_degree_solution,50,16.864679098129272,uniform,random,True
