,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,510.69344109613616,1,41,TIM_plus_solution,1,34.04302787780762,polarized,random,False
1,1,510.9125538577688,4,94,TIM_plus_solution,1,34.04302787780762,polarized,random,False
2,2,511.36535670869426,3,64,TIM_plus_solution,1,34.04302787780762,polarized,random,False
3,3,511.442403122204,3,65,TIM_plus_solution,1,34.04302787780762,polarized,random,False
4,4,512.4317606764652,3,69,TIM_plus_solution,1,34.04302787780762,polarized,random,False
5,5,510.69344109613616,1,41,TIM_plus_solution,1,34.04302787780762,polarized,random,False
6,6,512.1706849801405,3,61,TIM_plus_solution,1,34.04302787780762,polarized,random,False
7,7,510.69344109613616,1,41,TIM_plus_solution,1,34.04302787780762,polarized,random,False
8,8,510.69344109613616,1,41,TIM_plus_solution,1,34.04302787780762,polarized,random,False
9,9,510.69344109613616,1,41,TIM_plus_solution,1,34.04302787780762,polarized,random,False
10,0,528.6690952773448,33,502,TIM_plus_solution,10,18.938254833221436,polarized,random,False
11,1,532.9997042122482,49,550,TIM_plus_solution,10,18.938254833221436,polarized,random,False
12,2,535.1277611597469,57,599,TIM_plus_solution,10,18.938254833221436,polarized,random,False
13,3,527.4147094030354,44,607,TIM_plus_solution,10,18.938254833221436,polarized,random,False
14,4,536.6561418445713,51,544,TIM_plus_solution,10,18.938254833221436,polarized,random,False
15,5,535.8624152601916,44,509,TIM_plus_solution,10,18.938254833221436,polarized,random,False
16,6,539.78378210247,54,593,TIM_plus_solution,10,18.938254833221436,polarized,random,False
17,7,536.7670769250186,51,582,TIM_plus_solution,10,18.938254833221436,polarized,random,False
18,8,522.3738921824109,25,465,TIM_plus_solution,10,18.938254833221436,polarized,random,False
19,9,532.9370360310686,42,523,TIM_plus_solution,10,18.938254833221436,polarized,random,False
20,0,547.5066426771536,67,581,TIM_plus_solution,20,21.841445207595825,polarized,random,False
21,1,551.4150633331378,75,623,TIM_plus_solution,20,21.841445207595825,polarized,random,False
22,2,540.8746139282963,51,548,TIM_plus_solution,20,21.841445207595825,polarized,random,False
23,3,541.5218452454302,66,592,TIM_plus_solution,20,21.841445207595825,polarized,random,False
24,4,544.9996594296905,65,630,TIM_plus_solution,20,21.841445207595825,polarized,random,False
25,5,556.5641479506926,82,630,TIM_plus_solution,20,21.841445207595825,polarized,random,False
26,6,548.7105383875968,75,619,TIM_plus_solution,20,21.841445207595825,polarized,random,False
27,7,554.267684263167,81,682,TIM_plus_solution,20,21.841445207595825,polarized,random,False
28,8,547.0367653038318,67,639,TIM_plus_solution,20,21.841445207595825,polarized,random,False
29,9,547.9200339224948,58,569,TIM_plus_solution,20,21.841445207595825,polarized,random,False
30,0,543.6452912167699,73,620,TIM_plus_solution,30,21.932317972183228,polarized,random,False
31,1,560.1566416390525,92,672,TIM_plus_solution,30,21.932317972183228,polarized,random,False
32,2,547.053667432465,78,606,TIM_plus_solution,30,21.932317972183228,polarized,random,False
33,3,550.4327197967415,80,665,TIM_plus_solution,30,21.932317972183228,polarized,random,False
34,4,555.4991423664209,89,674,TIM_plus_solution,30,21.932317972183228,polarized,random,False
35,5,560.4240909225708,108,711,TIM_plus_solution,30,21.932317972183228,polarized,random,False
36,6,552.4324592563497,85,645,TIM_plus_solution,30,21.932317972183228,polarized,random,False
37,7,543.4406187648187,67,582,TIM_plus_solution,30,21.932317972183228,polarized,random,False
38,8,550.4399456363498,91,690,TIM_plus_solution,30,21.932317972183228,polarized,random,False
39,9,539.6700166730265,62,584,TIM_plus_solution,30,21.932317972183228,polarized,random,False
40,0,578.0235020996182,133,709,TIM_plus_solution,40,25.78766179084778,polarized,random,False
41,1,579.0225330161701,137,720,TIM_plus_solution,40,25.78766179084778,polarized,random,False
42,2,569.5958321173613,107,690,TIM_plus_solution,40,25.78766179084778,polarized,random,False
43,3,566.18955922747,103,681,TIM_plus_solution,40,25.78766179084778,polarized,random,False
44,4,567.9956087220963,112,714,TIM_plus_solution,40,25.78766179084778,polarized,random,False
45,5,580.8049107833214,130,739,TIM_plus_solution,40,25.78766179084778,polarized,random,False
46,6,560.2822728235323,89,629,TIM_plus_solution,40,25.78766179084778,polarized,random,False
47,7,569.0303807952787,112,680,TIM_plus_solution,40,25.78766179084778,polarized,random,False
48,8,563.0086910770926,98,704,TIM_plus_solution,40,25.78766179084778,polarized,random,False
49,9,571.2808865242143,110,661,TIM_plus_solution,40,25.78766179084778,polarized,random,False
50,0,578.7950883880962,131,730,TIM_plus_solution,50,28.823404788970947,polarized,random,False
51,1,580.1051022519745,145,750,TIM_plus_solution,50,28.823404788970947,polarized,random,False
52,2,573.1598602935501,120,694,TIM_plus_solution,50,28.823404788970947,polarized,random,False
53,3,565.1713667095596,118,718,TIM_plus_solution,50,28.823404788970947,polarized,random,False
54,4,577.8831174103544,129,709,TIM_plus_solution,50,28.823404788970947,polarized,random,False
55,5,576.525900157162,128,736,TIM_plus_solution,50,28.823404788970947,polarized,random,False
56,6,572.8245178659079,144,756,TIM_plus_solution,50,28.823404788970947,polarized,random,False
57,7,574.9411719387477,130,673,TIM_plus_solution,50,28.823404788970947,polarized,random,False
58,8,572.7151737060825,128,752,TIM_plus_solution,50,28.823404788970947,polarized,random,False
59,9,571.9667325859691,127,703,TIM_plus_solution,50,28.823404788970947,polarized,random,False
