,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,504.48186420970563,4,97,TIM_plus_solution,1,17.644433975219727,uniform,random,False
1,1,503.2717174702697,2,67,TIM_plus_solution,1,17.644433975219727,uniform,random,False
2,2,504.09312040566016,6,113,TIM_plus_solution,1,17.644433975219727,uniform,random,False
3,3,505.08759763071197,4,67,TIM_plus_solution,1,17.644433975219727,uniform,random,False
4,4,504.3505190142508,3,84,TIM_plus_solution,1,17.644433975219727,uniform,random,False
5,5,502.56264188958727,1,41,TIM_plus_solution,1,17.644433975219727,uniform,random,False
6,6,503.2915436795793,2,58,TIM_plus_solution,1,17.644433975219727,uniform,random,False
7,7,503.89559195694557,3,71,TIM_plus_solution,1,17.644433975219727,uniform,random,False
8,8,503.56187342045865,2,125,TIM_plus_solution,1,17.644433975219727,uniform,random,False
9,9,503.6842186687083,4,94,TIM_plus_solution,1,17.644433975219727,uniform,random,False
10,0,538.3076915848133,51,625,TIM_plus_solution,10,8.255100011825562,uniform,random,False
11,1,537.3984143434869,50,581,TIM_plus_solution,10,8.255100011825562,uniform,random,False
12,2,523.6585709126244,28,496,TIM_plus_solution,10,8.255100011825562,uniform,random,False
13,3,531.4677331942961,36,532,TIM_plus_solution,10,8.255100011825562,uniform,random,False
14,4,534.0388829021146,42,538,TIM_plus_solution,10,8.255100011825562,uniform,random,False
15,5,525.4124903641389,27,476,TIM_plus_solution,10,8.255100011825562,uniform,random,False
16,6,529.0312692317958,36,506,TIM_plus_solution,10,8.255100011825562,uniform,random,False
17,7,529.2866157992027,35,507,TIM_plus_solution,10,8.255100011825562,uniform,random,False
18,8,531.2714153123023,41,504,TIM_plus_solution,10,8.255100011825562,uniform,random,False
19,9,548.394175152787,72,619,TIM_plus_solution,10,8.255100011825562,uniform,random,False
20,0,533.870593169515,66,610,TIM_plus_solution,20,8.90812611579895,uniform,random,False
21,1,531.4673238460131,66,597,TIM_plus_solution,20,8.90812611579895,uniform,random,False
22,2,538.6627577372334,76,659,TIM_plus_solution,20,8.90812611579895,uniform,random,False
23,3,537.8214185523204,81,666,TIM_plus_solution,20,8.90812611579895,uniform,random,False
24,4,531.7817923178914,74,630,TIM_plus_solution,20,8.90812611579895,uniform,random,False
25,5,550.5959325762151,99,710,TIM_plus_solution,20,8.90812611579895,uniform,random,False
26,6,534.3397818307232,67,638,TIM_plus_solution,20,8.90812611579895,uniform,random,False
27,7,541.5213690464273,79,630,TIM_plus_solution,20,8.90812611579895,uniform,random,False
28,8,549.0625603985718,99,741,TIM_plus_solution,20,8.90812611579895,uniform,random,False
29,9,527.9620384048683,58,606,TIM_plus_solution,20,8.90812611579895,uniform,random,False
30,0,550.6387170017558,75,577,TIM_plus_solution,30,10.153873920440674,uniform,random,False
31,1,559.5623792731789,96,692,TIM_plus_solution,30,10.153873920440674,uniform,random,False
32,2,557.8658795622641,87,651,TIM_plus_solution,30,10.153873920440674,uniform,random,False
33,3,558.2461553617311,92,613,TIM_plus_solution,30,10.153873920440674,uniform,random,False
34,4,553.2649416215568,73,611,TIM_plus_solution,30,10.153873920440674,uniform,random,False
35,5,562.0327597647781,99,636,TIM_plus_solution,30,10.153873920440674,uniform,random,False
36,6,563.2044462234747,111,722,TIM_plus_solution,30,10.153873920440674,uniform,random,False
37,7,557.4879892301714,81,609,TIM_plus_solution,30,10.153873920440674,uniform,random,False
38,8,559.5311638826929,88,671,TIM_plus_solution,30,10.153873920440674,uniform,random,False
39,9,563.5464437266437,100,676,TIM_plus_solution,30,10.153873920440674,uniform,random,False
40,0,552.8920178062442,109,715,TIM_plus_solution,40,11.705882787704468,uniform,random,False
41,1,555.2312929916055,105,672,TIM_plus_solution,40,11.705882787704468,uniform,random,False
42,2,555.9421491053726,109,687,TIM_plus_solution,40,11.705882787704468,uniform,random,False
43,3,549.0122317087809,93,667,TIM_plus_solution,40,11.705882787704468,uniform,random,False
44,4,557.2387009841906,107,684,TIM_plus_solution,40,11.705882787704468,uniform,random,False
45,5,549.7331379649869,93,639,TIM_plus_solution,40,11.705882787704468,uniform,random,False
46,6,552.1182658642607,99,690,TIM_plus_solution,40,11.705882787704468,uniform,random,False
47,7,555.1181761174436,111,715,TIM_plus_solution,40,11.705882787704468,uniform,random,False
48,8,552.5653977375626,100,671,TIM_plus_solution,40,11.705882787704468,uniform,random,False
49,9,565.242684673518,130,674,TIM_plus_solution,40,11.705882787704468,uniform,random,False
50,0,581.3789974539516,139,744,TIM_plus_solution,50,14.943080186843872,uniform,random,False
51,1,576.3207601798066,141,713,TIM_plus_solution,50,14.943080186843872,uniform,random,False
52,2,567.772741651085,113,695,TIM_plus_solution,50,14.943080186843872,uniform,random,False
53,3,576.6369993499762,132,737,TIM_plus_solution,50,14.943080186843872,uniform,random,False
54,4,591.2729162018856,157,777,TIM_plus_solution,50,14.943080186843872,uniform,random,False
55,5,569.42399184038,120,692,TIM_plus_solution,50,14.943080186843872,uniform,random,False
56,6,581.577785646254,140,754,TIM_plus_solution,50,14.943080186843872,uniform,random,False
57,7,585.11811467499,147,720,TIM_plus_solution,50,14.943080186843872,uniform,random,False
58,8,588.6712964779139,149,759,TIM_plus_solution,50,14.943080186843872,uniform,random,False
59,9,578.6117701316049,146,748,TIM_plus_solution,50,14.943080186843872,uniform,random,False
