,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,563.9724227682234,4,82,TIM_plus_solution,1,38.2688992023468,polarized,random,True
1,1,564.542187472903,2,66,TIM_plus_solution,1,38.2688992023468,polarized,random,True
2,2,563.9715087185408,1,41,TIM_plus_solution,1,38.2688992023468,polarized,random,True
3,3,563.9715087185408,1,41,TIM_plus_solution,1,38.2688992023468,polarized,random,True
4,4,564.9433305629477,4,134,TIM_plus_solution,1,38.2688992023468,polarized,random,True
5,5,564.542187472903,2,70,TIM_plus_solution,1,38.2688992023468,polarized,random,True
6,6,564.9081134903881,3,70,TIM_plus_solution,1,38.2688992023468,polarized,random,True
7,7,567.5758567935795,16,245,TIM_plus_solution,1,38.2688992023468,polarized,random,True
8,8,566.3757697191771,5,112,TIM_plus_solution,1,38.2688992023468,polarized,random,True
9,9,564.542187472903,2,48,TIM_plus_solution,1,38.2688992023468,polarized,random,True
10,0,504.3636576678185,26,487,TIM_plus_solution,10,17.081274271011353,polarized,random,True
11,1,501.06275659800724,24,493,TIM_plus_solution,10,17.081274271011353,polarized,random,True
12,2,510.52078855373577,36,584,TIM_plus_solution,10,17.081274271011353,polarized,random,True
13,3,508.8429689535631,34,534,TIM_plus_solution,10,17.081274271011353,polarized,random,True
14,4,514.0226942348169,40,532,TIM_plus_solution,10,17.081274271011353,polarized,random,True
15,5,506.4546783862318,27,529,TIM_plus_solution,10,17.081274271011353,polarized,random,True
16,6,504.4665812659697,34,563,TIM_plus_solution,10,17.081274271011353,polarized,random,True
17,7,500.4156114769526,22,505,TIM_plus_solution,10,17.081274271011353,polarized,random,True
18,8,509.96150250317845,32,519,TIM_plus_solution,10,17.081274271011353,polarized,random,True
19,9,504.97210589868735,30,533,TIM_plus_solution,10,17.081274271011353,polarized,random,True
20,0,536.4866997920388,84,668,TIM_plus_solution,20,17.884240865707397,polarized,random,True
21,1,541.1385340695138,80,606,TIM_plus_solution,20,17.884240865707397,polarized,random,True
22,2,535.9245874152175,78,642,TIM_plus_solution,20,17.884240865707397,polarized,random,True
23,3,526.259818797445,75,649,TIM_plus_solution,20,17.884240865707397,polarized,random,True
24,4,526.4431934087689,58,609,TIM_plus_solution,20,17.884240865707397,polarized,random,True
25,5,527.4791935592402,67,605,TIM_plus_solution,20,17.884240865707397,polarized,random,True
26,6,530.0740158812755,72,643,TIM_plus_solution,20,17.884240865707397,polarized,random,True
27,7,535.5154137643606,79,627,TIM_plus_solution,20,17.884240865707397,polarized,random,True
28,8,527.6913178761109,60,571,TIM_plus_solution,20,17.884240865707397,polarized,random,True
29,9,534.0190166428415,58,601,TIM_plus_solution,20,17.884240865707397,polarized,random,True
30,0,532.2063792962911,99,679,TIM_plus_solution,30,23.851734161376953,polarized,random,True
31,1,520.512474223051,82,629,TIM_plus_solution,30,23.851734161376953,polarized,random,True
32,2,520.0969970032742,80,639,TIM_plus_solution,30,23.851734161376953,polarized,random,True
33,3,526.1424715310334,89,622,TIM_plus_solution,30,23.851734161376953,polarized,random,True
34,4,530.1622614711534,90,657,TIM_plus_solution,30,23.851734161376953,polarized,random,True
35,5,529.4812363605529,101,650,TIM_plus_solution,30,23.851734161376953,polarized,random,True
36,6,521.2086022767152,93,675,TIM_plus_solution,30,23.851734161376953,polarized,random,True
37,7,530.6162465488477,110,707,TIM_plus_solution,30,23.851734161376953,polarized,random,True
38,8,531.3996802639348,97,659,TIM_plus_solution,30,23.851734161376953,polarized,random,True
39,9,535.8173480287095,97,688,TIM_plus_solution,30,23.851734161376953,polarized,random,True
40,0,471.4019127649605,121,728,TIM_plus_solution,40,25.556446313858032,polarized,random,True
41,1,464.7113627252671,104,683,TIM_plus_solution,40,25.556446313858032,polarized,random,True
42,2,471.96378645929906,110,674,TIM_plus_solution,40,25.556446313858032,polarized,random,True
43,3,466.2464257213998,108,703,TIM_plus_solution,40,25.556446313858032,polarized,random,True
44,4,474.07450620303797,118,692,TIM_plus_solution,40,25.556446313858032,polarized,random,True
45,5,468.9262955502142,104,670,TIM_plus_solution,40,25.556446313858032,polarized,random,True
46,6,476.28479008633366,121,701,TIM_plus_solution,40,25.556446313858032,polarized,random,True
47,7,463.0376199110485,106,686,TIM_plus_solution,40,25.556446313858032,polarized,random,True
48,8,458.73834149949,97,654,TIM_plus_solution,40,25.556446313858032,polarized,random,True
49,9,476.86308968899687,121,695,TIM_plus_solution,40,25.556446313858032,polarized,random,True
50,0,506.7332389640681,124,689,TIM_plus_solution,50,28.913037061691284,polarized,random,True
51,1,512.4391520463489,120,745,TIM_plus_solution,50,28.913037061691284,polarized,random,True
52,2,527.8511871281158,170,765,TIM_plus_solution,50,28.913037061691284,polarized,random,True
53,3,503.05484896976463,124,737,TIM_plus_solution,50,28.913037061691284,polarized,random,True
54,4,515.8675086367272,135,704,TIM_plus_solution,50,28.913037061691284,polarized,random,True
55,5,521.6889441210508,146,758,TIM_plus_solution,50,28.913037061691284,polarized,random,True
56,6,523.050242329524,139,746,TIM_plus_solution,50,28.913037061691284,polarized,random,True
57,7,511.47781606726363,129,702,TIM_plus_solution,50,28.913037061691284,polarized,random,True
58,8,517.0568739784895,143,725,TIM_plus_solution,50,28.913037061691284,polarized,random,True
59,9,519.4223891301682,139,765,TIM_plus_solution,50,28.913037061691284,polarized,random,True
