,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,534.976521052087,4,352,TIM_plus_solution,1,15.218901872634888,uniform,random,True
1,1,542.3952089365835,17,433,TIM_plus_solution,1,15.218901872634888,uniform,random,True
2,2,542.0306939459985,14,407,TIM_plus_solution,1,15.218901872634888,uniform,random,True
3,3,541.546282931521,14,403,TIM_plus_solution,1,15.218901872634888,uniform,random,True
4,4,535.4209526644286,5,339,TIM_plus_solution,1,15.218901872634888,uniform,random,True
5,5,538.2272558453082,8,381,TIM_plus_solution,1,15.218901872634888,uniform,random,True
6,6,538.0494996559574,8,410,TIM_plus_solution,1,15.218901872634888,uniform,random,True
7,7,537.033845774238,10,399,TIM_plus_solution,1,15.218901872634888,uniform,random,True
8,8,536.3761300902022,6,350,TIM_plus_solution,1,15.218901872634888,uniform,random,True
9,9,536.339156345158,6,366,TIM_plus_solution,1,15.218901872634888,uniform,random,True
10,10,535.6214753619807,5,344,TIM_plus_solution,1,15.218901872634888,uniform,random,True
11,11,536.1755769905628,5,370,TIM_plus_solution,1,15.218901872634888,uniform,random,True
12,12,535.6530827560681,5,387,TIM_plus_solution,1,15.218901872634888,uniform,random,True
13,13,536.1692620172681,6,344,TIM_plus_solution,1,15.218901872634888,uniform,random,True
14,14,539.5205038037362,12,377,TIM_plus_solution,1,15.218901872634888,uniform,random,True
15,15,538.1888781327852,10,396,TIM_plus_solution,1,15.218901872634888,uniform,random,True
16,16,537.9893938962628,10,392,TIM_plus_solution,1,15.218901872634888,uniform,random,True
17,17,539.2171242424123,11,438,TIM_plus_solution,1,15.218901872634888,uniform,random,True
18,18,540.7741222664362,16,428,TIM_plus_solution,1,15.218901872634888,uniform,random,True
19,19,534.2977888938722,3,342,TIM_plus_solution,1,15.218901872634888,uniform,random,True
20,20,536.0729584643375,7,376,TIM_plus_solution,1,15.218901872634888,uniform,random,True
21,21,547.6116310660497,23,467,TIM_plus_solution,1,15.218901872634888,uniform,random,True
22,22,542.8682331552018,19,435,TIM_plus_solution,1,15.218901872634888,uniform,random,True
23,23,541.4766305178533,12,433,TIM_plus_solution,1,15.218901872634888,uniform,random,True
24,24,542.3598881362054,15,415,TIM_plus_solution,1,15.218901872634888,uniform,random,True
25,25,534.5670716413653,4,354,TIM_plus_solution,1,15.218901872634888,uniform,random,True
26,26,540.0861568777011,12,402,TIM_plus_solution,1,15.218901872634888,uniform,random,True
27,27,536.6261291845126,8,371,TIM_plus_solution,1,15.218901872634888,uniform,random,True
28,28,537.8011094078694,11,396,TIM_plus_solution,1,15.218901872634888,uniform,random,True
29,29,540.708260656708,12,378,TIM_plus_solution,1,15.218901872634888,uniform,random,True
30,30,541.6983058315623,15,398,TIM_plus_solution,1,15.218901872634888,uniform,random,True
31,31,537.4934967659984,7,391,TIM_plus_solution,1,15.218901872634888,uniform,random,True
32,32,535.7911874674096,5,360,TIM_plus_solution,1,15.218901872634888,uniform,random,True
33,33,535.5504455208444,5,339,TIM_plus_solution,1,15.218901872634888,uniform,random,True
34,34,539.2705601276934,10,392,TIM_plus_solution,1,15.218901872634888,uniform,random,True
35,35,539.0898978335224,12,423,TIM_plus_solution,1,15.218901872634888,uniform,random,True
36,36,538.4128085607781,9,371,TIM_plus_solution,1,15.218901872634888,uniform,random,True
37,37,548.4108476480529,26,519,TIM_plus_solution,1,15.218901872634888,uniform,random,True
38,38,542.279851559627,15,454,TIM_plus_solution,1,15.218901872634888,uniform,random,True
39,39,533.983877121937,2,336,TIM_plus_solution,1,15.218901872634888,uniform,random,True
40,40,542.6800717981077,16,406,TIM_plus_solution,1,15.218901872634888,uniform,random,True
41,41,539.1456007743061,13,430,TIM_plus_solution,1,15.218901872634888,uniform,random,True
42,42,535.5504455208444,5,344,TIM_plus_solution,1,15.218901872634888,uniform,random,True
43,43,540.3426393016333,14,438,TIM_plus_solution,1,15.218901872634888,uniform,random,True
44,44,538.014073639364,8,343,TIM_plus_solution,1,15.218901872634888,uniform,random,True
