,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,503.3636110147879,27,547,degree_solution,1,0.0021829605102539062,polarized,random,False
1,1,492.9381478483175,6,381,degree_solution,1,0.0021829605102539062,polarized,random,False
2,2,491.2441559709423,4,360,degree_solution,1,0.0021829605102539062,polarized,random,False
3,3,504.75956624471615,23,503,degree_solution,1,0.0021829605102539062,polarized,random,False
4,4,491.8807482208635,4,378,degree_solution,1,0.0021829605102539062,polarized,random,False
5,5,495.17347589109295,9,357,degree_solution,1,0.0021829605102539062,polarized,random,False
6,6,497.09062193253334,10,387,degree_solution,1,0.0021829605102539062,polarized,random,False
7,7,499.05127645709734,18,455,degree_solution,1,0.0021829605102539062,polarized,random,False
8,8,498.8109792656038,13,424,degree_solution,1,0.0021829605102539062,polarized,random,False
9,9,491.6120643058205,4,347,degree_solution,1,0.0021829605102539062,polarized,random,False
10,10,494.78461717916383,11,387,degree_solution,1,0.0021829605102539062,polarized,random,False
11,11,495.033606528545,10,380,degree_solution,1,0.0021829605102539062,polarized,random,False
12,12,493.35003349867276,6,363,degree_solution,1,0.0021829605102539062,polarized,random,False
13,13,493.6348389277796,8,345,degree_solution,1,0.0021829605102539062,polarized,random,False
14,14,493.23859951856775,6,371,degree_solution,1,0.0021829605102539062,polarized,random,False
15,15,502.65870227069973,19,442,degree_solution,1,0.0021829605102539062,polarized,random,False
16,16,494.1336265263274,8,408,degree_solution,1,0.0021829605102539062,polarized,random,False
17,17,491.0187206113728,3,342,degree_solution,1,0.0021829605102539062,polarized,random,False
18,18,494.2397554905794,11,363,degree_solution,1,0.0021829605102539062,polarized,random,False
19,19,495.45286112534257,10,412,degree_solution,1,0.0021829605102539062,polarized,random,False
20,20,492.3756455173384,7,388,degree_solution,1,0.0021829605102539062,polarized,random,False
21,21,501.6826090036913,22,474,degree_solution,1,0.0021829605102539062,polarized,random,False
22,22,497.56726178034984,16,448,degree_solution,1,0.0021829605102539062,polarized,random,False
23,23,501.2132999525485,17,450,degree_solution,1,0.0021829605102539062,polarized,random,False
24,24,492.0468468378456,5,356,degree_solution,1,0.0021829605102539062,polarized,random,False
25,25,492.99179820813094,6,376,degree_solution,1,0.0021829605102539062,polarized,random,False
26,26,496.4373140918023,12,415,degree_solution,1,0.0021829605102539062,polarized,random,False
27,27,501.8851641347013,17,425,degree_solution,1,0.0021829605102539062,polarized,random,False
28,28,498.9504826673734,13,436,degree_solution,1,0.0021829605102539062,polarized,random,False
29,29,502.3446576257557,19,501,degree_solution,1,0.0021829605102539062,polarized,random,False
30,30,499.51380455057716,16,509,degree_solution,1,0.0021829605102539062,polarized,random,False
31,31,493.75282081481663,7,355,degree_solution,1,0.0021829605102539062,polarized,random,False
32,32,489.4051057052165,1,334,degree_solution,1,0.0021829605102539062,polarized,random,False
33,33,501.05052476410174,18,473,degree_solution,1,0.0021829605102539062,polarized,random,False
34,34,506.6520649871524,28,526,degree_solution,1,0.0021829605102539062,polarized,random,False
35,35,491.69969233627035,4,338,degree_solution,1,0.0021829605102539062,polarized,random,False
36,36,492.7216814923726,6,354,degree_solution,1,0.0021829605102539062,polarized,random,False
37,37,494.47400401671905,9,376,degree_solution,1,0.0021829605102539062,polarized,random,False
38,38,499.7355945197655,17,421,degree_solution,1,0.0021829605102539062,polarized,random,False
39,39,500.49793711953254,15,461,degree_solution,1,0.0021829605102539062,polarized,random,False
40,40,495.754548011326,11,400,degree_solution,1,0.0021829605102539062,polarized,random,False
41,41,505.8391409730618,32,488,degree_solution,1,0.0021829605102539062,polarized,random,False
42,42,498.01331459401194,15,452,degree_solution,1,0.0021829605102539062,polarized,random,False
