,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,558.6567992696848,6,381,degree_solution,1,0.002856016159057617,polarized,random,True
1,1,558.1425106252675,9,366,degree_solution,1,0.002856016159057617,polarized,random,True
2,2,561.76930759494,15,403,degree_solution,1,0.002856016159057617,polarized,random,True
3,3,559.4502629304627,8,350,degree_solution,1,0.002856016159057617,polarized,random,True
4,4,559.5774937990897,9,379,degree_solution,1,0.002856016159057617,polarized,random,True
5,5,568.8610689242842,25,502,degree_solution,1,0.002856016159057617,polarized,random,True
6,6,565.6347459648663,18,427,degree_solution,1,0.002856016159057617,polarized,random,True
7,7,561.5139928336499,13,438,degree_solution,1,0.002856016159057617,polarized,random,True
8,8,562.3516585740166,20,485,degree_solution,1,0.002856016159057617,polarized,random,True
9,9,556.9292745201834,5,357,degree_solution,1,0.002856016159057617,polarized,random,True
10,10,559.5068615005779,13,418,degree_solution,1,0.002856016159057617,polarized,random,True
11,11,560.2639192683137,8,356,degree_solution,1,0.002856016159057617,polarized,random,True
12,12,563.2322772296428,16,415,degree_solution,1,0.002856016159057617,polarized,random,True
13,13,568.0466854360847,32,514,degree_solution,1,0.002856016159057617,polarized,random,True
14,14,558.0698070996327,9,360,degree_solution,1,0.002856016159057617,polarized,random,True
15,15,562.763509416447,15,422,degree_solution,1,0.002856016159057617,polarized,random,True
16,16,558.9851384379373,9,349,degree_solution,1,0.002856016159057617,polarized,random,True
17,17,561.8424041776684,10,401,degree_solution,1,0.002856016159057617,polarized,random,True
18,18,557.6469079002907,8,370,degree_solution,1,0.002856016159057617,polarized,random,True
19,19,561.6911571496665,15,445,degree_solution,1,0.002856016159057617,polarized,random,True
20,20,566.293103025012,20,480,degree_solution,1,0.002856016159057617,polarized,random,True
21,21,558.0450821065796,6,339,degree_solution,1,0.002856016159057617,polarized,random,True
22,22,572.6716226478227,25,490,degree_solution,1,0.002856016159057617,polarized,random,True
23,23,559.6447023461174,7,402,degree_solution,1,0.002856016159057617,polarized,random,True
24,24,563.823420797735,25,474,degree_solution,1,0.002856016159057617,polarized,random,True
25,25,561.9998398364978,21,499,degree_solution,1,0.002856016159057617,polarized,random,True
26,26,563.1414912842745,10,381,degree_solution,1,0.002856016159057617,polarized,random,True
27,27,558.8110863966422,8,356,degree_solution,1,0.002856016159057617,polarized,random,True
28,28,565.7787560048581,17,440,degree_solution,1,0.002856016159057617,polarized,random,True
29,29,569.7834865434919,29,504,degree_solution,1,0.002856016159057617,polarized,random,True
30,30,559.6129492995867,9,383,degree_solution,1,0.002856016159057617,polarized,random,True
31,31,557.7921277032357,11,421,degree_solution,1,0.002856016159057617,polarized,random,True
32,32,560.8556112679173,12,397,degree_solution,1,0.002856016159057617,polarized,random,True
33,33,565.8698496801035,17,403,degree_solution,1,0.002856016159057617,polarized,random,True
34,34,557.8613643032671,5,352,degree_solution,1,0.002856016159057617,polarized,random,True
35,35,557.0946338777991,8,391,degree_solution,1,0.002856016159057617,polarized,random,True
36,36,561.1444469951498,15,386,degree_solution,1,0.002856016159057617,polarized,random,True
37,37,559.3221297504246,9,371,degree_solution,1,0.002856016159057617,polarized,random,True
38,38,558.4043242666694,6,349,degree_solution,1,0.002856016159057617,polarized,random,True
39,39,560.2221313259442,16,463,degree_solution,1,0.002856016159057617,polarized,random,True
40,40,559.6240454044918,12,431,degree_solution,1,0.002856016159057617,polarized,random,True
41,41,564.2706631148124,15,436,degree_solution,1,0.002856016159057617,polarized,random,True
42,42,558.5679117681835,7,378,degree_solution,1,0.002856016159057617,polarized,random,True
43,43,558.4719389692592,7,364,degree_solution,1,0.002856016159057617,polarized,random,True
44,44,559.6248556308853,12,430,degree_solution,1,0.002856016159057617,polarized,random,True
45,45,559.8629824433572,13,435,degree_solution,1,0.002856016159057617,polarized,random,True
46,46,569.3816129850507,33,532,degree_solution,1,0.002856016159057617,polarized,random,True
47,47,557.8489343719441,5,343,degree_solution,1,0.002856016159057617,polarized,random,True
48,48,566.9301959797255,32,541,degree_solution,1,0.002856016159057617,polarized,random,True
49,49,558.2464126183021,7,361,degree_solution,1,0.002856016159057617,polarized,random,True
50,50,557.6119576314599,10,379,degree_solution,1,0.002856016159057617,polarized,random,True
51,51,564.2553357153297,17,458,degree_solution,1,0.002856016159057617,polarized,random,True
52,52,559.288144007106,10,457,degree_solution,1,0.002856016159057617,polarized,random,True
53,53,561.7963024250765,12,397,degree_solution,1,0.002856016159057617,polarized,random,True
54,54,560.6411457224684,7,368,degree_solution,1,0.002856016159057617,polarized,random,True
55,55,558.1702877131182,6,360,degree_solution,1,0.002856016159057617,polarized,random,True
56,56,560.3000945387961,13,396,degree_solution,1,0.002856016159057617,polarized,random,True
57,57,560.5733085684367,12,390,degree_solution,1,0.002856016159057617,polarized,random,True
58,58,560.9278580345264,10,382,degree_solution,1,0.002856016159057617,polarized,random,True
59,59,568.0092113412636,17,474,degree_solution,1,0.002856016159057617,polarized,random,True
60,60,563.0831858406673,26,486,degree_solution,1,0.002856016159057617,polarized,random,True
61,61,559.2615701400459,9,371,degree_solution,1,0.002856016159057617,polarized,random,True
62,62,559.6938558491665,19,454,degree_solution,1,0.002856016159057617,polarized,random,True
63,63,569.7298709059045,18,495,degree_solution,1,0.002856016159057617,polarized,random,True
64,64,556.9647411904638,5,345,degree_solution,1,0.002856016159057617,polarized,random,True
65,65,562.8511538702268,16,398,degree_solution,1,0.002856016159057617,polarized,random,True
66,66,559.8061430495601,13,442,degree_solution,1,0.002856016159057617,polarized,random,True
67,67,558.9153914716868,8,387,degree_solution,1,0.002856016159057617,polarized,random,True
68,68,559.9826768959413,8,353,degree_solution,1,0.002856016159057617,polarized,random,True
69,69,560.5938484495795,23,461,degree_solution,1,0.002856016159057617,polarized,random,True
70,70,560.4814861091771,7,357,degree_solution,1,0.002856016159057617,polarized,random,True
71,71,559.8517043487765,10,384,degree_solution,1,0.002856016159057617,polarized,random,True
72,72,560.6898364825371,8,373,degree_solution,1,0.002856016159057617,polarized,random,True
73,73,559.9156994988076,15,465,degree_solution,1,0.002856016159057617,polarized,random,True
74,74,559.2507517383233,10,383,degree_solution,1,0.002856016159057617,polarized,random,True
75,75,560.7298422371712,14,385,degree_solution,1,0.002856016159057617,polarized,random,True
76,76,558.7170801598872,7,378,degree_solution,1,0.002856016159057617,polarized,random,True
77,77,561.4922174351021,16,473,degree_solution,1,0.002856016159057617,polarized,random,True
78,78,558.7254364747218,9,374,degree_solution,1,0.002856016159057617,polarized,random,True
79,79,562.3064802921388,19,434,degree_solution,1,0.002856016159057617,polarized,random,True
80,80,561.102239926799,13,437,degree_solution,1,0.002856016159057617,polarized,random,True
81,81,558.0476865277634,6,359,degree_solution,1,0.002856016159057617,polarized,random,True
