,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,508.7974290174346,12,407,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
1,1,502.0909080762794,2,340,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
2,2,514.967753912916,24,474,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
3,3,509.07562185924104,15,417,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
4,4,515.6609549993925,25,506,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
5,5,505.25994328001866,7,374,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
6,6,506.7556425437296,11,407,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
7,7,506.2212407426899,9,356,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
8,8,503.8311540427687,9,384,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
9,9,503.9409165702044,11,413,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
10,10,510.91191186539317,26,495,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
11,11,509.49994754461846,20,423,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
12,12,507.1883191848272,7,358,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
13,13,504.5369861578786,7,344,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
14,14,503.2769119503348,6,380,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
15,15,511.96831925624195,19,467,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
16,16,506.8284426472279,15,426,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
17,17,505.8394647709232,6,341,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
18,18,506.36363648747727,11,386,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
19,19,503.7517009323126,6,348,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
20,20,508.43167963423207,14,399,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
21,21,513.3078320031834,31,520,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
22,22,508.3294061395691,18,432,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
23,23,510.5129698847569,15,440,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
24,24,511.7832813310011,21,477,fast_LAIM_solution,1,1.9693350791931152,polarized,random,False
