,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,512.539078299502,22,472,fast_LAIM_solution,1,1.1220180988311768,uniform,random,False
1,1,508.674066271782,13,420,fast_LAIM_solution,1,1.1220180988311768,uniform,random,False
2,2,507.9825182021453,13,443,fast_LAIM_solution,1,1.1220180988311768,uniform,random,False
3,3,508.22569611927935,16,457,fast_LAIM_solution,1,1.1220180988311768,uniform,random,False
4,4,515.3235703248799,26,491,fast_LAIM_solution,1,1.1220180988311768,uniform,random,False
5,5,515.8457945484238,24,495,fast_LAIM_solution,1,1.1220180988311768,uniform,random,False
6,6,506.45844184201314,12,401,fast_LAIM_solution,1,1.1220180988311768,uniform,random,False
7,7,510.6017122585491,17,454,fast_LAIM_solution,1,1.1220180988311768,uniform,random,False
8,8,507.4784710865846,13,384,fast_LAIM_solution,1,1.1220180988311768,uniform,random,False
9,9,511.9492763234249,19,466,fast_LAIM_solution,1,1.1220180988311768,uniform,random,False
10,0,561.7477170884142,93,748,fast_LAIM_solution,10,1.130552053451538,uniform,random,False
11,1,554.65579915362,94,771,fast_LAIM_solution,10,1.130552053451538,uniform,random,False
12,2,559.6065904323231,93,748,fast_LAIM_solution,10,1.130552053451538,uniform,random,False
13,3,550.6319149037987,77,709,fast_LAIM_solution,10,1.130552053451538,uniform,random,False
14,4,554.7098991662214,83,742,fast_LAIM_solution,10,1.130552053451538,uniform,random,False
15,5,547.679511269546,66,722,fast_LAIM_solution,10,1.130552053451538,uniform,random,False
16,6,551.9521473139949,83,734,fast_LAIM_solution,10,1.130552053451538,uniform,random,False
17,7,547.1489765465775,77,711,fast_LAIM_solution,10,1.130552053451538,uniform,random,False
18,8,556.519300260315,89,725,fast_LAIM_solution,10,1.130552053451538,uniform,random,False
19,9,556.7288727312767,86,744,fast_LAIM_solution,10,1.130552053451538,uniform,random,False
20,0,562.4530469210644,133,824,fast_LAIM_solution,20,1.1561977863311768,uniform,random,False
21,1,571.0659251709714,143,828,fast_LAIM_solution,20,1.1561977863311768,uniform,random,False
22,2,564.8298574866114,129,812,fast_LAIM_solution,20,1.1561977863311768,uniform,random,False
23,3,570.0294654176606,137,820,fast_LAIM_solution,20,1.1561977863311768,uniform,random,False
24,4,563.8852067576038,126,828,fast_LAIM_solution,20,1.1561977863311768,uniform,random,False
25,5,564.1583385583016,129,814,fast_LAIM_solution,20,1.1561977863311768,uniform,random,False
26,6,567.4870441653718,132,820,fast_LAIM_solution,20,1.1561977863311768,uniform,random,False
27,7,573.6714734726786,137,821,fast_LAIM_solution,20,1.1561977863311768,uniform,random,False
28,8,568.6936754274261,143,796,fast_LAIM_solution,20,1.1561977863311768,uniform,random,False
29,9,550.9341004185843,111,799,fast_LAIM_solution,20,1.1561977863311768,uniform,random,False
30,0,577.9762328792103,146,839,fast_LAIM_solution,30,0.9890761375427246,uniform,random,False
31,1,570.3799887698368,135,844,fast_LAIM_solution,30,0.9890761375427246,uniform,random,False
32,2,583.2589567669752,155,836,fast_LAIM_solution,30,0.9890761375427246,uniform,random,False
33,3,587.10972601318,173,842,fast_LAIM_solution,30,0.9890761375427246,uniform,random,False
34,4,595.2650900997027,189,865,fast_LAIM_solution,30,0.9890761375427246,uniform,random,False
35,5,571.0308351651961,136,825,fast_LAIM_solution,30,0.9890761375427246,uniform,random,False
36,6,592.7057005878877,173,866,fast_LAIM_solution,30,0.9890761375427246,uniform,random,False
37,7,584.3534511847207,157,834,fast_LAIM_solution,30,0.9890761375427246,uniform,random,False
38,8,585.2282667387345,164,843,fast_LAIM_solution,30,0.9890761375427246,uniform,random,False
39,9,575.8195997558533,147,840,fast_LAIM_solution,30,0.9890761375427246,uniform,random,False
40,0,612.3521293862309,216,878,fast_LAIM_solution,40,0.9835569858551025,uniform,random,False
41,1,619.24220461101,227,883,fast_LAIM_solution,40,0.9835569858551025,uniform,random,False
42,2,598.9561659429137,189,856,fast_LAIM_solution,40,0.9835569858551025,uniform,random,False
43,3,603.2679583853205,190,857,fast_LAIM_solution,40,0.9835569858551025,uniform,random,False
44,4,613.260151761671,211,874,fast_LAIM_solution,40,0.9835569858551025,uniform,random,False
45,5,600.523708316993,200,872,fast_LAIM_solution,40,0.9835569858551025,uniform,random,False
46,6,599.593928893927,195,863,fast_LAIM_solution,40,0.9835569858551025,uniform,random,False
47,7,602.2378861697014,185,868,fast_LAIM_solution,40,0.9835569858551025,uniform,random,False
48,8,595.4582921200042,196,881,fast_LAIM_solution,40,0.9835569858551025,uniform,random,False
49,9,604.2042705372708,202,881,fast_LAIM_solution,40,0.9835569858551025,uniform,random,False
50,0,631.8571945075113,241,888,fast_LAIM_solution,50,0.9757781028747559,uniform,random,False
51,1,617.4140641604928,210,881,fast_LAIM_solution,50,0.9757781028747559,uniform,random,False
52,2,621.4133150342581,223,883,fast_LAIM_solution,50,0.9757781028747559,uniform,random,False
53,3,637.3375016749843,261,895,fast_LAIM_solution,50,0.9757781028747559,uniform,random,False
54,4,641.3615680164656,257,890,fast_LAIM_solution,50,0.9757781028747559,uniform,random,False
55,5,630.8575239482003,239,887,fast_LAIM_solution,50,0.9757781028747559,uniform,random,False
56,6,613.1015923818265,208,887,fast_LAIM_solution,50,0.9757781028747559,uniform,random,False
57,7,624.2358092179043,221,890,fast_LAIM_solution,50,0.9757781028747559,uniform,random,False
58,8,620.610503778149,222,893,fast_LAIM_solution,50,0.9757781028747559,uniform,random,False
59,9,625.5093988751387,231,887,fast_LAIM_solution,50,0.9757781028747559,uniform,random,False
