,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,535.6108664520898,7,360,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
1,1,537.2439913329584,10,392,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
2,2,536.6911074451682,6,385,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
3,3,538.8971803229813,11,381,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
4,4,541.0542841139907,15,426,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
5,5,544.6171632016393,23,484,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
6,6,541.8874636569087,14,404,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
7,7,538.7965803277866,11,395,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
8,8,548.2411224007004,28,482,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
9,9,539.3521678414086,12,395,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
10,10,540.8464087598439,13,387,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
11,11,542.6046410577734,14,385,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
12,12,543.5667996452114,24,514,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
13,13,540.2956769417682,15,465,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
14,14,547.6962137433572,28,506,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
15,15,538.7988347198944,9,409,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
16,16,538.7378711811181,11,379,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
17,17,539.696631026755,10,412,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
18,18,535.4816716116967,7,397,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
19,19,539.5736764458451,11,386,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
20,20,534.259101285613,3,335,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
21,21,536.4674628699382,5,365,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
22,22,544.9642767224166,19,481,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
23,23,542.5337401499719,15,427,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
24,24,541.8423617861955,16,437,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
25,25,549.8961460134641,26,493,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
26,26,540.1017219684728,12,435,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
27,27,537.6332211888254,8,364,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
28,28,536.5522250279747,8,361,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
29,29,540.1681675246516,12,406,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
30,30,546.077366421898,21,460,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
31,31,544.0026575857687,14,433,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
32,32,543.1203806425168,15,475,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
33,33,534.2989752255079,4,349,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
34,34,539.0063379437361,8,395,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
35,35,544.1353765792257,19,440,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
36,36,540.3578584419405,14,399,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
37,37,534.7716089218254,3,370,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
38,38,540.9584197470382,13,430,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
39,39,536.1187763190718,8,351,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
40,40,535.3042599221493,6,341,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
41,41,551.7536313064955,33,542,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
42,42,538.3974638397868,9,379,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
43,43,549.7943320282848,32,530,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
44,44,543.4197165697672,20,496,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
45,45,537.2387548010279,7,367,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
46,46,540.1656725905826,12,407,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
47,47,536.5851576754488,8,367,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
48,48,534.7878565950224,3,348,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
49,49,537.3616416944478,9,369,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
50,50,534.8509914545699,5,341,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
51,51,536.2905654635476,6,365,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
52,52,534.7758151516076,3,345,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
53,53,536.5564496481949,7,413,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
54,54,538.3090454068573,10,374,fast_LAIM_solution,1,1.9999089241027832,uniform,random,True
