,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,503.20290294289305,1,8,min_opinion_solution,1,0.0004241466522216797,polarized,random,False
1,1,503.20290294289305,1,8,min_opinion_solution,1,0.0004241466522216797,polarized,random,False
2,2,503.20290294289305,1,8,min_opinion_solution,1,0.0004241466522216797,polarized,random,False
3,3,503.20290294289305,1,8,min_opinion_solution,1,0.0004241466522216797,polarized,random,False
4,4,506.11683326258856,5,125,min_opinion_solution,1,0.0004241466522216797,polarized,random,False
5,5,503.20290294289305,1,8,min_opinion_solution,1,0.0004241466522216797,polarized,random,False
6,6,503.20290294289305,1,8,min_opinion_solution,1,0.0004241466522216797,polarized,random,False
7,7,503.20290294289305,1,8,min_opinion_solution,1,0.0004241466522216797,polarized,random,False
8,8,503.20290294289305,1,8,min_opinion_solution,1,0.0004241466522216797,polarized,random,False
9,9,503.20290294289305,1,8,min_opinion_solution,1,0.0004241466522216797,polarized,random,False
10,0,512.642298303527,25,318,min_opinion_solution,10,0.00043702125549316406,polarized,random,False
11,1,511.56103271361303,25,328,min_opinion_solution,10,0.00043702125549316406,polarized,random,False
12,2,513.1230939252546,29,312,min_opinion_solution,10,0.00043702125549316406,polarized,random,False
13,3,515.2957921846454,29,317,min_opinion_solution,10,0.00043702125549316406,polarized,random,False
14,4,515.9667750589905,32,444,min_opinion_solution,10,0.00043702125549316406,polarized,random,False
15,5,511.2225484491252,23,283,min_opinion_solution,10,0.00043702125549316406,polarized,random,False
16,6,514.497088939761,29,344,min_opinion_solution,10,0.00043702125549316406,polarized,random,False
17,7,512.8695735842912,25,299,min_opinion_solution,10,0.00043702125549316406,polarized,random,False
18,8,508.14233377224576,20,284,min_opinion_solution,10,0.00043702125549316406,polarized,random,False
19,9,513.4035872773688,24,290,min_opinion_solution,10,0.00043702125549316406,polarized,random,False
20,0,525.5372749554926,29,404,min_opinion_solution,20,0.0004410743713378906,polarized,random,False
21,1,530.1195246367122,36,407,min_opinion_solution,20,0.0004410743713378906,polarized,random,False
22,2,528.3138807899353,39,444,min_opinion_solution,20,0.0004410743713378906,polarized,random,False
23,3,527.6460162034568,31,484,min_opinion_solution,20,0.0004410743713378906,polarized,random,False
24,4,535.0406282487817,50,492,min_opinion_solution,20,0.0004410743713378906,polarized,random,False
25,5,521.6741949193928,30,463,min_opinion_solution,20,0.0004410743713378906,polarized,random,False
26,6,529.6915208101188,34,403,min_opinion_solution,20,0.0004410743713378906,polarized,random,False
27,7,534.1628013999856,46,540,min_opinion_solution,20,0.0004410743713378906,polarized,random,False
28,8,523.2651477460248,25,354,min_opinion_solution,20,0.0004410743713378906,polarized,random,False
29,9,535.572660511959,52,508,min_opinion_solution,20,0.0004410743713378906,polarized,random,False
30,0,553.4845931635458,58,550,min_opinion_solution,30,0.0004410743713378906,polarized,random,False
31,1,561.6935186291726,73,646,min_opinion_solution,30,0.0004410743713378906,polarized,random,False
32,2,559.2258613926786,71,646,min_opinion_solution,30,0.0004410743713378906,polarized,random,False
33,3,563.7501767021121,73,622,min_opinion_solution,30,0.0004410743713378906,polarized,random,False
34,4,546.8107498343736,62,594,min_opinion_solution,30,0.0004410743713378906,polarized,random,False
35,5,554.6658476629797,60,551,min_opinion_solution,30,0.0004410743713378906,polarized,random,False
36,6,560.1903179784193,67,611,min_opinion_solution,30,0.0004410743713378906,polarized,random,False
37,7,561.0833180148154,78,698,min_opinion_solution,30,0.0004410743713378906,polarized,random,False
38,8,549.3760931455565,55,562,min_opinion_solution,30,0.0004410743713378906,polarized,random,False
39,9,553.5349478208692,58,562,min_opinion_solution,30,0.0004410743713378906,polarized,random,False
40,0,575.9328163814943,91,673,min_opinion_solution,40,0.0004420280456542969,polarized,random,False
41,1,572.9391677872953,69,599,min_opinion_solution,40,0.0004420280456542969,polarized,random,False
42,2,570.3752321928666,67,645,min_opinion_solution,40,0.0004420280456542969,polarized,random,False
43,3,564.4175635017662,63,580,min_opinion_solution,40,0.0004420280456542969,polarized,random,False
44,4,569.2636650574609,71,612,min_opinion_solution,40,0.0004420280456542969,polarized,random,False
45,5,576.4766278865123,81,670,min_opinion_solution,40,0.0004420280456542969,polarized,random,False
46,6,567.472211304802,65,599,min_opinion_solution,40,0.0004420280456542969,polarized,random,False
47,7,572.245399367405,76,650,min_opinion_solution,40,0.0004420280456542969,polarized,random,False
48,8,573.0452965255188,74,640,min_opinion_solution,40,0.0004420280456542969,polarized,random,False
49,9,576.6647576552174,80,654,min_opinion_solution,40,0.0004420280456542969,polarized,random,False
50,0,574.6115107291079,77,627,min_opinion_solution,50,0.0004410743713378906,polarized,random,False
51,1,570.744069676963,69,608,min_opinion_solution,50,0.0004410743713378906,polarized,random,False
52,2,576.9785890437968,81,641,min_opinion_solution,50,0.0004410743713378906,polarized,random,False
53,3,570.2073066042718,73,589,min_opinion_solution,50,0.0004410743713378906,polarized,random,False
54,4,570.8379929604872,74,637,min_opinion_solution,50,0.0004410743713378906,polarized,random,False
55,5,574.6690931431185,73,615,min_opinion_solution,50,0.0004410743713378906,polarized,random,False
56,6,563.4165460330788,57,545,min_opinion_solution,50,0.0004410743713378906,polarized,random,False
57,7,583.2175703092915,87,673,min_opinion_solution,50,0.0004410743713378906,polarized,random,False
58,8,572.4883071325883,77,631,min_opinion_solution,50,0.0004410743713378906,polarized,random,False
59,9,583.8408564355026,98,679,min_opinion_solution,50,0.0004410743713378906,polarized,random,False
