,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,503.4079068637936,2,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
1,1,502.8801311567093,1,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
2,2,504.3684348102348,5,148,min_opinion_solution,1,0.000308990478515625,uniform,random,False
3,3,504.76171891406347,4,153,min_opinion_solution,1,0.000308990478515625,uniform,random,False
4,4,504.31969700752774,5,121,min_opinion_solution,1,0.000308990478515625,uniform,random,False
5,5,502.8801311567093,1,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
6,6,504.3846531301404,3,154,min_opinion_solution,1,0.000308990478515625,uniform,random,False
7,7,503.36294942752755,2,108,min_opinion_solution,1,0.000308990478515625,uniform,random,False
8,8,505.41379020957066,5,204,min_opinion_solution,1,0.000308990478515625,uniform,random,False
9,9,503.7898689545587,2,124,min_opinion_solution,1,0.000308990478515625,uniform,random,False
10,10,502.8801311567093,1,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
11,11,502.8801311567093,1,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
12,12,503.82507329007075,3,122,min_opinion_solution,1,0.000308990478515625,uniform,random,False
13,13,502.8801311567093,1,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
14,14,503.36898560819446,2,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
15,15,503.19563623766766,2,109,min_opinion_solution,1,0.000308990478515625,uniform,random,False
16,16,502.8801311567093,1,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
17,17,503.8212247241228,2,118,min_opinion_solution,1,0.000308990478515625,uniform,random,False
18,18,504.6710420442193,3,145,min_opinion_solution,1,0.000308990478515625,uniform,random,False
19,19,503.33678848985375,2,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
20,20,503.16454865304246,2,117,min_opinion_solution,1,0.000308990478515625,uniform,random,False
21,21,516.4983162174229,28,419,min_opinion_solution,1,0.000308990478515625,uniform,random,False
22,22,504.68555180720506,3,133,min_opinion_solution,1,0.000308990478515625,uniform,random,False
23,23,503.83374946881844,2,166,min_opinion_solution,1,0.000308990478515625,uniform,random,False
24,24,508.17667589839147,11,327,min_opinion_solution,1,0.000308990478515625,uniform,random,False
25,25,504.6710420442193,3,145,min_opinion_solution,1,0.000308990478515625,uniform,random,False
26,26,503.4742452909747,2,178,min_opinion_solution,1,0.000308990478515625,uniform,random,False
27,27,502.8801311567093,1,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
28,28,502.8801311567093,1,106,min_opinion_solution,1,0.000308990478515625,uniform,random,False
29,29,510.5064393187452,13,361,min_opinion_solution,1,0.000308990478515625,uniform,random,False
