,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,435.7530051812669,1,5,min_opinion_solution,1,0.00041413307189941406,polarized,random,True
1,1,435.7530051812669,1,5,min_opinion_solution,1,0.00041413307189941406,polarized,random,True
2,2,435.7530051812669,1,5,min_opinion_solution,1,0.00041413307189941406,polarized,random,True
3,3,435.7530051812669,1,5,min_opinion_solution,1,0.00041413307189941406,polarized,random,True
4,4,435.7530051812669,1,5,min_opinion_solution,1,0.00041413307189941406,polarized,random,True
5,5,435.7530051812669,1,5,min_opinion_solution,1,0.00041413307189941406,polarized,random,True
6,6,435.7530051812669,1,5,min_opinion_solution,1,0.00041413307189941406,polarized,random,True
7,7,435.7530051812669,1,5,min_opinion_solution,1,0.00041413307189941406,polarized,random,True
8,8,435.7530051812669,1,5,min_opinion_solution,1,0.00041413307189941406,polarized,random,True
9,9,435.7530051812669,1,5,min_opinion_solution,1,0.00041413307189941406,polarized,random,True
10,0,481.5497720387729,26,284,min_opinion_solution,10,0.0016791820526123047,polarized,random,True
11,1,477.80692865951363,19,275,min_opinion_solution,10,0.0016791820526123047,polarized,random,True
12,2,483.2504990019137,27,431,min_opinion_solution,10,0.0016791820526123047,polarized,random,True
13,3,479.5972437713809,18,231,min_opinion_solution,10,0.0016791820526123047,polarized,random,True
14,4,479.01403968918606,20,261,min_opinion_solution,10,0.0016791820526123047,polarized,random,True
15,5,496.267904568637,41,519,min_opinion_solution,10,0.0016791820526123047,polarized,random,True
16,6,477.44254072683793,16,226,min_opinion_solution,10,0.0016791820526123047,polarized,random,True
17,7,480.5141293848552,21,250,min_opinion_solution,10,0.0016791820526123047,polarized,random,True
18,8,485.90498928856454,31,422,min_opinion_solution,10,0.0016791820526123047,polarized,random,True
19,9,479.88485205959864,20,342,min_opinion_solution,10,0.0016791820526123047,polarized,random,True
20,0,541.388275835836,38,301,min_opinion_solution,20,0.00042319297790527344,polarized,random,True
21,1,538.8373413193497,34,306,min_opinion_solution,20,0.00042319297790527344,polarized,random,True
22,2,547.9513969037833,46,305,min_opinion_solution,20,0.00042319297790527344,polarized,random,True
23,3,537.7535416435368,31,269,min_opinion_solution,20,0.00042319297790527344,polarized,random,True
24,4,554.4946580306505,58,496,min_opinion_solution,20,0.00042319297790527344,polarized,random,True
25,5,557.2451123569975,58,467,min_opinion_solution,20,0.00042319297790527344,polarized,random,True
26,6,545.5486681414278,43,302,min_opinion_solution,20,0.00042319297790527344,polarized,random,True
27,7,544.0083609296802,40,367,min_opinion_solution,20,0.00042319297790527344,polarized,random,True
28,8,539.7446965020904,36,263,min_opinion_solution,20,0.00042319297790527344,polarized,random,True
29,9,537.8221727609551,33,251,min_opinion_solution,20,0.00042319297790527344,polarized,random,True
30,0,640.7781354035507,42,429,min_opinion_solution,30,0.00040984153747558594,polarized,random,True
31,1,646.2372282148718,50,485,min_opinion_solution,30,0.00040984153747558594,polarized,random,True
32,2,643.743482951098,46,459,min_opinion_solution,30,0.00040984153747558594,polarized,random,True
33,3,645.2944584629207,54,470,min_opinion_solution,30,0.00040984153747558594,polarized,random,True
34,4,643.5696882727699,45,426,min_opinion_solution,30,0.00040984153747558594,polarized,random,True
35,5,638.7445081321409,38,388,min_opinion_solution,30,0.00040984153747558594,polarized,random,True
36,6,638.0801400398642,37,401,min_opinion_solution,30,0.00040984153747558594,polarized,random,True
37,7,645.6983702308372,47,434,min_opinion_solution,30,0.00040984153747558594,polarized,random,True
38,8,644.221150213854,47,419,min_opinion_solution,30,0.00040984153747558594,polarized,random,True
39,9,643.5640598938037,47,437,min_opinion_solution,30,0.00040984153747558594,polarized,random,True
40,0,515.3274654616941,69,500,min_opinion_solution,40,0.0004401206970214844,polarized,random,True
41,1,532.1248713503479,108,639,min_opinion_solution,40,0.0004401206970214844,polarized,random,True
42,2,521.0861952712469,84,594,min_opinion_solution,40,0.0004401206970214844,polarized,random,True
43,3,524.313697583596,85,627,min_opinion_solution,40,0.0004401206970214844,polarized,random,True
44,4,524.7014223297018,81,546,min_opinion_solution,40,0.0004401206970214844,polarized,random,True
45,5,530.7926957310149,86,564,min_opinion_solution,40,0.0004401206970214844,polarized,random,True
46,6,521.7247642622614,76,511,min_opinion_solution,40,0.0004401206970214844,polarized,random,True
47,7,513.4889973227072,65,486,min_opinion_solution,40,0.0004401206970214844,polarized,random,True
48,8,532.5672463144103,88,610,min_opinion_solution,40,0.0004401206970214844,polarized,random,True
49,9,521.5118069245774,77,539,min_opinion_solution,40,0.0004401206970214844,polarized,random,True
50,0,460.9140757580225,79,413,min_opinion_solution,50,0.0004107952117919922,polarized,random,True
51,1,465.8529910762973,93,513,min_opinion_solution,50,0.0004107952117919922,polarized,random,True
52,2,452.6064995576333,69,427,min_opinion_solution,50,0.0004107952117919922,polarized,random,True
53,3,457.0186146449737,73,430,min_opinion_solution,50,0.0004107952117919922,polarized,random,True
54,4,457.62494650434394,78,395,min_opinion_solution,50,0.0004107952117919922,polarized,random,True
55,5,457.26037267512424,77,413,min_opinion_solution,50,0.0004107952117919922,polarized,random,True
56,6,469.00866582336516,96,585,min_opinion_solution,50,0.0004107952117919922,polarized,random,True
57,7,458.04788481658517,77,426,min_opinion_solution,50,0.0004107952117919922,polarized,random,True
58,8,458.9270707941008,75,447,min_opinion_solution,50,0.0004107952117919922,polarized,random,True
59,9,455.6368803752555,75,377,min_opinion_solution,50,0.0004107952117919922,polarized,random,True
