,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,533.7479423882635,2,66,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
1,1,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
2,2,534.3595079320061,2,37,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
3,3,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
4,4,534.3595079320061,2,37,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
5,5,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
6,6,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
7,7,534.3595079320062,2,44,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
8,8,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
9,9,534.1294932792246,2,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
10,10,533.5424065340949,2,79,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
11,11,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
12,12,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
13,13,534.1208502425235,2,55,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
14,14,542.9995742009127,19,365,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
15,15,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
16,16,542.1924146322449,14,309,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
17,17,534.1294932792246,2,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
18,18,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
19,19,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
20,20,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
21,21,535.77388262479,5,241,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
22,22,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
23,23,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
24,24,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
25,25,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
26,26,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
27,27,536.3334420166505,4,52,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
28,28,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
29,29,536.3334420166505,4,40,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
30,30,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
31,31,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
32,32,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
33,33,533.372540889684,1,35,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
34,34,534.3595079320061,2,37,min_opinion_solution,1,0.0003991127014160156,uniform,random,True
