,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,501.59572887286254,4,206,opinion_degree_solution,1,0.20294499397277832,polarized,random,False
1,1,502.17854127095194,4,232,opinion_degree_solution,1,0.20294499397277832,polarized,random,False
2,2,503.77237341834405,7,233,opinion_degree_solution,1,0.20294499397277832,polarized,random,False
3,3,503.6414996874951,6,252,opinion_degree_solution,1,0.20294499397277832,polarized,random,False
4,4,503.3015858844114,6,260,opinion_degree_solution,1,0.20294499397277832,polarized,random,False
5,5,503.67495761832413,7,222,opinion_degree_solution,1,0.20294499397277832,polarized,random,False
6,6,500.83315894928404,3,204,opinion_degree_solution,1,0.20294499397277832,polarized,random,False
7,7,507.9745026818933,12,290,opinion_degree_solution,1,0.20294499397277832,polarized,random,False
8,8,501.0927272673651,4,218,opinion_degree_solution,1,0.20294499397277832,polarized,random,False
9,9,506.1092156184979,12,284,opinion_degree_solution,1,0.20294499397277832,polarized,random,False
10,0,548.3897718426329,81,728,opinion_degree_solution,10,0.20543789863586426,polarized,random,False
11,1,531.062166046349,50,679,opinion_degree_solution,10,0.20543789863586426,polarized,random,False
12,2,537.7405497553227,65,709,opinion_degree_solution,10,0.20543789863586426,polarized,random,False
13,3,536.6443659544371,65,711,opinion_degree_solution,10,0.20543789863586426,polarized,random,False
14,4,524.8594996489438,51,661,opinion_degree_solution,10,0.20543789863586426,polarized,random,False
15,5,537.909185310096,77,711,opinion_degree_solution,10,0.20543789863586426,polarized,random,False
16,6,534.6373456838143,63,707,opinion_degree_solution,10,0.20543789863586426,polarized,random,False
17,7,535.4291179481198,68,715,opinion_degree_solution,10,0.20543789863586426,polarized,random,False
18,8,529.5589150874563,57,683,opinion_degree_solution,10,0.20543789863586426,polarized,random,False
19,9,522.6913680341873,40,658,opinion_degree_solution,10,0.20543789863586426,polarized,random,False
20,0,545.8724289484279,78,704,opinion_degree_solution,20,0.2077193260192871,polarized,random,False
21,1,541.7340540996963,70,700,opinion_degree_solution,20,0.2077193260192871,polarized,random,False
22,2,553.0694611270773,85,703,opinion_degree_solution,20,0.2077193260192871,polarized,random,False
23,3,560.1348160537301,97,738,opinion_degree_solution,20,0.2077193260192871,polarized,random,False
24,4,548.448030707672,75,717,opinion_degree_solution,20,0.2077193260192871,polarized,random,False
25,5,546.1010505989209,75,705,opinion_degree_solution,20,0.2077193260192871,polarized,random,False
26,6,557.713595392253,83,721,opinion_degree_solution,20,0.2077193260192871,polarized,random,False
27,7,556.840074258936,96,732,opinion_degree_solution,20,0.2077193260192871,polarized,random,False
28,8,552.2561364881252,80,715,opinion_degree_solution,20,0.2077193260192871,polarized,random,False
29,9,547.6726591810367,77,719,opinion_degree_solution,20,0.2077193260192871,polarized,random,False
30,0,574.4226513341301,104,756,opinion_degree_solution,30,0.20563292503356934,polarized,random,False
31,1,585.8062709357902,129,785,opinion_degree_solution,30,0.20563292503356934,polarized,random,False
32,2,573.2602607882853,115,769,opinion_degree_solution,30,0.20563292503356934,polarized,random,False
33,3,582.6377152462458,125,785,opinion_degree_solution,30,0.20563292503356934,polarized,random,False
34,4,571.8640192847346,111,763,opinion_degree_solution,30,0.20563292503356934,polarized,random,False
35,5,588.3087343680334,149,802,opinion_degree_solution,30,0.20563292503356934,polarized,random,False
36,6,567.0294044241326,105,765,opinion_degree_solution,30,0.20563292503356934,polarized,random,False
37,7,578.344021139196,135,780,opinion_degree_solution,30,0.20563292503356934,polarized,random,False
38,8,553.7074277229284,82,742,opinion_degree_solution,30,0.20563292503356934,polarized,random,False
39,9,579.4333834674807,118,767,opinion_degree_solution,30,0.20563292503356934,polarized,random,False
40,0,606.7193864407132,154,831,opinion_degree_solution,40,0.2257850170135498,polarized,random,False
41,1,605.0316083808982,153,826,opinion_degree_solution,40,0.2257850170135498,polarized,random,False
42,2,604.2974484339624,152,836,opinion_degree_solution,40,0.2257850170135498,polarized,random,False
43,3,594.719574128282,137,819,opinion_degree_solution,40,0.2257850170135498,polarized,random,False
44,4,593.2745741482391,121,803,opinion_degree_solution,40,0.2257850170135498,polarized,random,False
45,5,600.5559173508107,143,838,opinion_degree_solution,40,0.2257850170135498,polarized,random,False
46,6,601.835811350514,142,820,opinion_degree_solution,40,0.2257850170135498,polarized,random,False
47,7,608.368758299298,162,847,opinion_degree_solution,40,0.2257850170135498,polarized,random,False
48,8,611.4107875274575,155,833,opinion_degree_solution,40,0.2257850170135498,polarized,random,False
49,9,600.6881602612117,141,839,opinion_degree_solution,40,0.2257850170135498,polarized,random,False
50,0,605.8176832003066,156,815,opinion_degree_solution,50,0.23700237274169922,polarized,random,False
51,1,632.0467504672041,196,837,opinion_degree_solution,50,0.23700237274169922,polarized,random,False
52,2,622.3506680767208,180,836,opinion_degree_solution,50,0.23700237274169922,polarized,random,False
53,3,626.9348482626256,194,835,opinion_degree_solution,50,0.23700237274169922,polarized,random,False
54,4,640.0516807926249,201,856,opinion_degree_solution,50,0.23700237274169922,polarized,random,False
55,5,625.0893830247221,183,842,opinion_degree_solution,50,0.23700237274169922,polarized,random,False
56,6,611.3455319034357,171,828,opinion_degree_solution,50,0.23700237274169922,polarized,random,False
57,7,637.6535088742912,192,843,opinion_degree_solution,50,0.23700237274169922,polarized,random,False
58,8,631.016376781489,210,846,opinion_degree_solution,50,0.23700237274169922,polarized,random,False
59,9,625.7730755671898,192,844,opinion_degree_solution,50,0.23700237274169922,polarized,random,False
