,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,505.3095745090986,6,231,opinion_degree_solution,1,0.19097518920898438,uniform,random,False
1,1,509.99601320800025,12,333,opinion_degree_solution,1,0.19097518920898438,uniform,random,False
2,2,504.07202942677685,4,241,opinion_degree_solution,1,0.19097518920898438,uniform,random,False
3,3,507.349226489379,9,298,opinion_degree_solution,1,0.19097518920898438,uniform,random,False
4,4,504.4559800910228,4,212,opinion_degree_solution,1,0.19097518920898438,uniform,random,False
5,5,515.8079378739858,20,440,opinion_degree_solution,1,0.19097518920898438,uniform,random,False
6,6,504.49024946150666,4,227,opinion_degree_solution,1,0.19097518920898438,uniform,random,False
7,7,505.48557898320576,5,233,opinion_degree_solution,1,0.19097518920898438,uniform,random,False
8,8,504.1745825987662,4,245,opinion_degree_solution,1,0.19097518920898438,uniform,random,False
9,9,508.3697729251022,10,245,opinion_degree_solution,1,0.19097518920898438,uniform,random,False
10,0,553.6966782172441,66,677,opinion_degree_solution,10,0.17628002166748047,uniform,random,False
11,1,537.7807618215128,38,626,opinion_degree_solution,10,0.17628002166748047,uniform,random,False
12,2,550.3041496007106,65,665,opinion_degree_solution,10,0.17628002166748047,uniform,random,False
13,3,546.1837974491388,56,650,opinion_degree_solution,10,0.17628002166748047,uniform,random,False
14,4,545.668961302868,57,690,opinion_degree_solution,10,0.17628002166748047,uniform,random,False
15,5,530.8725941612025,25,594,opinion_degree_solution,10,0.17628002166748047,uniform,random,False
16,6,552.7182219516048,61,660,opinion_degree_solution,10,0.17628002166748047,uniform,random,False
17,7,543.9584027475482,50,644,opinion_degree_solution,10,0.17628002166748047,uniform,random,False
18,8,546.0011970516276,59,654,opinion_degree_solution,10,0.17628002166748047,uniform,random,False
19,9,536.4606543275428,36,604,opinion_degree_solution,10,0.17628002166748047,uniform,random,False
20,0,552.0820411884374,91,739,opinion_degree_solution,20,0.19552898406982422,uniform,random,False
21,1,558.2693511900943,103,753,opinion_degree_solution,20,0.19552898406982422,uniform,random,False
22,2,559.8837746887162,99,750,opinion_degree_solution,20,0.19552898406982422,uniform,random,False
23,3,545.8236202341478,78,728,opinion_degree_solution,20,0.19552898406982422,uniform,random,False
24,4,554.5940506458136,104,745,opinion_degree_solution,20,0.19552898406982422,uniform,random,False
25,5,547.4660739338938,77,753,opinion_degree_solution,20,0.19552898406982422,uniform,random,False
26,6,549.9441624955805,77,724,opinion_degree_solution,20,0.19552898406982422,uniform,random,False
27,7,570.8435714006599,122,766,opinion_degree_solution,20,0.19552898406982422,uniform,random,False
28,8,541.3435328583159,71,684,opinion_degree_solution,20,0.19552898406982422,uniform,random,False
29,9,545.918797970456,78,737,opinion_degree_solution,20,0.19552898406982422,uniform,random,False
30,0,589.0369407130967,132,788,opinion_degree_solution,30,0.19722390174865723,uniform,random,False
31,1,594.4698639206622,136,786,opinion_degree_solution,30,0.19722390174865723,uniform,random,False
32,2,580.269446436472,117,777,opinion_degree_solution,30,0.19722390174865723,uniform,random,False
33,3,588.620647801685,125,782,opinion_degree_solution,30,0.19722390174865723,uniform,random,False
34,4,575.8455360242426,111,768,opinion_degree_solution,30,0.19722390174865723,uniform,random,False
35,5,583.6880106467809,118,762,opinion_degree_solution,30,0.19722390174865723,uniform,random,False
36,6,582.0829497728826,114,773,opinion_degree_solution,30,0.19722390174865723,uniform,random,False
37,7,575.4568638788359,106,764,opinion_degree_solution,30,0.19722390174865723,uniform,random,False
38,8,578.1369130971887,110,772,opinion_degree_solution,30,0.19722390174865723,uniform,random,False
39,9,578.4648264797501,120,779,opinion_degree_solution,30,0.19722390174865723,uniform,random,False
40,0,611.8560668592344,188,857,opinion_degree_solution,40,0.20244312286376953,uniform,random,False
41,1,612.2335441636125,177,847,opinion_degree_solution,40,0.20244312286376953,uniform,random,False
42,2,623.0621048551182,193,846,opinion_degree_solution,40,0.20244312286376953,uniform,random,False
43,3,598.7963654270009,157,832,opinion_degree_solution,40,0.20244312286376953,uniform,random,False
44,4,619.0826223346822,201,850,opinion_degree_solution,40,0.20244312286376953,uniform,random,False
45,5,607.9235692465073,169,845,opinion_degree_solution,40,0.20244312286376953,uniform,random,False
46,6,588.8701606741971,127,811,opinion_degree_solution,40,0.20244312286376953,uniform,random,False
47,7,613.1185852323113,187,851,opinion_degree_solution,40,0.20244312286376953,uniform,random,False
48,8,618.1553518932518,188,848,opinion_degree_solution,40,0.20244312286376953,uniform,random,False
49,9,614.2559529769112,197,845,opinion_degree_solution,40,0.20244312286376953,uniform,random,False
50,0,633.3969787942999,200,847,opinion_degree_solution,50,0.21465086936950684,uniform,random,False
51,1,631.4445420284421,191,850,opinion_degree_solution,50,0.21465086936950684,uniform,random,False
52,2,616.0593808541787,170,834,opinion_degree_solution,50,0.21465086936950684,uniform,random,False
53,3,629.3598461574416,182,837,opinion_degree_solution,50,0.21465086936950684,uniform,random,False
54,4,622.0814849692869,180,838,opinion_degree_solution,50,0.21465086936950684,uniform,random,False
55,5,637.3526042672695,203,857,opinion_degree_solution,50,0.21465086936950684,uniform,random,False
56,6,622.4284527066683,188,844,opinion_degree_solution,50,0.21465086936950684,uniform,random,False
57,7,622.367387266763,179,838,opinion_degree_solution,50,0.21465086936950684,uniform,random,False
58,8,624.773204741971,178,838,opinion_degree_solution,50,0.21465086936950684,uniform,random,False
59,9,627.9214805419003,192,853,opinion_degree_solution,50,0.21465086936950684,uniform,random,False
