,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,550.8736295213663,8,375,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
1,1,553.1920220622056,12,394,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
2,2,550.6343624828634,11,407,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
3,3,554.9816632083687,17,449,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
4,4,551.7947503258514,11,392,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
5,5,549.9154461651273,9,370,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
6,6,556.1570495812243,19,433,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
7,7,550.5589867379451,13,389,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
8,8,551.5548828213591,10,389,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
9,9,548.66450323576,9,376,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
10,10,551.6705026003879,10,364,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
11,11,554.8883834551696,12,405,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
12,12,546.7491960726729,5,346,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
13,13,548.704504693419,9,373,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
14,14,550.0849392939471,7,390,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
15,15,551.0025404535029,17,521,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
16,16,556.4164857897825,20,437,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
17,17,556.9474456902419,15,433,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
18,18,557.8083170567495,20,416,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
19,19,552.6701650465421,11,406,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
20,20,549.555257598223,9,382,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
21,21,559.9989128987362,25,535,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
22,22,561.2379761283779,20,440,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
23,23,553.3280286060171,13,396,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
24,24,559.0557244712566,24,463,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
25,25,549.1164912176478,5,349,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
26,26,561.6388959266166,30,504,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
27,27,551.4224019172899,9,382,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
28,28,548.501893711134,5,368,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
29,29,547.9702030788596,7,375,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
30,30,555.5314495424699,17,428,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
31,31,550.3517007964712,8,435,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
32,32,557.865401610078,22,468,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
33,33,549.0662164517386,8,383,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
34,34,553.3645811403321,14,391,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
35,35,549.4782986668746,7,378,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
36,36,550.240207716177,7,377,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
37,37,550.9859921868075,13,375,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
38,38,550.4037846806922,10,401,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
39,39,552.4281823524426,11,402,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
40,40,562.3636073156028,39,515,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
41,41,550.106080718949,10,390,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
42,42,557.2976585132418,19,440,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
43,43,555.3211770486192,17,426,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
44,44,559.6093604063166,21,498,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
45,45,548.5581562055631,7,348,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
46,46,553.2601749770774,14,439,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
47,47,548.5462887591623,5,360,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
48,48,548.7697863986172,8,383,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
49,49,548.4440846427491,9,380,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
50,50,557.3494138167375,16,437,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
51,51,560.4733887193928,26,508,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
52,52,549.8894940671946,12,432,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
53,53,550.00650064472,10,377,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
54,54,554.2026201455849,16,425,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
55,55,550.6842795475595,9,373,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
56,56,557.4096812731436,18,462,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
57,57,551.354988948758,10,423,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
58,58,560.9553437979214,27,466,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
59,59,555.352311690835,15,389,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
60,60,551.2205181950005,13,382,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
61,61,551.0707599018258,10,403,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
62,62,561.8656627645397,35,515,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
63,63,548.9217058657541,9,382,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
64,64,559.808296612619,22,492,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
65,65,558.0015477078866,19,462,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
66,66,555.8754684591016,16,437,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
67,67,557.70174120985,29,516,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
68,68,549.9181445812483,9,352,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
69,69,554.1427546406636,19,406,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
70,70,553.3069023220725,19,489,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
71,71,550.6247847245753,15,453,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
72,72,552.0433828117377,11,382,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
73,73,548.305303283823,6,353,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
74,74,553.6226348437572,14,410,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
75,75,550.6315980771722,14,425,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
76,76,547.4256610996463,5,390,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
77,77,551.4575985508544,13,433,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
78,78,552.4207555911644,10,382,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
79,79,547.8970553278675,5,352,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
80,80,548.3650662771142,7,371,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
81,81,560.6786467603134,21,452,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
82,82,557.7381925442838,25,487,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
83,83,549.2079157312819,8,371,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
84,84,553.6904747133281,31,503,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
85,85,562.8761972817723,24,465,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
86,86,558.9670510804384,16,456,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
87,87,550.7354794590417,11,431,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
88,88,558.6644755086346,17,434,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
89,89,551.9257635459124,12,369,opinion_degree_solution,1,0.1912519931793213,polarized,random,True
