,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,538.5328006907594,10,404,opinion_degree_solution,1,0.20588183403015137,uniform,random,True
1,1,539.1110496993047,11,402,opinion_degree_solution,1,0.20588183403015137,uniform,random,True
2,2,542.2634834020781,15,424,opinion_degree_solution,1,0.20588183403015137,uniform,random,True
3,3,536.1866877375578,6,390,opinion_degree_solution,1,0.20588183403015137,uniform,random,True
4,4,539.3524703702121,13,368,opinion_degree_solution,1,0.20588183403015137,uniform,random,True
5,5,542.7170216382775,13,394,opinion_degree_solution,1,0.20588183403015137,uniform,random,True
6,6,538.1287982463995,8,361,opinion_degree_solution,1,0.20588183403015137,uniform,random,True
7,7,538.0206962704996,8,388,opinion_degree_solution,1,0.20588183403015137,uniform,random,True
8,8,543.3579685759465,17,412,opinion_degree_solution,1,0.20588183403015137,uniform,random,True
9,9,539.0935417550855,11,430,opinion_degree_solution,1,0.20588183403015137,uniform,random,True
10,0,533.9964633082931,96,755,opinion_degree_solution,10,0.20737099647521973,uniform,random,True
11,1,528.1536224116344,73,700,opinion_degree_solution,10,0.20737099647521973,uniform,random,True
12,2,530.1536974395058,82,700,opinion_degree_solution,10,0.20737099647521973,uniform,random,True
13,3,518.9354437246632,70,689,opinion_degree_solution,10,0.20737099647521973,uniform,random,True
14,4,523.88582139844,71,712,opinion_degree_solution,10,0.20737099647521973,uniform,random,True
15,5,527.5164193139481,79,718,opinion_degree_solution,10,0.20737099647521973,uniform,random,True
16,6,526.5998680814281,77,734,opinion_degree_solution,10,0.20737099647521973,uniform,random,True
17,7,527.4078774636091,75,699,opinion_degree_solution,10,0.20737099647521973,uniform,random,True
18,8,525.5770143148941,72,732,opinion_degree_solution,10,0.20737099647521973,uniform,random,True
19,9,521.1922395988877,66,688,opinion_degree_solution,10,0.20737099647521973,uniform,random,True
20,0,673.4328955155426,56,612,opinion_degree_solution,20,0.21840310096740723,uniform,random,True
21,1,683.4543102979671,69,638,opinion_degree_solution,20,0.21840310096740723,uniform,random,True
22,2,671.3967387955582,52,603,opinion_degree_solution,20,0.21840310096740723,uniform,random,True
23,3,687.373538139451,79,667,opinion_degree_solution,20,0.21840310096740723,uniform,random,True
24,4,679.669516067427,69,671,opinion_degree_solution,20,0.21840310096740723,uniform,random,True
25,5,682.5461693456344,70,669,opinion_degree_solution,20,0.21840310096740723,uniform,random,True
26,6,683.8406574103469,77,669,opinion_degree_solution,20,0.21840310096740723,uniform,random,True
27,7,678.6863879476226,68,657,opinion_degree_solution,20,0.21840310096740723,uniform,random,True
28,8,675.7455057168071,60,622,opinion_degree_solution,20,0.21840310096740723,uniform,random,True
29,9,675.8581693663077,60,643,opinion_degree_solution,20,0.21840310096740723,uniform,random,True
30,0,619.0737427451561,115,690,opinion_degree_solution,30,0.2086317539215088,uniform,random,True
31,1,605.267716204167,95,654,opinion_degree_solution,30,0.2086317539215088,uniform,random,True
32,2,604.7403260092099,98,686,opinion_degree_solution,30,0.2086317539215088,uniform,random,True
33,3,612.909673667887,111,750,opinion_degree_solution,30,0.2086317539215088,uniform,random,True
34,4,612.7611709161162,109,683,opinion_degree_solution,30,0.2086317539215088,uniform,random,True
35,5,607.4825226713904,97,697,opinion_degree_solution,30,0.2086317539215088,uniform,random,True
36,6,617.6278967523245,131,755,opinion_degree_solution,30,0.2086317539215088,uniform,random,True
37,7,608.9764871485688,103,707,opinion_degree_solution,30,0.2086317539215088,uniform,random,True
38,8,616.3109668801103,110,681,opinion_degree_solution,30,0.2086317539215088,uniform,random,True
39,9,608.539388928523,108,711,opinion_degree_solution,30,0.2086317539215088,uniform,random,True
40,0,588.2568528591505,162,828,opinion_degree_solution,40,0.23733925819396973,uniform,random,True
41,1,589.3511040166462,161,838,opinion_degree_solution,40,0.23733925819396973,uniform,random,True
42,2,586.419900896215,155,817,opinion_degree_solution,40,0.23733925819396973,uniform,random,True
43,3,593.7655150733775,170,822,opinion_degree_solution,40,0.23733925819396973,uniform,random,True
44,4,583.4669939137602,155,812,opinion_degree_solution,40,0.23733925819396973,uniform,random,True
45,5,600.8730418814649,185,851,opinion_degree_solution,40,0.23733925819396973,uniform,random,True
46,6,597.9711163106398,172,833,opinion_degree_solution,40,0.23733925819396973,uniform,random,True
47,7,588.8282103414945,168,825,opinion_degree_solution,40,0.23733925819396973,uniform,random,True
48,8,588.814741136134,176,838,opinion_degree_solution,40,0.23733925819396973,uniform,random,True
49,9,597.5725492533911,175,830,opinion_degree_solution,40,0.23733925819396973,uniform,random,True
50,0,597.4100776324932,196,835,opinion_degree_solution,50,0.23293399810791016,uniform,random,True
51,1,588.3902602018916,175,827,opinion_degree_solution,50,0.23293399810791016,uniform,random,True
52,2,596.7755214887065,180,821,opinion_degree_solution,50,0.23293399810791016,uniform,random,True
53,3,581.24390570371,174,862,opinion_degree_solution,50,0.23293399810791016,uniform,random,True
54,4,610.1088857035096,216,849,opinion_degree_solution,50,0.23293399810791016,uniform,random,True
55,5,603.2724046790706,204,844,opinion_degree_solution,50,0.23293399810791016,uniform,random,True
56,6,603.9516208656062,197,833,opinion_degree_solution,50,0.23293399810791016,uniform,random,True
57,7,607.2162018069112,205,821,opinion_degree_solution,50,0.23293399810791016,uniform,random,True
58,8,601.122507093971,201,835,opinion_degree_solution,50,0.23293399810791016,uniform,random,True
59,9,582.6638824824636,168,811,opinion_degree_solution,50,0.23293399810791016,uniform,random,True
