,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2038.7545475145444,41,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
1,1,2030.8542148022302,39,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
2,2,2046.3539884601578,55,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
3,3,2053.181990767417,67,1111,TIM_plus_solution,1,214.84202098846436,polarized,random,False
4,4,2050.6793325905664,58,1067,TIM_plus_solution,1,214.84202098846436,polarized,random,False
5,5,2046.4768161131137,53,1092,TIM_plus_solution,1,214.84202098846436,polarized,random,False
6,6,2049.613717828114,58,1079,TIM_plus_solution,1,214.84202098846436,polarized,random,False
7,7,2035.516381740365,36,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
8,8,2042.5867200015825,48,1065,TIM_plus_solution,1,214.84202098846436,polarized,random,False
9,9,2059.4828297508348,76,1092,TIM_plus_solution,1,214.84202098846436,polarized,random,False
10,10,2043.5524727962245,49,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
11,11,2046.4954042337267,59,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
12,12,2035.3961414225387,37,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
13,13,2034.2400974251009,34,1053,TIM_plus_solution,1,214.84202098846436,polarized,random,False
14,14,2044.6179018919445,53,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
15,15,2044.6710108270775,55,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
16,16,2048.286008012697,61,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
17,17,2047.7567101787913,59,1057,TIM_plus_solution,1,214.84202098846436,polarized,random,False
18,18,2044.755249020729,54,1066,TIM_plus_solution,1,214.84202098846436,polarized,random,False
19,19,2034.7147235430125,40,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
20,20,2044.1125507214058,50,1047,TIM_plus_solution,1,214.84202098846436,polarized,random,False
21,21,2041.0454541289246,43,1047,TIM_plus_solution,1,214.84202098846436,polarized,random,False
22,22,2040.734675683291,53,1054,TIM_plus_solution,1,214.84202098846436,polarized,random,False
23,23,2043.94200943283,53,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
24,24,2039.8315370751504,52,1061,TIM_plus_solution,1,214.84202098846436,polarized,random,False
25,25,2051.0305954629594,59,1086,TIM_plus_solution,1,214.84202098846436,polarized,random,False
26,26,2043.4339041989126,53,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
27,27,2041.1426196758543,50,1095,TIM_plus_solution,1,214.84202098846436,polarized,random,False
28,28,2038.4208427491606,47,1053,TIM_plus_solution,1,214.84202098846436,polarized,random,False
29,29,2035.1505516094826,35,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
30,30,2042.1674832487968,53,1054,TIM_plus_solution,1,214.84202098846436,polarized,random,False
31,31,2033.7847735571588,37,1055,TIM_plus_solution,1,214.84202098846436,polarized,random,False
32,32,2054.473990545734,66,1073,TIM_plus_solution,1,214.84202098846436,polarized,random,False
33,33,2038.7055152104085,49,1092,TIM_plus_solution,1,214.84202098846436,polarized,random,False
34,34,2041.3946097924304,45,1054,TIM_plus_solution,1,214.84202098846436,polarized,random,False
35,35,2049.92597028506,53,1217,TIM_plus_solution,1,214.84202098846436,polarized,random,False
36,36,2045.5681976047179,50,1054,TIM_plus_solution,1,214.84202098846436,polarized,random,False
37,37,2038.7806471237027,38,1061,TIM_plus_solution,1,214.84202098846436,polarized,random,False
38,38,2039.8269617751141,43,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
39,39,2037.101944987023,40,1093,TIM_plus_solution,1,214.84202098846436,polarized,random,False
40,40,2036.7316820657927,43,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
41,41,2043.7640938436016,45,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
42,42,2033.4323245525043,34,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
43,43,2048.979479719157,54,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
44,44,2032.1401908343432,38,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
45,45,2044.1666744949748,53,1239,TIM_plus_solution,1,214.84202098846436,polarized,random,False
46,46,2050.3928445034758,61,1069,TIM_plus_solution,1,214.84202098846436,polarized,random,False
47,47,2041.4128208531342,50,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
48,48,2050.6776976921315,55,1049,TIM_plus_solution,1,214.84202098846436,polarized,random,False
49,49,2052.224317925948,66,1069,TIM_plus_solution,1,214.84202098846436,polarized,random,False
50,50,2051.162026595336,59,1075,TIM_plus_solution,1,214.84202098846436,polarized,random,False
51,51,2041.185471352222,46,1057,TIM_plus_solution,1,214.84202098846436,polarized,random,False
52,52,2050.751300869657,61,1057,TIM_plus_solution,1,214.84202098846436,polarized,random,False
53,53,2037.6926013027985,39,1056,TIM_plus_solution,1,214.84202098846436,polarized,random,False
54,54,2043.5055537275957,45,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
55,55,2041.0678553205596,47,1086,TIM_plus_solution,1,214.84202098846436,polarized,random,False
56,56,2029.3228776859871,27,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
57,57,2041.297399963535,45,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
58,58,2037.4292230739447,43,1054,TIM_plus_solution,1,214.84202098846436,polarized,random,False
59,59,2037.1271517349385,50,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
60,60,2040.0325586867325,42,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
61,61,2038.5559377418147,40,1060,TIM_plus_solution,1,214.84202098846436,polarized,random,False
62,62,2058.4090747811356,67,1114,TIM_plus_solution,1,214.84202098846436,polarized,random,False
63,63,2035.0490287798063,37,1047,TIM_plus_solution,1,214.84202098846436,polarized,random,False
64,64,2036.1189069091422,38,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
65,65,2034.569966775489,40,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
66,66,2040.8418948010794,48,1054,TIM_plus_solution,1,214.84202098846436,polarized,random,False
67,67,2045.851242874958,62,1146,TIM_plus_solution,1,214.84202098846436,polarized,random,False
68,68,2038.9683926911378,48,1088,TIM_plus_solution,1,214.84202098846436,polarized,random,False
69,69,2041.0854155727827,52,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
70,70,2037.3256672425302,41,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
71,71,2045.386761093075,43,1056,TIM_plus_solution,1,214.84202098846436,polarized,random,False
72,72,2027.9890294904455,31,1087,TIM_plus_solution,1,214.84202098846436,polarized,random,False
73,73,2043.6733122194905,50,1046,TIM_plus_solution,1,214.84202098846436,polarized,random,False
74,74,2034.965926153667,41,1057,TIM_plus_solution,1,214.84202098846436,polarized,random,False
75,75,2047.147199138469,62,1067,TIM_plus_solution,1,214.84202098846436,polarized,random,False
