,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2065.7001521040706,31,348,TIM_plus_solution,1,198.92355298995972,uniform,random,False
1,1,2072.4288608795177,49,348,TIM_plus_solution,1,198.92355298995972,uniform,random,False
2,2,2074.481294130336,57,348,TIM_plus_solution,1,198.92355298995972,uniform,random,False
3,3,2071.2321750878773,44,348,TIM_plus_solution,1,198.92355298995972,uniform,random,False
4,4,2067.7440753903347,34,351,TIM_plus_solution,1,198.92355298995972,uniform,random,False
5,5,2069.7273902124216,37,348,TIM_plus_solution,1,198.92355298995972,uniform,random,False
6,6,2074.7509547147624,46,348,TIM_plus_solution,1,198.92355298995972,uniform,random,False
7,7,2073.8577832167957,44,348,TIM_plus_solution,1,198.92355298995972,uniform,random,False
8,8,2067.3261383104236,36,348,TIM_plus_solution,1,198.92355298995972,uniform,random,False
9,9,2078.4962965658347,54,348,TIM_plus_solution,1,198.92355298995972,uniform,random,False
10,0,2071.6107063815202,58,348,TIM_plus_solution,10,118.58425903320312,uniform,random,False
11,1,2070.7540747333483,57,354,TIM_plus_solution,10,118.58425903320312,uniform,random,False
12,2,2073.4892904206295,59,362,TIM_plus_solution,10,118.58425903320312,uniform,random,False
13,3,2072.9357018968176,66,348,TIM_plus_solution,10,118.58425903320312,uniform,random,False
14,4,2066.149223414632,46,348,TIM_plus_solution,10,118.58425903320312,uniform,random,False
15,5,2067.812515773168,50,348,TIM_plus_solution,10,118.58425903320312,uniform,random,False
16,6,2075.4269653986657,66,348,TIM_plus_solution,10,118.58425903320312,uniform,random,False
17,7,2068.7161450376857,57,348,TIM_plus_solution,10,118.58425903320312,uniform,random,False
18,8,2073.113960278462,55,359,TIM_plus_solution,10,118.58425903320312,uniform,random,False
19,9,2068.423154624191,45,348,TIM_plus_solution,10,118.58425903320312,uniform,random,False
20,0,2071.8732292853297,66,348,TIM_plus_solution,20,120.69052529335022,uniform,random,False
21,1,2081.862846786755,86,355,TIM_plus_solution,20,120.69052529335022,uniform,random,False
22,2,2090.695970928166,101,351,TIM_plus_solution,20,120.69052529335022,uniform,random,False
23,3,2081.264507279794,78,354,TIM_plus_solution,20,120.69052529335022,uniform,random,False
24,4,2076.6527940454444,73,348,TIM_plus_solution,20,120.69052529335022,uniform,random,False
25,5,2076.90283924101,74,348,TIM_plus_solution,20,120.69052529335022,uniform,random,False
26,6,2078.8286686485467,75,348,TIM_plus_solution,20,120.69052529335022,uniform,random,False
27,7,2070.752762594778,70,365,TIM_plus_solution,20,120.69052529335022,uniform,random,False
28,8,2078.5717429487545,78,348,TIM_plus_solution,20,120.69052529335022,uniform,random,False
29,9,2079.5240372173753,80,348,TIM_plus_solution,20,120.69052529335022,uniform,random,False
30,0,2079.2446051895,92,348,TIM_plus_solution,30,134.666809797287,uniform,random,False
31,1,2089.2693769987472,113,348,TIM_plus_solution,30,134.666809797287,uniform,random,False
32,2,2067.0898757242853,66,348,TIM_plus_solution,30,134.666809797287,uniform,random,False
33,3,2082.475576218443,98,348,TIM_plus_solution,30,134.666809797287,uniform,random,False
34,4,2090.922218964454,115,348,TIM_plus_solution,30,134.666809797287,uniform,random,False
35,5,2080.944989010613,89,358,TIM_plus_solution,30,134.666809797287,uniform,random,False
36,6,2080.850586867764,101,348,TIM_plus_solution,30,134.666809797287,uniform,random,False
37,7,2082.656470116257,97,355,TIM_plus_solution,30,134.666809797287,uniform,random,False
38,8,2082.5797179851756,92,348,TIM_plus_solution,30,134.666809797287,uniform,random,False
39,9,2072.785471701074,81,348,TIM_plus_solution,30,134.666809797287,uniform,random,False
40,0,2135.1406697517887,115,348,TIM_plus_solution,40,130.45835399627686,uniform,random,False
41,1,2138.850523249877,117,348,TIM_plus_solution,40,130.45835399627686,uniform,random,False
42,2,2126.1024622379455,98,348,TIM_plus_solution,40,130.45835399627686,uniform,random,False
43,3,2132.9676557548382,112,348,TIM_plus_solution,40,130.45835399627686,uniform,random,False
44,4,2135.1164052690388,113,348,TIM_plus_solution,40,130.45835399627686,uniform,random,False
45,5,2141.3866921035474,125,348,TIM_plus_solution,40,130.45835399627686,uniform,random,False
46,6,2129.7998461884968,112,348,TIM_plus_solution,40,130.45835399627686,uniform,random,False
47,7,2147.1116175989087,128,351,TIM_plus_solution,40,130.45835399627686,uniform,random,False
48,8,2135.295564366709,126,362,TIM_plus_solution,40,130.45835399627686,uniform,random,False
49,9,2132.3942240828424,111,351,TIM_plus_solution,40,130.45835399627686,uniform,random,False
50,0,2131.210103501825,145,505,TIM_plus_solution,50,147.14237308502197,uniform,random,False
51,1,2118.626121353437,119,365,TIM_plus_solution,50,147.14237308502197,uniform,random,False
52,2,2127.0382289392082,128,351,TIM_plus_solution,50,147.14237308502197,uniform,random,False
53,3,2128.3427775847863,136,355,TIM_plus_solution,50,147.14237308502197,uniform,random,False
54,4,2125.036836380359,132,351,TIM_plus_solution,50,147.14237308502197,uniform,random,False
55,5,2131.2554473511514,150,462,TIM_plus_solution,50,147.14237308502197,uniform,random,False
56,6,2118.561952753623,120,351,TIM_plus_solution,50,147.14237308502197,uniform,random,False
57,7,2123.81423764879,123,351,TIM_plus_solution,50,147.14237308502197,uniform,random,False
58,8,2129.1228659528347,139,351,TIM_plus_solution,50,147.14237308502197,uniform,random,False
59,9,2119.203194869235,127,351,TIM_plus_solution,50,147.14237308502197,uniform,random,False
