,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2106.826172578984,54,1242,TIM_plus_solution,1,144.87542819976807,polarized,random,True
1,1,2098.112115536731,50,1130,TIM_plus_solution,1,144.87542819976807,polarized,random,True
2,2,2098.0126587901377,45,1155,TIM_plus_solution,1,144.87542819976807,polarized,random,True
3,3,2094.600957786819,37,1054,TIM_plus_solution,1,144.87542819976807,polarized,random,True
4,4,2097.8267437890513,37,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
5,5,2096.8894772146414,39,1147,TIM_plus_solution,1,144.87542819976807,polarized,random,True
6,6,2092.2605452915386,35,1061,TIM_plus_solution,1,144.87542819976807,polarized,random,True
7,7,2093.3343663777605,31,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
8,8,2105.981079272749,47,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
9,9,2109.0319079749015,52,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
10,10,2096.740180724303,42,1052,TIM_plus_solution,1,144.87542819976807,polarized,random,True
11,11,2101.9777338537365,53,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
12,12,2095.1067220787,32,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
13,13,2092.4927265752463,30,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
14,14,2111.836929112956,63,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
15,15,2092.3268676790576,37,1066,TIM_plus_solution,1,144.87542819976807,polarized,random,True
16,16,2094.705926796053,43,1052,TIM_plus_solution,1,144.87542819976807,polarized,random,True
17,17,2097.970869248031,51,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
18,18,2094.405060786182,41,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
19,19,2097.87152859439,37,1060,TIM_plus_solution,1,144.87542819976807,polarized,random,True
20,20,2097.5798221932173,38,1054,TIM_plus_solution,1,144.87542819976807,polarized,random,True
21,21,2088.729866282037,30,1086,TIM_plus_solution,1,144.87542819976807,polarized,random,True
22,22,2092.183390036108,39,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
23,23,2091.0230439115794,33,1047,TIM_plus_solution,1,144.87542819976807,polarized,random,True
24,24,2094.871250321708,41,1063,TIM_plus_solution,1,144.87542819976807,polarized,random,True
25,25,2090.969954812199,25,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
26,26,2105.955001743106,49,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
27,27,2091.87059348212,34,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
28,28,2096.2616342930824,39,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
29,29,2089.2978164651754,25,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
30,30,2101.243334072344,50,1065,TIM_plus_solution,1,144.87542819976807,polarized,random,True
31,31,2113.188818324586,77,1096,TIM_plus_solution,1,144.87542819976807,polarized,random,True
32,32,2096.04487830373,43,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
33,33,2087.0277085050075,24,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
34,34,2097.5382946145965,45,1049,TIM_plus_solution,1,144.87542819976807,polarized,random,True
35,35,2097.7456739695795,45,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
36,36,2105.1157547026723,47,1054,TIM_plus_solution,1,144.87542819976807,polarized,random,True
37,37,2100.038301277995,48,1052,TIM_plus_solution,1,144.87542819976807,polarized,random,True
38,38,2093.156958086161,38,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
39,39,2102.761206024753,54,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
40,40,2099.002086357027,44,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
41,41,2100.614195081988,41,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
42,42,2098.3421792050535,43,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
43,43,2093.073343514721,38,1072,TIM_plus_solution,1,144.87542819976807,polarized,random,True
44,44,2088.9769392981184,33,1046,TIM_plus_solution,1,144.87542819976807,polarized,random,True
