,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,1893.6128817910117,67,1046,TIM_plus_solution,1,225.23710680007935,uniform,random,True
1,1,1890.5535325717267,57,1157,TIM_plus_solution,1,225.23710680007935,uniform,random,True
2,2,1882.2961858103347,43,1107,TIM_plus_solution,1,225.23710680007935,uniform,random,True
3,3,1885.3634429004364,50,1067,TIM_plus_solution,1,225.23710680007935,uniform,random,True
4,4,1893.7697850816241,60,1089,TIM_plus_solution,1,225.23710680007935,uniform,random,True
5,5,1882.904127677257,48,1089,TIM_plus_solution,1,225.23710680007935,uniform,random,True
6,6,1880.1919939432928,42,1046,TIM_plus_solution,1,225.23710680007935,uniform,random,True
7,7,1917.0964792470018,93,1110,TIM_plus_solution,1,225.23710680007935,uniform,random,True
8,8,1888.0737613559018,56,1112,TIM_plus_solution,1,225.23710680007935,uniform,random,True
9,9,1890.1652567081237,61,1109,TIM_plus_solution,1,225.23710680007935,uniform,random,True
10,10,1882.7367475496276,45,1046,TIM_plus_solution,1,225.23710680007935,uniform,random,True
11,11,1877.3804738483593,43,1046,TIM_plus_solution,1,225.23710680007935,uniform,random,True
12,12,1885.6197492954873,50,1160,TIM_plus_solution,1,225.23710680007935,uniform,random,True
13,13,1876.1794372821323,35,1049,TIM_plus_solution,1,225.23710680007935,uniform,random,True
14,14,1884.9699645583248,52,1099,TIM_plus_solution,1,225.23710680007935,uniform,random,True
15,15,1882.42985176382,53,1046,TIM_plus_solution,1,225.23710680007935,uniform,random,True
16,16,1874.6347182314753,36,1046,TIM_plus_solution,1,225.23710680007935,uniform,random,True
17,17,1883.3417408828955,43,1046,TIM_plus_solution,1,225.23710680007935,uniform,random,True
18,18,1881.8582986927906,44,1046,TIM_plus_solution,1,225.23710680007935,uniform,random,True
19,19,1881.0950472152772,43,1046,TIM_plus_solution,1,225.23710680007935,uniform,random,True
20,20,1879.7180005269518,38,1046,TIM_plus_solution,1,225.23710680007935,uniform,random,True
21,21,1880.1027476603363,38,1047,TIM_plus_solution,1,225.23710680007935,uniform,random,True
