,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2051.5565303635394,42,1073,degree_solution,1,0.009237051010131836,polarized,random,False
1,1,2050.4755370883213,47,1073,degree_solution,1,0.009237051010131836,polarized,random,False
2,2,2045.3052718775248,39,1066,degree_solution,1,0.009237051010131836,polarized,random,False
3,3,2050.0156196228177,48,1046,degree_solution,1,0.009237051010131836,polarized,random,False
4,4,2051.120645873762,44,1046,degree_solution,1,0.009237051010131836,polarized,random,False
5,5,2045.9269237160129,39,1046,degree_solution,1,0.009237051010131836,polarized,random,False
6,6,2048.391153907992,46,1060,degree_solution,1,0.009237051010131836,polarized,random,False
7,7,2049.9339948720885,47,1046,degree_solution,1,0.009237051010131836,polarized,random,False
8,8,2048.871195702284,39,1053,degree_solution,1,0.009237051010131836,polarized,random,False
9,9,2057.088963674471,52,1088,degree_solution,1,0.009237051010131836,polarized,random,False
10,10,2047.0744262358426,38,1046,degree_solution,1,0.009237051010131836,polarized,random,False
11,11,2056.3273075450215,49,1046,degree_solution,1,0.009237051010131836,polarized,random,False
12,12,2042.8635640855032,39,1057,degree_solution,1,0.009237051010131836,polarized,random,False
13,13,2047.0355200508434,36,1046,degree_solution,1,0.009237051010131836,polarized,random,False
14,14,2049.5982923995766,40,1046,degree_solution,1,0.009237051010131836,polarized,random,False
15,15,2049.3618376457534,40,1046,degree_solution,1,0.009237051010131836,polarized,random,False
16,16,2048.6339000501553,37,1058,degree_solution,1,0.009237051010131836,polarized,random,False
17,17,2043.2151419188808,35,1084,degree_solution,1,0.009237051010131836,polarized,random,False
18,18,2048.2948013125524,39,1046,degree_solution,1,0.009237051010131836,polarized,random,False
19,19,2060.668072717408,59,1053,degree_solution,1,0.009237051010131836,polarized,random,False
20,20,2050.0162729753733,42,1047,degree_solution,1,0.009237051010131836,polarized,random,False
21,21,2052.8992063752567,54,1049,degree_solution,1,0.009237051010131836,polarized,random,False
22,22,2061.792743894053,64,1084,degree_solution,1,0.009237051010131836,polarized,random,False
23,23,2054.6428882780265,50,1046,degree_solution,1,0.009237051010131836,polarized,random,False
24,24,2047.4785389846134,38,1046,degree_solution,1,0.009237051010131836,polarized,random,False
25,25,2045.9222234813938,37,1056,degree_solution,1,0.009237051010131836,polarized,random,False
26,26,2049.161917419581,42,1047,degree_solution,1,0.009237051010131836,polarized,random,False
27,27,2058.1131507177442,52,1095,degree_solution,1,0.009237051010131836,polarized,random,False
28,28,2049.5562100139505,47,1046,degree_solution,1,0.009237051010131836,polarized,random,False
29,29,2048.343676613985,43,1053,degree_solution,1,0.009237051010131836,polarized,random,False
30,30,2041.9290273793854,30,1046,degree_solution,1,0.009237051010131836,polarized,random,False
31,31,2057.5494234603684,53,1046,degree_solution,1,0.009237051010131836,polarized,random,False
32,32,2042.8403311805155,34,1046,degree_solution,1,0.009237051010131836,polarized,random,False
33,33,2056.553562490764,54,1046,degree_solution,1,0.009237051010131836,polarized,random,False
34,34,2049.4915257490634,45,1053,degree_solution,1,0.009237051010131836,polarized,random,False
35,35,2050.6491453854237,45,1047,degree_solution,1,0.009237051010131836,polarized,random,False
36,36,2049.583074059867,43,1046,degree_solution,1,0.009237051010131836,polarized,random,False
37,37,2043.070840193158,37,1046,degree_solution,1,0.009237051010131836,polarized,random,False
38,38,2049.71421663961,41,1057,degree_solution,1,0.009237051010131836,polarized,random,False
39,39,2046.211963319642,42,1046,degree_solution,1,0.009237051010131836,polarized,random,False
40,40,2046.9591740510118,37,1065,degree_solution,1,0.009237051010131836,polarized,random,False
41,41,2056.2203507506993,50,1046,degree_solution,1,0.009237051010131836,polarized,random,False
42,42,2059.143763365304,57,1081,degree_solution,1,0.009237051010131836,polarized,random,False
43,43,2048.405780857899,42,1046,degree_solution,1,0.009237051010131836,polarized,random,False
44,44,2042.3177104549472,28,1046,degree_solution,1,0.009237051010131836,polarized,random,False
45,45,2046.4178406727733,39,1107,degree_solution,1,0.009237051010131836,polarized,random,False
46,46,2059.626811383573,59,1046,degree_solution,1,0.009237051010131836,polarized,random,False
47,47,2055.514080921228,49,1080,degree_solution,1,0.009237051010131836,polarized,random,False
48,48,2054.312642004308,48,1046,degree_solution,1,0.009237051010131836,polarized,random,False
49,49,2051.001197240716,40,1056,degree_solution,1,0.009237051010131836,polarized,random,False
50,50,2048.300926741864,39,1088,degree_solution,1,0.009237051010131836,polarized,random,False
51,51,2053.2884346327724,48,1049,degree_solution,1,0.009237051010131836,polarized,random,False
52,52,2045.8587097471286,38,1046,degree_solution,1,0.009237051010131836,polarized,random,False
53,53,2046.0729063983968,33,1046,degree_solution,1,0.009237051010131836,polarized,random,False
54,54,2051.092684785125,47,1046,degree_solution,1,0.009237051010131836,polarized,random,False
55,55,2048.151748726797,42,1050,degree_solution,1,0.009237051010131836,polarized,random,False
56,56,2044.6506836968065,35,1046,degree_solution,1,0.009237051010131836,polarized,random,False
57,57,2057.7479370555557,53,1145,degree_solution,1,0.009237051010131836,polarized,random,False
58,58,2051.0363770716,43,1046,degree_solution,1,0.009237051010131836,polarized,random,False
59,59,2050.323087293649,42,1046,degree_solution,1,0.009237051010131836,polarized,random,False
60,60,2054.2229553675343,48,1060,degree_solution,1,0.009237051010131836,polarized,random,False
61,61,2053.5929076248235,47,1046,degree_solution,1,0.009237051010131836,polarized,random,False
62,62,2055.740421787657,50,1057,degree_solution,1,0.009237051010131836,polarized,random,False
63,63,2053.4578379810805,46,1053,degree_solution,1,0.009237051010131836,polarized,random,False
64,64,2053.33043107622,53,1046,degree_solution,1,0.009237051010131836,polarized,random,False
65,65,2052.873378064648,44,1069,degree_solution,1,0.009237051010131836,polarized,random,False
66,66,2052.701885422567,50,1046,degree_solution,1,0.009237051010131836,polarized,random,False
67,67,2056.7662928536097,49,1082,degree_solution,1,0.009237051010131836,polarized,random,False
68,68,2061.7391436183325,65,1071,degree_solution,1,0.009237051010131836,polarized,random,False
69,69,2053.999097842501,51,1055,degree_solution,1,0.009237051010131836,polarized,random,False
70,70,2056.7616417275153,52,1064,degree_solution,1,0.009237051010131836,polarized,random,False
71,71,2052.5874417744,44,1046,degree_solution,1,0.009237051010131836,polarized,random,False
72,72,2056.174160857451,58,1102,degree_solution,1,0.009237051010131836,polarized,random,False
73,73,2051.6361570503,44,1050,degree_solution,1,0.009237051010131836,polarized,random,False
74,74,2048.9581895370657,40,1046,degree_solution,1,0.009237051010131836,polarized,random,False
75,75,2042.9202714894,33,1046,degree_solution,1,0.009237051010131836,polarized,random,False
76,76,2047.2001150225974,35,1046,degree_solution,1,0.009237051010131836,polarized,random,False
77,77,2049.781333772386,47,1067,degree_solution,1,0.009237051010131836,polarized,random,False
78,78,2053.509729943634,47,1079,degree_solution,1,0.009237051010131836,polarized,random,False
79,79,2047.4918777470607,40,1046,degree_solution,1,0.009237051010131836,polarized,random,False
80,80,2047.809031626116,48,1064,degree_solution,1,0.009237051010131836,polarized,random,False
81,81,2049.944227919782,44,1060,degree_solution,1,0.009237051010131836,polarized,random,False
82,82,2045.8239407326264,40,1056,degree_solution,1,0.009237051010131836,polarized,random,False
83,83,2054.2610714588295,51,1070,degree_solution,1,0.009237051010131836,polarized,random,False
84,84,2055.755979080764,45,1046,degree_solution,1,0.009237051010131836,polarized,random,False
85,85,2047.4848313788593,39,1046,degree_solution,1,0.009237051010131836,polarized,random,False
86,86,2056.4779412430485,50,1210,degree_solution,1,0.009237051010131836,polarized,random,False
87,87,2049.1122067005444,40,1084,degree_solution,1,0.009237051010131836,polarized,random,False
88,88,2052.946326810593,49,1120,degree_solution,1,0.009237051010131836,polarized,random,False
89,89,2053.081502569183,52,1047,degree_solution,1,0.009237051010131836,polarized,random,False
90,90,2039.003280459517,30,1046,degree_solution,1,0.009237051010131836,polarized,random,False
91,91,2047.5112939675923,35,1046,degree_solution,1,0.009237051010131836,polarized,random,False
92,92,2048.677957034848,42,1055,degree_solution,1,0.009237051010131836,polarized,random,False
93,93,2048.6698997873254,47,1098,degree_solution,1,0.009237051010131836,polarized,random,False
94,94,2055.877166364498,55,1046,degree_solution,1,0.009237051010131836,polarized,random,False
95,95,2062.3353838481594,64,1046,degree_solution,1,0.009237051010131836,polarized,random,False
96,96,2053.1362012887303,46,1046,degree_solution,1,0.009237051010131836,polarized,random,False
97,97,2040.8550696471325,32,1046,degree_solution,1,0.009237051010131836,polarized,random,False
98,98,2051.157145875998,44,1068,degree_solution,1,0.009237051010131836,polarized,random,False
99,99,2048.8031696027583,38,1087,degree_solution,1,0.009237051010131836,polarized,random,False
100,0,2189.616884517931,252,3463,degree_solution,10,0.009330272674560547,polarized,random,False
101,1,2189.419027085436,239,3514,degree_solution,10,0.009330272674560547,polarized,random,False
102,2,2183.407997352495,234,3482,degree_solution,10,0.009330272674560547,polarized,random,False
103,3,2206.6459536628217,266,3485,degree_solution,10,0.009330272674560547,polarized,random,False
104,4,2175.6075482692154,208,3486,degree_solution,10,0.009330272674560547,polarized,random,False
105,5,2186.7361207869008,234,3472,degree_solution,10,0.009330272674560547,polarized,random,False
106,6,2187.222781098334,241,3463,degree_solution,10,0.009330272674560547,polarized,random,False
107,7,2213.364429685409,266,3463,degree_solution,10,0.009330272674560547,polarized,random,False
