,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2079.7239783131918,58,1054,degree_solution,1,0.009021997451782227,uniform,random,False
1,1,2074.419600333803,49,1046,degree_solution,1,0.009021997451782227,uniform,random,False
2,2,2081.921322624364,65,1060,degree_solution,1,0.009021997451782227,uniform,random,False
3,3,2083.5881819562956,64,1063,degree_solution,1,0.009021997451782227,uniform,random,False
4,4,2073.415619818986,52,1104,degree_solution,1,0.009021997451782227,uniform,random,False
5,5,2079.042270861994,62,1088,degree_solution,1,0.009021997451782227,uniform,random,False
6,6,2084.381576353969,76,1070,degree_solution,1,0.009021997451782227,uniform,random,False
7,7,2070.8508415353376,45,1046,degree_solution,1,0.009021997451782227,uniform,random,False
8,8,2089.243543896564,80,1085,degree_solution,1,0.009021997451782227,uniform,random,False
9,9,2082.3905584132062,64,1054,degree_solution,1,0.009021997451782227,uniform,random,False
10,10,2084.6594317184454,71,1058,degree_solution,1,0.009021997451782227,uniform,random,False
11,11,2076.129708066305,52,1046,degree_solution,1,0.009021997451782227,uniform,random,False
12,12,2068.83901033458,39,1046,degree_solution,1,0.009021997451782227,uniform,random,False
13,13,2079.0385716633905,55,1046,degree_solution,1,0.009021997451782227,uniform,random,False
14,14,2069.6481141020236,39,1046,degree_solution,1,0.009021997451782227,uniform,random,False
15,15,2069.9021992436024,47,1046,degree_solution,1,0.009021997451782227,uniform,random,False
16,16,2071.5495071051605,44,1046,degree_solution,1,0.009021997451782227,uniform,random,False
17,17,2075.074859780255,56,1046,degree_solution,1,0.009021997451782227,uniform,random,False
18,18,2078.910397154561,58,1091,degree_solution,1,0.009021997451782227,uniform,random,False
19,19,2076.2808904077606,53,1079,degree_solution,1,0.009021997451782227,uniform,random,False
20,20,2083.0016585073813,66,1046,degree_solution,1,0.009021997451782227,uniform,random,False
21,21,2068.098061851755,40,1046,degree_solution,1,0.009021997451782227,uniform,random,False
22,22,2076.7435907745844,57,1055,degree_solution,1,0.009021997451782227,uniform,random,False
23,23,2072.16076722147,47,1046,degree_solution,1,0.009021997451782227,uniform,random,False
24,24,2079.2472836975794,62,1046,degree_solution,1,0.009021997451782227,uniform,random,False
25,25,2079.414932387873,68,1069,degree_solution,1,0.009021997451782227,uniform,random,False
26,26,2077.3720357669117,61,1065,degree_solution,1,0.009021997451782227,uniform,random,False
27,27,2089.016363937084,74,1104,degree_solution,1,0.009021997451782227,uniform,random,False
28,28,2081.5281126867703,65,1127,degree_solution,1,0.009021997451782227,uniform,random,False
29,29,2071.8180567497006,41,1046,degree_solution,1,0.009021997451782227,uniform,random,False
30,30,2086.012846878862,66,1088,degree_solution,1,0.009021997451782227,uniform,random,False
31,31,2074.023646314184,54,1046,degree_solution,1,0.009021997451782227,uniform,random,False
32,32,2076.0830828966973,59,1085,degree_solution,1,0.009021997451782227,uniform,random,False
33,33,2074.0132141469035,52,1122,degree_solution,1,0.009021997451782227,uniform,random,False
34,34,2083.89523364261,63,1066,degree_solution,1,0.009021997451782227,uniform,random,False
35,35,2072.2157580521225,48,1046,degree_solution,1,0.009021997451782227,uniform,random,False
36,36,2072.3483047137765,52,1046,degree_solution,1,0.009021997451782227,uniform,random,False
37,37,2074.1289998027037,51,1060,degree_solution,1,0.009021997451782227,uniform,random,False
38,38,2071.375123297756,42,1046,degree_solution,1,0.009021997451782227,uniform,random,False
39,39,2082.762810045439,66,1074,degree_solution,1,0.009021997451782227,uniform,random,False
40,40,2080.5971208692963,68,1070,degree_solution,1,0.009021997451782227,uniform,random,False
41,41,2080.1374336964077,64,1081,degree_solution,1,0.009021997451782227,uniform,random,False
42,42,2078.879104479536,63,1130,degree_solution,1,0.009021997451782227,uniform,random,False
43,43,2075.489899822605,53,1089,degree_solution,1,0.009021997451782227,uniform,random,False
44,44,2075.965373818203,50,1046,degree_solution,1,0.009021997451782227,uniform,random,False
45,45,2084.5397418604935,65,1046,degree_solution,1,0.009021997451782227,uniform,random,False
46,46,2089.7285314957376,74,1046,degree_solution,1,0.009021997451782227,uniform,random,False
47,47,2076.392991425399,54,1047,degree_solution,1,0.009021997451782227,uniform,random,False
48,48,2079.698819690404,65,1056,degree_solution,1,0.009021997451782227,uniform,random,False
49,49,2070.308465300388,38,1047,degree_solution,1,0.009021997451782227,uniform,random,False
50,50,2070.705625110763,41,1046,degree_solution,1,0.009021997451782227,uniform,random,False
51,51,2082.6539131633886,82,1165,degree_solution,1,0.009021997451782227,uniform,random,False
52,52,2077.907258695434,58,1057,degree_solution,1,0.009021997451782227,uniform,random,False
53,53,2075.936321980219,51,1081,degree_solution,1,0.009021997451782227,uniform,random,False
54,54,2071.66241789882,44,1057,degree_solution,1,0.009021997451782227,uniform,random,False
55,55,2077.1726431458906,58,1071,degree_solution,1,0.009021997451782227,uniform,random,False
56,56,2074.691800745196,55,1046,degree_solution,1,0.009021997451782227,uniform,random,False
57,57,2072.1816977789417,44,1055,degree_solution,1,0.009021997451782227,uniform,random,False
58,58,2077.8770706057717,73,1051,degree_solution,1,0.009021997451782227,uniform,random,False
59,59,2072.94697948574,50,1046,degree_solution,1,0.009021997451782227,uniform,random,False
60,60,2082.5897784445324,61,1132,degree_solution,1,0.009021997451782227,uniform,random,False
61,61,2075.580627117026,56,1046,degree_solution,1,0.009021997451782227,uniform,random,False
62,62,2077.6053323227675,57,1046,degree_solution,1,0.009021997451782227,uniform,random,False
63,63,2079.3247138231154,57,1068,degree_solution,1,0.009021997451782227,uniform,random,False
64,64,2078.620531173903,61,1046,degree_solution,1,0.009021997451782227,uniform,random,False
65,65,2073.1488131208666,55,1066,degree_solution,1,0.009021997451782227,uniform,random,False
66,66,2073.220762982845,53,1065,degree_solution,1,0.009021997451782227,uniform,random,False
67,67,2078.3924962628626,61,1060,degree_solution,1,0.009021997451782227,uniform,random,False
68,68,2073.198417509652,49,1046,degree_solution,1,0.009021997451782227,uniform,random,False
69,69,2083.0020443403814,62,1046,degree_solution,1,0.009021997451782227,uniform,random,False
70,70,2088.7022517514915,73,1046,degree_solution,1,0.009021997451782227,uniform,random,False
71,71,2079.618839230454,64,1056,degree_solution,1,0.009021997451782227,uniform,random,False
72,72,2085.81882094127,70,1105,degree_solution,1,0.009021997451782227,uniform,random,False
73,73,2071.9355698888726,45,1046,degree_solution,1,0.009021997451782227,uniform,random,False
74,74,2076.509741070515,55,1092,degree_solution,1,0.009021997451782227,uniform,random,False
75,75,2080.84470098758,64,1046,degree_solution,1,0.009021997451782227,uniform,random,False
76,76,2076.17574422186,56,1094,degree_solution,1,0.009021997451782227,uniform,random,False
77,77,2079.071187460505,61,1057,degree_solution,1,0.009021997451782227,uniform,random,False
78,78,2067.7056980224766,43,1046,degree_solution,1,0.009021997451782227,uniform,random,False
79,79,2069.8863706113984,39,1046,degree_solution,1,0.009021997451782227,uniform,random,False
80,80,2070.9777876670796,56,1055,degree_solution,1,0.009021997451782227,uniform,random,False
81,81,2086.8890413954223,77,1046,degree_solution,1,0.009021997451782227,uniform,random,False
82,82,2082.9531798366193,67,1150,degree_solution,1,0.009021997451782227,uniform,random,False
83,83,2082.24615548688,64,1146,degree_solution,1,0.009021997451782227,uniform,random,False
84,84,2086.906573169546,70,1068,degree_solution,1,0.009021997451782227,uniform,random,False
85,85,2081.9345909267454,64,1046,degree_solution,1,0.009021997451782227,uniform,random,False
86,86,2077.498477942401,55,1071,degree_solution,1,0.009021997451782227,uniform,random,False
87,87,2075.1919969623377,54,1046,degree_solution,1,0.009021997451782227,uniform,random,False
88,88,2085.2154778042473,74,1046,degree_solution,1,0.009021997451782227,uniform,random,False
