,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,1937.5862285309688,32,1046,degree_solution,1,0.00935816764831543,polarized,random,True
1,1,1944.9474593091034,42,1054,degree_solution,1,0.00935816764831543,polarized,random,True
2,2,1946.4454601082589,51,1047,degree_solution,1,0.00935816764831543,polarized,random,True
3,3,1950.6448961260976,55,1047,degree_solution,1,0.00935816764831543,polarized,random,True
4,4,1935.6632597888272,28,1046,degree_solution,1,0.00935816764831543,polarized,random,True
5,5,1938.518216548526,41,1046,degree_solution,1,0.00935816764831543,polarized,random,True
6,6,1948.1568490716854,60,1145,degree_solution,1,0.00935816764831543,polarized,random,True
7,7,1941.0753414726948,43,1057,degree_solution,1,0.00935816764831543,polarized,random,True
8,8,1945.0193566843654,53,1064,degree_solution,1,0.00935816764831543,polarized,random,True
9,9,1949.3395894522114,57,1056,degree_solution,1,0.00935816764831543,polarized,random,True
10,10,1946.3664327812705,47,1046,degree_solution,1,0.00935816764831543,polarized,random,True
11,11,1942.6041981893845,41,1046,degree_solution,1,0.00935816764831543,polarized,random,True
12,12,1948.8214784263716,52,1063,degree_solution,1,0.00935816764831543,polarized,random,True
13,13,1937.7471461857053,44,1046,degree_solution,1,0.00935816764831543,polarized,random,True
14,14,1940.4158433780015,40,1154,degree_solution,1,0.00935816764831543,polarized,random,True
15,15,1944.314612574225,46,1046,degree_solution,1,0.00935816764831543,polarized,random,True
16,16,1944.7667079972275,46,1046,degree_solution,1,0.00935816764831543,polarized,random,True
17,17,1947.3338967715881,50,1046,degree_solution,1,0.00935816764831543,polarized,random,True
18,18,1950.9982151372947,50,1053,degree_solution,1,0.00935816764831543,polarized,random,True
19,19,1945.5768769337371,49,1046,degree_solution,1,0.00935816764831543,polarized,random,True
20,20,1949.9838324476295,61,1062,degree_solution,1,0.00935816764831543,polarized,random,True
21,21,1944.2963583717637,58,1091,degree_solution,1,0.00935816764831543,polarized,random,True
22,22,1949.9630522558164,57,1046,degree_solution,1,0.00935816764831543,polarized,random,True
23,23,1949.2028006389276,57,1067,degree_solution,1,0.00935816764831543,polarized,random,True
24,24,1949.4307240802018,54,1072,degree_solution,1,0.00935816764831543,polarized,random,True
25,25,1947.2345201077849,49,1046,degree_solution,1,0.00935816764831543,polarized,random,True
26,26,1947.364286854796,51,1169,degree_solution,1,0.00935816764831543,polarized,random,True
27,27,1950.588626417299,55,1046,degree_solution,1,0.00935816764831543,polarized,random,True
28,28,1945.8914935373748,54,1054,degree_solution,1,0.00935816764831543,polarized,random,True
29,29,1946.851816082774,54,1076,degree_solution,1,0.00935816764831543,polarized,random,True
30,30,1955.4793303197928,59,1046,degree_solution,1,0.00935816764831543,polarized,random,True
31,31,1946.4110256497354,47,1046,degree_solution,1,0.00935816764831543,polarized,random,True
32,32,1950.319350566586,55,1066,degree_solution,1,0.00935816764831543,polarized,random,True
33,33,1959.2607137014577,81,1259,degree_solution,1,0.00935816764831543,polarized,random,True
34,34,1949.1528539525054,54,1157,degree_solution,1,0.00935816764831543,polarized,random,True
35,35,1942.0421802482138,43,1054,degree_solution,1,0.00935816764831543,polarized,random,True
36,36,1941.112516249776,47,1046,degree_solution,1,0.00935816764831543,polarized,random,True
37,37,1945.1178050676226,45,1162,degree_solution,1,0.00935816764831543,polarized,random,True
38,38,1945.9569238462404,43,1145,degree_solution,1,0.00935816764831543,polarized,random,True
39,39,1950.8053169625125,53,1065,degree_solution,1,0.00935816764831543,polarized,random,True
40,40,1946.220061732497,45,1060,degree_solution,1,0.00935816764831543,polarized,random,True
41,41,1951.772933383167,52,1062,degree_solution,1,0.00935816764831543,polarized,random,True
42,42,1944.5518263620702,47,1047,degree_solution,1,0.00935816764831543,polarized,random,True
43,43,1953.102937750641,58,1118,degree_solution,1,0.00935816764831543,polarized,random,True
44,44,1951.586011693844,62,1046,degree_solution,1,0.00935816764831543,polarized,random,True
