,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,1884.8835541493772,54,1046,degree_solution,1,0.008484840393066406,uniform,random,True
1,1,1887.3473329364228,54,1076,degree_solution,1,0.008484840393066406,uniform,random,True
2,2,1883.4721235089148,48,1061,degree_solution,1,0.008484840393066406,uniform,random,True
3,3,1891.1723646097696,54,1069,degree_solution,1,0.008484840393066406,uniform,random,True
4,4,1896.7314965060693,67,1073,degree_solution,1,0.008484840393066406,uniform,random,True
5,5,1886.892828941403,53,1054,degree_solution,1,0.008484840393066406,uniform,random,True
6,6,1877.5476666249158,38,1050,degree_solution,1,0.008484840393066406,uniform,random,True
7,7,1889.141358691032,59,1083,degree_solution,1,0.008484840393066406,uniform,random,True
8,8,1888.7751590016362,54,1065,degree_solution,1,0.008484840393066406,uniform,random,True
9,9,1875.133223988878,32,1057,degree_solution,1,0.008484840393066406,uniform,random,True
10,10,1886.770506581062,51,1046,degree_solution,1,0.008484840393066406,uniform,random,True
11,11,1889.1299559752206,57,1057,degree_solution,1,0.008484840393066406,uniform,random,True
12,12,1883.68341175046,44,1046,degree_solution,1,0.008484840393066406,uniform,random,True
13,13,1882.7861517351039,47,1054,degree_solution,1,0.008484840393066406,uniform,random,True
14,14,1881.5498706772494,46,1046,degree_solution,1,0.008484840393066406,uniform,random,True
15,15,1886.6790448836684,50,1046,degree_solution,1,0.008484840393066406,uniform,random,True
16,16,1883.1758184329237,46,1046,degree_solution,1,0.008484840393066406,uniform,random,True
17,17,1882.2079490486597,44,1046,degree_solution,1,0.008484840393066406,uniform,random,True
18,18,1879.9554902802888,40,1046,degree_solution,1,0.008484840393066406,uniform,random,True
19,19,1878.8210085174803,41,1046,degree_solution,1,0.008484840393066406,uniform,random,True
20,20,1886.3025013922315,53,1060,degree_solution,1,0.008484840393066406,uniform,random,True
21,21,1891.480222020145,58,1046,degree_solution,1,0.008484840393066406,uniform,random,True
22,22,1879.366557342552,42,1046,degree_solution,1,0.008484840393066406,uniform,random,True
23,23,1899.3173779690724,75,1096,degree_solution,1,0.008484840393066406,uniform,random,True
24,24,1883.449479853553,47,1065,degree_solution,1,0.008484840393066406,uniform,random,True
25,25,1876.7135653477912,36,1046,degree_solution,1,0.008484840393066406,uniform,random,True
26,26,1881.9933430836209,44,1073,degree_solution,1,0.008484840393066406,uniform,random,True
27,27,1873.0704323179007,32,1046,degree_solution,1,0.008484840393066406,uniform,random,True
28,28,1883.4560908032142,49,1061,degree_solution,1,0.008484840393066406,uniform,random,True
29,29,1877.454524495062,36,1046,degree_solution,1,0.008484840393066406,uniform,random,True
30,30,1884.9586270593989,50,1090,degree_solution,1,0.008484840393066406,uniform,random,True
31,31,1886.86354084943,58,1127,degree_solution,1,0.008484840393066406,uniform,random,True
32,32,1889.0856230903307,57,1064,degree_solution,1,0.008484840393066406,uniform,random,True
33,33,1883.5257264750906,42,1046,degree_solution,1,0.008484840393066406,uniform,random,True
34,34,1892.026826776991,57,1046,degree_solution,1,0.008484840393066406,uniform,random,True
35,35,1887.568186053595,62,1046,degree_solution,1,0.008484840393066406,uniform,random,True
36,36,1885.2887655357547,49,1054,degree_solution,1,0.008484840393066406,uniform,random,True
37,37,1878.6644112862361,39,1046,degree_solution,1,0.008484840393066406,uniform,random,True
38,38,1884.9544440478487,50,1057,degree_solution,1,0.008484840393066406,uniform,random,True
39,39,1890.3818829313745,59,1060,degree_solution,1,0.008484840393066406,uniform,random,True
40,40,1884.51879941025,53,1046,degree_solution,1,0.008484840393066406,uniform,random,True
41,41,1890.2319834833895,53,1067,degree_solution,1,0.008484840393066406,uniform,random,True
42,42,1883.429532366473,50,1065,degree_solution,1,0.008484840393066406,uniform,random,True
43,43,1879.3097911539414,42,1090,degree_solution,1,0.008484840393066406,uniform,random,True
44,44,1891.1237808239157,58,1046,degree_solution,1,0.008484840393066406,uniform,random,True
45,45,1883.461343097714,54,1046,degree_solution,1,0.008484840393066406,uniform,random,True
46,46,1890.5427743653513,57,1047,degree_solution,1,0.008484840393066406,uniform,random,True
47,47,1874.8681553585377,33,1046,degree_solution,1,0.008484840393066406,uniform,random,True
48,48,1883.4629356759574,48,1135,degree_solution,1,0.008484840393066406,uniform,random,True
49,49,1899.42618228942,68,1047,degree_solution,1,0.008484840393066406,uniform,random,True
50,50,1885.6099134773197,52,1046,degree_solution,1,0.008484840393066406,uniform,random,True
51,51,1893.401747326611,59,1064,degree_solution,1,0.008484840393066406,uniform,random,True
52,52,1878.430103063537,43,1046,degree_solution,1,0.008484840393066406,uniform,random,True
53,53,1884.3834801805885,51,1046,degree_solution,1,0.008484840393066406,uniform,random,True
54,54,1878.307697451736,41,1046,degree_solution,1,0.008484840393066406,uniform,random,True
55,55,1889.0122945198025,54,1046,degree_solution,1,0.008484840393066406,uniform,random,True
56,56,1891.7940561577118,62,1053,degree_solution,1,0.008484840393066406,uniform,random,True
57,57,1886.329064043156,49,1046,degree_solution,1,0.008484840393066406,uniform,random,True
58,58,1886.2443635187713,55,1120,degree_solution,1,0.008484840393066406,uniform,random,True
59,59,1877.6108777960949,37,1149,degree_solution,1,0.008484840393066406,uniform,random,True
60,60,1884.866638894074,55,1197,degree_solution,1,0.008484840393066406,uniform,random,True
61,61,1884.5358401046408,44,1046,degree_solution,1,0.008484840393066406,uniform,random,True
62,62,1872.8658607755285,28,1154,degree_solution,1,0.008484840393066406,uniform,random,True
63,63,1879.3101891672004,46,1046,degree_solution,1,0.008484840393066406,uniform,random,True
64,64,1894.1731553281572,71,1046,degree_solution,1,0.008484840393066406,uniform,random,True
65,65,1885.7972815803248,53,1074,degree_solution,1,0.008484840393066406,uniform,random,True
66,66,1880.2373506017304,43,1046,degree_solution,1,0.008484840393066406,uniform,random,True
67,67,1880.8685765061273,44,1047,degree_solution,1,0.008484840393066406,uniform,random,True
68,68,1893.5143161984854,62,1046,degree_solution,1,0.008484840393066406,uniform,random,True
69,69,1885.4591921680792,52,1046,degree_solution,1,0.008484840393066406,uniform,random,True
70,70,1885.5416220488487,54,1123,degree_solution,1,0.008484840393066406,uniform,random,True
71,71,1878.9010932916988,36,1084,degree_solution,1,0.008484840393066406,uniform,random,True
72,72,1878.2373567240122,33,1046,degree_solution,1,0.008484840393066406,uniform,random,True
73,73,1886.9857784581038,48,1046,degree_solution,1,0.008484840393066406,uniform,random,True
74,74,1879.9317895194151,40,1046,degree_solution,1,0.008484840393066406,uniform,random,True
75,75,1891.2206038312427,61,1046,degree_solution,1,0.008484840393066406,uniform,random,True
76,76,1889.5170127649856,50,1067,degree_solution,1,0.008484840393066406,uniform,random,True
77,77,1878.9195527151714,44,1068,degree_solution,1,0.008484840393066406,uniform,random,True
78,78,1882.1750311453566,44,1046,degree_solution,1,0.008484840393066406,uniform,random,True
79,79,1883.769188394552,49,1079,degree_solution,1,0.008484840393066406,uniform,random,True
80,80,1881.917650831747,44,1046,degree_solution,1,0.008484840393066406,uniform,random,True
81,81,1891.960406089859,58,1096,degree_solution,1,0.008484840393066406,uniform,random,True
82,82,1879.7786443244124,43,1047,degree_solution,1,0.008484840393066406,uniform,random,True
83,83,1883.6543505930117,48,1089,degree_solution,1,0.008484840393066406,uniform,random,True
84,84,1901.7827942574306,81,1824,degree_solution,1,0.008484840393066406,uniform,random,True
