,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2027.4070888544102,49,348,fast_LAIM_solution,1,25.06676721572876,polarized,random,False
1,1,2022.3581787315898,41,348,fast_LAIM_solution,1,25.06676721572876,polarized,random,False
2,2,2025.9193112743524,48,459,fast_LAIM_solution,1,25.06676721572876,polarized,random,False
3,3,2040.5664002185267,77,348,fast_LAIM_solution,1,25.06676721572876,polarized,random,False
4,4,2024.926134907127,49,354,fast_LAIM_solution,1,25.06676721572876,polarized,random,False
5,5,2016.789148327563,31,348,fast_LAIM_solution,1,25.06676721572876,polarized,random,False
6,6,2029.0005600236432,50,348,fast_LAIM_solution,1,25.06676721572876,polarized,random,False
7,7,2032.2018043361154,63,356,fast_LAIM_solution,1,25.06676721572876,polarized,random,False
8,8,2023.7084182930573,50,348,fast_LAIM_solution,1,25.06676721572876,polarized,random,False
9,9,2028.7038874875616,50,348,fast_LAIM_solution,1,25.06676721572876,polarized,random,False
10,0,2181.8168178861906,296,4039,fast_LAIM_solution,10,25.13322377204895,polarized,random,False
11,1,2194.387493035294,317,4039,fast_LAIM_solution,10,25.13322377204895,polarized,random,False
12,2,2178.147992688561,281,4039,fast_LAIM_solution,10,25.13322377204895,polarized,random,False
13,3,2164.272274270715,272,4039,fast_LAIM_solution,10,25.13322377204895,polarized,random,False
14,4,2183.9606806662105,305,4039,fast_LAIM_solution,10,25.13322377204895,polarized,random,False
15,5,2192.5545462158025,320,4039,fast_LAIM_solution,10,25.13322377204895,polarized,random,False
16,6,2160.9287978289285,262,4039,fast_LAIM_solution,10,25.13322377204895,polarized,random,False
17,7,2188.6557177294703,305,4039,fast_LAIM_solution,10,25.13322377204895,polarized,random,False
18,8,2165.4654321802714,269,4039,fast_LAIM_solution,10,25.13322377204895,polarized,random,False
19,9,2187.928705938896,292,4039,fast_LAIM_solution,10,25.13322377204895,polarized,random,False
20,0,2161.9725172347144,360,4039,fast_LAIM_solution,20,25.258167028427124,polarized,random,False
21,1,2137.971391985622,312,4039,fast_LAIM_solution,20,25.258167028427124,polarized,random,False
22,2,2141.2570634613053,317,4039,fast_LAIM_solution,20,25.258167028427124,polarized,random,False
23,3,2160.3928346480607,361,4039,fast_LAIM_solution,20,25.258167028427124,polarized,random,False
24,4,2168.546298540696,346,4039,fast_LAIM_solution,20,25.258167028427124,polarized,random,False
25,5,2158.3183280199637,332,4039,fast_LAIM_solution,20,25.258167028427124,polarized,random,False
26,6,2163.860481784859,339,4039,fast_LAIM_solution,20,25.258167028427124,polarized,random,False
27,7,2147.310605003332,302,4039,fast_LAIM_solution,20,25.258167028427124,polarized,random,False
28,8,2151.543276477707,328,4039,fast_LAIM_solution,20,25.258167028427124,polarized,random,False
29,9,2161.437186848018,351,4039,fast_LAIM_solution,20,25.258167028427124,polarized,random,False
30,0,2199.607670988082,368,4039,fast_LAIM_solution,30,25.313148975372314,polarized,random,False
31,1,2188.6730155343125,340,4039,fast_LAIM_solution,30,25.313148975372314,polarized,random,False
32,2,2236.4401085370378,430,4039,fast_LAIM_solution,30,25.313148975372314,polarized,random,False
33,3,2214.060147245426,402,4039,fast_LAIM_solution,30,25.313148975372314,polarized,random,False
34,4,2211.7993918400934,369,4039,fast_LAIM_solution,30,25.313148975372314,polarized,random,False
35,5,2203.4202671931553,366,4039,fast_LAIM_solution,30,25.313148975372314,polarized,random,False
36,6,2198.5046383322333,373,4039,fast_LAIM_solution,30,25.313148975372314,polarized,random,False
37,7,2203.527714835873,379,4039,fast_LAIM_solution,30,25.313148975372314,polarized,random,False
38,8,2208.48461191404,376,4039,fast_LAIM_solution,30,25.313148975372314,polarized,random,False
39,9,2225.048204568753,393,4039,fast_LAIM_solution,30,25.313148975372314,polarized,random,False
40,0,2212.634680236912,431,4039,fast_LAIM_solution,40,25.25084900856018,polarized,random,False
41,1,2222.714496006584,441,4039,fast_LAIM_solution,40,25.25084900856018,polarized,random,False
42,2,2209.12270583558,416,4039,fast_LAIM_solution,40,25.25084900856018,polarized,random,False
43,3,2181.0138200859265,366,4039,fast_LAIM_solution,40,25.25084900856018,polarized,random,False
44,4,2215.7056657475737,425,4039,fast_LAIM_solution,40,25.25084900856018,polarized,random,False
45,5,2184.7478496465465,382,4039,fast_LAIM_solution,40,25.25084900856018,polarized,random,False
46,6,2190.143511525922,383,4039,fast_LAIM_solution,40,25.25084900856018,polarized,random,False
47,7,2208.676117849485,449,4039,fast_LAIM_solution,40,25.25084900856018,polarized,random,False
48,8,2195.7132090879822,405,4039,fast_LAIM_solution,40,25.25084900856018,polarized,random,False
49,9,2195.857367581936,397,4039,fast_LAIM_solution,40,25.25084900856018,polarized,random,False
50,0,2231.086591042736,417,4039,fast_LAIM_solution,50,25.49378800392151,polarized,random,False
51,1,2247.791745333334,464,4039,fast_LAIM_solution,50,25.49378800392151,polarized,random,False
52,2,2247.628538911358,431,4039,fast_LAIM_solution,50,25.49378800392151,polarized,random,False
53,3,2245.327392121637,447,4039,fast_LAIM_solution,50,25.49378800392151,polarized,random,False
54,4,2222.261771200887,403,4039,fast_LAIM_solution,50,25.49378800392151,polarized,random,False
55,5,2271.847972211191,483,4039,fast_LAIM_solution,50,25.49378800392151,polarized,random,False
56,6,2274.674373693143,477,4039,fast_LAIM_solution,50,25.49378800392151,polarized,random,False
57,7,2239.450425552226,423,4039,fast_LAIM_solution,50,25.49378800392151,polarized,random,False
58,8,2265.59937483233,491,4039,fast_LAIM_solution,50,25.49378800392151,polarized,random,False
59,9,2252.104370690338,469,4039,fast_LAIM_solution,50,25.49378800392151,polarized,random,False
