,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2088.915619538042,79,1276,fast_LAIM_solution,1,11.836288928985596,uniform,random,False
1,1,2083.6247584286743,68,1114,fast_LAIM_solution,1,11.836288928985596,uniform,random,False
2,2,2085.3179002990355,66,1060,fast_LAIM_solution,1,11.836288928985596,uniform,random,False
3,3,2083.7194556161166,69,1084,fast_LAIM_solution,1,11.836288928985596,uniform,random,False
4,4,2073.1491010143786,52,1046,fast_LAIM_solution,1,11.836288928985596,uniform,random,False
5,5,2085.1997718015505,71,1052,fast_LAIM_solution,1,11.836288928985596,uniform,random,False
6,6,2071.0120052260136,47,1046,fast_LAIM_solution,1,11.836288928985596,uniform,random,False
7,7,2080.388787388331,62,1065,fast_LAIM_solution,1,11.836288928985596,uniform,random,False
8,8,2082.605374043516,64,1153,fast_LAIM_solution,1,11.836288928985596,uniform,random,False
9,9,2077.117119780232,64,1046,fast_LAIM_solution,1,11.836288928985596,uniform,random,False
10,0,2183.5682034470524,298,4039,fast_LAIM_solution,10,11.78883695602417,uniform,random,False
11,1,2184.1675615093363,333,4039,fast_LAIM_solution,10,11.78883695602417,uniform,random,False
12,2,2159.7150327839176,253,4039,fast_LAIM_solution,10,11.78883695602417,uniform,random,False
13,3,2160.6590340986554,266,4039,fast_LAIM_solution,10,11.78883695602417,uniform,random,False
14,4,2186.598642642247,316,4039,fast_LAIM_solution,10,11.78883695602417,uniform,random,False
15,5,2172.590913257116,281,4039,fast_LAIM_solution,10,11.78883695602417,uniform,random,False
16,6,2168.4513919927304,271,4039,fast_LAIM_solution,10,11.78883695602417,uniform,random,False
17,7,2168.905364415381,276,4039,fast_LAIM_solution,10,11.78883695602417,uniform,random,False
18,8,2177.26105952241,297,4039,fast_LAIM_solution,10,11.78883695602417,uniform,random,False
19,9,2170.1074536434344,271,4039,fast_LAIM_solution,10,11.78883695602417,uniform,random,False
20,0,2241.0554632148564,407,4039,fast_LAIM_solution,20,11.754595041275024,uniform,random,False
21,1,2235.053498587855,373,4039,fast_LAIM_solution,20,11.754595041275024,uniform,random,False
22,2,2230.522005851297,378,4039,fast_LAIM_solution,20,11.754595041275024,uniform,random,False
23,3,2190.7871018231103,286,4039,fast_LAIM_solution,20,11.754595041275024,uniform,random,False
24,4,2199.964969700491,316,4039,fast_LAIM_solution,20,11.754595041275024,uniform,random,False
25,5,2203.357828403108,330,4039,fast_LAIM_solution,20,11.754595041275024,uniform,random,False
26,6,2206.6400397643206,339,4039,fast_LAIM_solution,20,11.754595041275024,uniform,random,False
27,7,2212.5599726649175,343,4039,fast_LAIM_solution,20,11.754595041275024,uniform,random,False
28,8,2224.668149713229,381,4039,fast_LAIM_solution,20,11.754595041275024,uniform,random,False
29,9,2216.0292570860065,367,4039,fast_LAIM_solution,20,11.754595041275024,uniform,random,False
30,0,2227.0875044489144,381,4039,fast_LAIM_solution,30,11.733870029449463,uniform,random,False
31,1,2220.3809557742024,394,4039,fast_LAIM_solution,30,11.733870029449463,uniform,random,False
32,2,2232.410428446846,391,4039,fast_LAIM_solution,30,11.733870029449463,uniform,random,False
33,3,2232.120808507191,400,4039,fast_LAIM_solution,30,11.733870029449463,uniform,random,False
34,4,2251.812102433274,411,4039,fast_LAIM_solution,30,11.733870029449463,uniform,random,False
35,5,2216.11987987735,362,4039,fast_LAIM_solution,30,11.733870029449463,uniform,random,False
36,6,2209.6284259993718,369,4039,fast_LAIM_solution,30,11.733870029449463,uniform,random,False
37,7,2224.7744956644533,370,4039,fast_LAIM_solution,30,11.733870029449463,uniform,random,False
38,8,2228.11175378697,400,4039,fast_LAIM_solution,30,11.733870029449463,uniform,random,False
39,9,2239.2428558897914,397,4039,fast_LAIM_solution,30,11.733870029449463,uniform,random,False
40,0,2273.7867363748346,399,4039,fast_LAIM_solution,40,11.79184889793396,uniform,random,False
41,1,2258.2412449832427,379,4039,fast_LAIM_solution,40,11.79184889793396,uniform,random,False
42,2,2258.187548741571,364,4039,fast_LAIM_solution,40,11.79184889793396,uniform,random,False
43,3,2288.1911196702868,414,4039,fast_LAIM_solution,40,11.79184889793396,uniform,random,False
44,4,2289.561729801082,435,4039,fast_LAIM_solution,40,11.79184889793396,uniform,random,False
45,5,2273.335084444153,411,4039,fast_LAIM_solution,40,11.79184889793396,uniform,random,False
46,6,2258.542778789912,383,4039,fast_LAIM_solution,40,11.79184889793396,uniform,random,False
47,7,2279.339630842023,398,4039,fast_LAIM_solution,40,11.79184889793396,uniform,random,False
48,8,2298.292631649358,452,4039,fast_LAIM_solution,40,11.79184889793396,uniform,random,False
49,9,2267.581627632624,390,4039,fast_LAIM_solution,40,11.79184889793396,uniform,random,False
50,0,2261.808437437096,424,4039,fast_LAIM_solution,50,11.702690839767456,uniform,random,False
51,1,2276.751317250637,453,4039,fast_LAIM_solution,50,11.702690839767456,uniform,random,False
52,2,2298.6387939757574,483,4039,fast_LAIM_solution,50,11.702690839767456,uniform,random,False
53,3,2284.73235207556,476,4039,fast_LAIM_solution,50,11.702690839767456,uniform,random,False
54,4,2275.4328655157,442,4039,fast_LAIM_solution,50,11.702690839767456,uniform,random,False
55,5,2316.6027443787016,516,4039,fast_LAIM_solution,50,11.702690839767456,uniform,random,False
56,6,2278.3435308990033,450,4039,fast_LAIM_solution,50,11.702690839767456,uniform,random,False
57,7,2274.512687202891,453,4039,fast_LAIM_solution,50,11.702690839767456,uniform,random,False
58,8,2277.9029493455196,451,4039,fast_LAIM_solution,50,11.702690839767456,uniform,random,False
59,9,2274.810436726184,424,4039,fast_LAIM_solution,50,11.702690839767456,uniform,random,False
