,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,1844.4019067194984,46,1046,fast_LAIM_solution,1,25.401982069015503,polarized,random,True
1,1,1845.8458501822781,47,1046,fast_LAIM_solution,1,25.401982069015503,polarized,random,True
2,2,1848.3999002919438,59,1046,fast_LAIM_solution,1,25.401982069015503,polarized,random,True
3,3,1846.005425560068,55,1046,fast_LAIM_solution,1,25.401982069015503,polarized,random,True
4,4,1852.6197441863753,61,1047,fast_LAIM_solution,1,25.401982069015503,polarized,random,True
5,5,1844.5106736303123,41,1054,fast_LAIM_solution,1,25.401982069015503,polarized,random,True
6,6,1850.594575238113,59,1047,fast_LAIM_solution,1,25.401982069015503,polarized,random,True
7,7,1857.5753678525375,68,1046,fast_LAIM_solution,1,25.401982069015503,polarized,random,True
8,8,1847.3775557940016,47,1111,fast_LAIM_solution,1,25.401982069015503,polarized,random,True
9,9,1854.3821137378156,67,1054,fast_LAIM_solution,1,25.401982069015503,polarized,random,True
10,0,1248.940366151333,289,4039,fast_LAIM_solution,10,25.51225972175598,polarized,random,True
11,1,1239.1965711068026,273,4039,fast_LAIM_solution,10,25.51225972175598,polarized,random,True
12,2,1240.9121266113052,293,4039,fast_LAIM_solution,10,25.51225972175598,polarized,random,True
13,3,1223.386111329424,265,4039,fast_LAIM_solution,10,25.51225972175598,polarized,random,True
14,4,1256.4555620972624,303,4039,fast_LAIM_solution,10,25.51225972175598,polarized,random,True
15,5,1244.5724766439203,274,4039,fast_LAIM_solution,10,25.51225972175598,polarized,random,True
16,6,1247.4035449253486,293,4039,fast_LAIM_solution,10,25.51225972175598,polarized,random,True
17,7,1252.7038894719042,296,4039,fast_LAIM_solution,10,25.51225972175598,polarized,random,True
18,8,1233.443152108879,283,4039,fast_LAIM_solution,10,25.51225972175598,polarized,random,True
19,9,1263.783902075527,307,4039,fast_LAIM_solution,10,25.51225972175598,polarized,random,True
20,0,2090.4760191646023,275,4039,fast_LAIM_solution,20,25.15117597579956,polarized,random,True
21,1,2086.0131043266133,281,4039,fast_LAIM_solution,20,25.15117597579956,polarized,random,True
22,2,2080.55563907174,308,4039,fast_LAIM_solution,20,25.15117597579956,polarized,random,True
23,3,2079.4379787165813,260,4039,fast_LAIM_solution,20,25.15117597579956,polarized,random,True
24,4,2075.468801476266,271,4039,fast_LAIM_solution,20,25.15117597579956,polarized,random,True
25,5,2088.7838076268713,300,4039,fast_LAIM_solution,20,25.15117597579956,polarized,random,True
26,6,2091.9416963170893,285,4039,fast_LAIM_solution,20,25.15117597579956,polarized,random,True
27,7,2076.6873250512435,267,4039,fast_LAIM_solution,20,25.15117597579956,polarized,random,True
28,8,2073.674445512195,279,4039,fast_LAIM_solution,20,25.15117597579956,polarized,random,True
29,9,2104.616105634186,310,4039,fast_LAIM_solution,20,25.15117597579956,polarized,random,True
30,0,2172.0425740186693,277,4039,fast_LAIM_solution,30,25.345070123672485,polarized,random,True
31,1,2188.0430443613113,320,4039,fast_LAIM_solution,30,25.345070123672485,polarized,random,True
32,2,2195.3403329720645,318,4039,fast_LAIM_solution,30,25.345070123672485,polarized,random,True
33,3,2174.9347241513065,305,4039,fast_LAIM_solution,30,25.345070123672485,polarized,random,True
34,4,2180.959411862225,301,4039,fast_LAIM_solution,30,25.345070123672485,polarized,random,True
35,5,2194.083992161349,322,4039,fast_LAIM_solution,30,25.345070123672485,polarized,random,True
36,6,2162.5682786295297,273,4039,fast_LAIM_solution,30,25.345070123672485,polarized,random,True
37,7,2182.8290109681043,338,4039,fast_LAIM_solution,30,25.345070123672485,polarized,random,True
38,8,2165.2122931602335,287,4039,fast_LAIM_solution,30,25.345070123672485,polarized,random,True
39,9,2186.7920108349776,311,4039,fast_LAIM_solution,30,25.345070123672485,polarized,random,True
40,0,1550.828027851337,363,4039,fast_LAIM_solution,40,25.025609016418457,polarized,random,True
41,1,1587.8137241728296,394,4039,fast_LAIM_solution,40,25.025609016418457,polarized,random,True
42,2,1564.4909143962607,369,4039,fast_LAIM_solution,40,25.025609016418457,polarized,random,True
43,3,1566.6567622675082,377,4039,fast_LAIM_solution,40,25.025609016418457,polarized,random,True
44,4,1555.9413185749474,353,4039,fast_LAIM_solution,40,25.025609016418457,polarized,random,True
45,5,1574.718332768253,376,4039,fast_LAIM_solution,40,25.025609016418457,polarized,random,True
