,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,1882.375853801564,46,1046,fast_LAIM_solution,1,23.82457995414734,uniform,random,True
1,1,1886.8154988452839,50,1055,fast_LAIM_solution,1,23.82457995414734,uniform,random,True
2,2,1887.2159393876198,56,1116,fast_LAIM_solution,1,23.82457995414734,uniform,random,True
3,3,1886.3952517880482,55,1106,fast_LAIM_solution,1,23.82457995414734,uniform,random,True
4,4,1889.2014272030644,58,1077,fast_LAIM_solution,1,23.82457995414734,uniform,random,True
5,5,1883.7812558121948,45,1046,fast_LAIM_solution,1,23.82457995414734,uniform,random,True
6,6,1876.3353577347254,38,1046,fast_LAIM_solution,1,23.82457995414734,uniform,random,True
7,7,1884.4978256847655,51,1046,fast_LAIM_solution,1,23.82457995414734,uniform,random,True
8,8,1890.376242987755,56,1118,fast_LAIM_solution,1,23.82457995414734,uniform,random,True
9,9,1882.3818121411773,47,1047,fast_LAIM_solution,1,23.82457995414734,uniform,random,True
10,0,1880.1494455763182,254,4039,fast_LAIM_solution,10,24.138683080673218,uniform,random,True
11,1,1868.261147485622,221,4039,fast_LAIM_solution,10,24.138683080673218,uniform,random,True
12,2,1885.739000277034,260,4039,fast_LAIM_solution,10,24.138683080673218,uniform,random,True
13,3,1863.9955736412514,217,4039,fast_LAIM_solution,10,24.138683080673218,uniform,random,True
14,4,1872.8491375098047,244,4039,fast_LAIM_solution,10,24.138683080673218,uniform,random,True
15,5,1872.6735641203488,229,4039,fast_LAIM_solution,10,24.138683080673218,uniform,random,True
16,6,1878.5540318652818,241,4039,fast_LAIM_solution,10,24.138683080673218,uniform,random,True
17,7,1868.991705738107,221,4039,fast_LAIM_solution,10,24.138683080673218,uniform,random,True
18,8,1883.9444158624894,251,4039,fast_LAIM_solution,10,24.138683080673218,uniform,random,True
19,9,1868.6296350665016,229,4039,fast_LAIM_solution,10,24.138683080673218,uniform,random,True
20,0,2050.350975710289,262,4039,fast_LAIM_solution,20,23.948193073272705,uniform,random,True
21,1,2055.045300746998,288,4039,fast_LAIM_solution,20,23.948193073272705,uniform,random,True
22,2,2069.100666910854,294,4039,fast_LAIM_solution,20,23.948193073272705,uniform,random,True
23,3,2066.7503154954293,302,4039,fast_LAIM_solution,20,23.948193073272705,uniform,random,True
24,4,2084.847745559471,313,4039,fast_LAIM_solution,20,23.948193073272705,uniform,random,True
25,5,2078.268124114672,340,4039,fast_LAIM_solution,20,23.948193073272705,uniform,random,True
26,6,2052.1185018463784,276,4039,fast_LAIM_solution,20,23.948193073272705,uniform,random,True
27,7,2053.483140693553,283,4039,fast_LAIM_solution,20,23.948193073272705,uniform,random,True
28,8,2073.7531055087616,315,4039,fast_LAIM_solution,20,23.948193073272705,uniform,random,True
29,9,2052.3988830267713,276,4039,fast_LAIM_solution,20,23.948193073272705,uniform,random,True
30,0,1645.2498468652516,329,4039,fast_LAIM_solution,30,23.9321231842041,uniform,random,True
31,1,1664.5802159418033,380,4039,fast_LAIM_solution,30,23.9321231842041,uniform,random,True
