,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
1,1,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
2,2,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
3,3,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
4,4,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
5,5,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
6,6,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
7,7,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
8,8,2051.1575328311264,2,51,min_opinion_solution,1,0.002081632614135742,polarized,random,False
9,9,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
10,10,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
11,11,2051.1732984188207,2,34,min_opinion_solution,1,0.002081632614135742,polarized,random,False
12,12,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
13,13,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
14,14,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
15,15,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
16,16,2051.1249474594624,2,30,min_opinion_solution,1,0.002081632614135742,polarized,random,False
17,17,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
18,18,2050.57911847808,2,21,min_opinion_solution,1,0.002081632614135742,polarized,random,False
19,19,2050.8326071785236,2,46,min_opinion_solution,1,0.002081632614135742,polarized,random,False
20,20,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
21,21,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
22,22,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
23,23,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
24,24,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
25,25,2051.1732984188207,2,34,min_opinion_solution,1,0.002081632614135742,polarized,random,False
26,26,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
27,27,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
28,28,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
29,29,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
30,30,2050.9408723208608,2,21,min_opinion_solution,1,0.002081632614135742,polarized,random,False
31,31,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
32,32,2053.994070991432,10,101,min_opinion_solution,1,0.002081632614135742,polarized,random,False
33,33,2050.57911847808,2,21,min_opinion_solution,1,0.002081632614135742,polarized,random,False
34,34,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
35,35,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
36,36,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
37,37,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
38,38,2051.1249474594624,2,30,min_opinion_solution,1,0.002081632614135742,polarized,random,False
39,39,2051.1732984188207,2,34,min_opinion_solution,1,0.002081632614135742,polarized,random,False
40,40,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
41,41,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
42,42,2051.568164019695,3,38,min_opinion_solution,1,0.002081632614135742,polarized,random,False
43,43,2051.722102812294,3,74,min_opinion_solution,1,0.002081632614135742,polarized,random,False
44,44,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
45,45,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
46,46,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
47,47,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
48,48,2051.1732984188207,2,34,min_opinion_solution,1,0.002081632614135742,polarized,random,False
49,49,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
50,50,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
51,51,2051.1732984188207,2,34,min_opinion_solution,1,0.002081632614135742,polarized,random,False
52,52,2050.949058244458,2,40,min_opinion_solution,1,0.002081632614135742,polarized,random,False
53,53,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
54,54,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
55,55,2051.1249474594624,2,30,min_opinion_solution,1,0.002081632614135742,polarized,random,False
56,56,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
57,57,2051.1249474594624,2,30,min_opinion_solution,1,0.002081632614135742,polarized,random,False
58,58,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
59,59,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
60,60,2051.1249474594624,2,30,min_opinion_solution,1,0.002081632614135742,polarized,random,False
61,61,2054.7594782947926,8,94,min_opinion_solution,1,0.002081632614135742,polarized,random,False
62,62,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
63,63,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
64,64,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
65,65,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
66,66,2052.1249115649434,3,36,min_opinion_solution,1,0.002081632614135742,polarized,random,False
67,67,2050.9408723208608,2,21,min_opinion_solution,1,0.002081632614135742,polarized,random,False
68,68,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
69,69,2050.184252877206,1,17,min_opinion_solution,1,0.002081632614135742,polarized,random,False
70,70,2051.1732984188207,2,34,min_opinion_solution,1,0.002081632614135742,polarized,random,False
