,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,1857.5850349713112,1,3,min_opinion_solution,1,0.0017459392547607422,uniform,random,True
1,1,1857.5850349713112,1,3,min_opinion_solution,1,0.0017459392547607422,uniform,random,True
2,2,1857.5850349713112,1,3,min_opinion_solution,1,0.0017459392547607422,uniform,random,True
3,3,1857.5850349713112,1,3,min_opinion_solution,1,0.0017459392547607422,uniform,random,True
4,4,1857.5850349713112,1,3,min_opinion_solution,1,0.0017459392547607422,uniform,random,True
5,5,1857.5850349713112,1,3,min_opinion_solution,1,0.0017459392547607422,uniform,random,True
6,6,1857.5850349713112,1,3,min_opinion_solution,1,0.0017459392547607422,uniform,random,True
7,7,1857.5850349713112,1,3,min_opinion_solution,1,0.0017459392547607422,uniform,random,True
8,8,1857.5850349713112,1,3,min_opinion_solution,1,0.0017459392547607422,uniform,random,True
9,9,1857.5850349713112,1,3,min_opinion_solution,1,0.0017459392547607422,uniform,random,True
10,0,1759.2437431065123,15,284,min_opinion_solution,10,0.0017368793487548828,uniform,random,True
11,1,1759.9904259664595,15,274,min_opinion_solution,10,0.0017368793487548828,uniform,random,True
12,2,1759.5912430564974,14,250,min_opinion_solution,10,0.0017368793487548828,uniform,random,True
13,3,1756.1399706616085,10,229,min_opinion_solution,10,0.0017368793487548828,uniform,random,True
14,4,1757.8019299569223,12,249,min_opinion_solution,10,0.0017368793487548828,uniform,random,True
15,5,1758.0037882293877,16,313,min_opinion_solution,10,0.0017368793487548828,uniform,random,True
16,6,1758.91161032127,14,276,min_opinion_solution,10,0.0017368793487548828,uniform,random,True
17,7,1757.8158922679493,12,229,min_opinion_solution,10,0.0017368793487548828,uniform,random,True
18,8,1760.4601933877311,16,255,min_opinion_solution,10,0.0017368793487548828,uniform,random,True
19,9,1759.6955332919915,16,292,min_opinion_solution,10,0.0017368793487548828,uniform,random,True
20,0,1936.1798353448983,40,630,min_opinion_solution,20,0.0015850067138671875,uniform,random,True
21,1,1934.0563497811343,30,557,min_opinion_solution,20,0.0015850067138671875,uniform,random,True
22,2,1936.7924246590915,33,660,min_opinion_solution,20,0.0015850067138671875,uniform,random,True
23,3,1929.4931523354942,22,546,min_opinion_solution,20,0.0015850067138671875,uniform,random,True
24,4,1933.0965803279669,28,588,min_opinion_solution,20,0.0015850067138671875,uniform,random,True
25,5,1931.933014755904,26,560,min_opinion_solution,20,0.0015850067138671875,uniform,random,True
26,6,1937.6255801868915,33,757,min_opinion_solution,20,0.0015850067138671875,uniform,random,True
27,7,1933.0178194277462,31,608,min_opinion_solution,20,0.0015850067138671875,uniform,random,True
28,8,1927.963860298065,20,521,min_opinion_solution,20,0.0015850067138671875,uniform,random,True
29,9,1933.7291197749103,35,715,min_opinion_solution,20,0.0015850067138671875,uniform,random,True
30,0,1485.2465221342513,48,749,min_opinion_solution,30,0.001611948013305664,uniform,random,True
31,1,1482.5825836475992,45,708,min_opinion_solution,30,0.001611948013305664,uniform,random,True
32,2,1478.190529417232,38,681,min_opinion_solution,30,0.001611948013305664,uniform,random,True
33,3,1485.9318814156802,50,739,min_opinion_solution,30,0.001611948013305664,uniform,random,True
34,4,1480.3380753818706,46,712,min_opinion_solution,30,0.001611948013305664,uniform,random,True
35,5,1483.3091352301499,47,777,min_opinion_solution,30,0.001611948013305664,uniform,random,True
36,6,1492.243788345025,58,804,min_opinion_solution,30,0.001611948013305664,uniform,random,True
37,7,1486.7506007750278,48,743,min_opinion_solution,30,0.001611948013305664,uniform,random,True
38,8,1485.764956376643,52,762,min_opinion_solution,30,0.001611948013305664,uniform,random,True
39,9,1482.718541485404,44,752,min_opinion_solution,30,0.001611948013305664,uniform,random,True
