,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2017.1154634256436,51,1057,opinion_degree_solution,1,1.338320016860962,polarized,random,False
1,1,2021.2642503422057,51,1071,opinion_degree_solution,1,1.338320016860962,polarized,random,False
2,2,2018.7353132957705,47,1046,opinion_degree_solution,1,1.338320016860962,polarized,random,False
3,3,2022.8064885065173,58,1089,opinion_degree_solution,1,1.338320016860962,polarized,random,False
4,4,2010.176021775409,37,1070,opinion_degree_solution,1,1.338320016860962,polarized,random,False
5,5,2014.9764530923148,48,1047,opinion_degree_solution,1,1.338320016860962,polarized,random,False
6,6,2019.042909366718,49,1046,opinion_degree_solution,1,1.338320016860962,polarized,random,False
7,7,2030.4962220042858,69,1046,opinion_degree_solution,1,1.338320016860962,polarized,random,False
8,8,2019.9612399217253,48,1046,opinion_degree_solution,1,1.338320016860962,polarized,random,False
9,9,2020.818890643381,53,1066,opinion_degree_solution,1,1.338320016860962,polarized,random,False
10,0,2075.7604720802847,173,2142,opinion_degree_solution,10,1.3749723434448242,polarized,random,False
11,1,2058.817354832434,147,2197,opinion_degree_solution,10,1.3749723434448242,polarized,random,False
12,2,2060.9905990979037,160,2225,opinion_degree_solution,10,1.3749723434448242,polarized,random,False
13,3,2056.2078040438164,151,2228,opinion_degree_solution,10,1.3749723434448242,polarized,random,False
14,4,2068.0387169661662,174,2150,opinion_degree_solution,10,1.3749723434448242,polarized,random,False
15,5,2051.714689019027,135,2139,opinion_degree_solution,10,1.3749723434448242,polarized,random,False
16,6,2054.493000727237,136,2154,opinion_degree_solution,10,1.3749723434448242,polarized,random,False
17,7,2067.9280271921057,155,2205,opinion_degree_solution,10,1.3749723434448242,polarized,random,False
18,8,2047.9058536761656,128,2175,opinion_degree_solution,10,1.3749723434448242,polarized,random,False
19,9,2051.7075376295625,127,2139,opinion_degree_solution,10,1.3749723434448242,polarized,random,False
20,0,2158.47564011249,189,2386,opinion_degree_solution,20,1.367077112197876,polarized,random,False
21,1,2113.726278823508,112,2385,opinion_degree_solution,20,1.367077112197876,polarized,random,False
22,2,2125.60976309434,134,2365,opinion_degree_solution,20,1.367077112197876,polarized,random,False
23,3,2129.0809053006515,136,2442,opinion_degree_solution,20,1.367077112197876,polarized,random,False
24,4,2113.939476603216,121,2323,opinion_degree_solution,20,1.367077112197876,polarized,random,False
25,5,2138.465389817271,155,2526,opinion_degree_solution,20,1.367077112197876,polarized,random,False
26,6,2134.8348105057603,153,2357,opinion_degree_solution,20,1.367077112197876,polarized,random,False
27,7,2136.102789586822,147,2433,opinion_degree_solution,20,1.367077112197876,polarized,random,False
28,8,2136.267987674183,147,2372,opinion_degree_solution,20,1.367077112197876,polarized,random,False
29,9,2140.456217364976,158,2391,opinion_degree_solution,20,1.367077112197876,polarized,random,False
30,0,2108.7057470663513,168,2038,opinion_degree_solution,30,1.434518814086914,polarized,random,False
31,1,2096.517499537475,149,2010,opinion_degree_solution,30,1.434518814086914,polarized,random,False
32,2,2112.8286341732683,168,1962,opinion_degree_solution,30,1.434518814086914,polarized,random,False
33,3,2120.777684204093,179,2010,opinion_degree_solution,30,1.434518814086914,polarized,random,False
34,4,2113.9047519262576,182,2198,opinion_degree_solution,30,1.434518814086914,polarized,random,False
35,5,2119.34739573507,180,1973,opinion_degree_solution,30,1.434518814086914,polarized,random,False
36,6,2115.682824280204,168,1989,opinion_degree_solution,30,1.434518814086914,polarized,random,False
37,7,2123.6601538362825,200,1978,opinion_degree_solution,30,1.434518814086914,polarized,random,False
38,8,2128.31269263918,196,1983,opinion_degree_solution,30,1.434518814086914,polarized,random,False
39,9,2108.3721271366458,174,1987,opinion_degree_solution,30,1.434518814086914,polarized,random,False
40,0,2286.4956668780587,372,3851,opinion_degree_solution,40,1.4171032905578613,polarized,random,False
41,1,2283.0778622703338,351,3856,opinion_degree_solution,40,1.4171032905578613,polarized,random,False
42,2,2285.1522126890386,345,3846,opinion_degree_solution,40,1.4171032905578613,polarized,random,False
43,3,2291.703492196431,361,3859,opinion_degree_solution,40,1.4171032905578613,polarized,random,False
44,4,2262.934919681934,312,3851,opinion_degree_solution,40,1.4171032905578613,polarized,random,False
45,5,2254.523308544974,307,3859,opinion_degree_solution,40,1.4171032905578613,polarized,random,False
46,6,2264.8313346892633,324,3857,opinion_degree_solution,40,1.4171032905578613,polarized,random,False
47,7,2266.968633681612,324,3849,opinion_degree_solution,40,1.4171032905578613,polarized,random,False
48,8,2278.944830403846,345,3856,opinion_degree_solution,40,1.4171032905578613,polarized,random,False
49,9,2288.6642605393276,366,3882,opinion_degree_solution,40,1.4171032905578613,polarized,random,False
50,0,2207.3744245291978,331,3296,opinion_degree_solution,50,1.4715211391448975,polarized,random,False
51,1,2195.816606688043,311,3307,opinion_degree_solution,50,1.4715211391448975,polarized,random,False
52,2,2173.395324552612,289,3297,opinion_degree_solution,50,1.4715211391448975,polarized,random,False
53,3,2174.759971783261,276,3295,opinion_degree_solution,50,1.4715211391448975,polarized,random,False
54,4,2187.957253103181,303,3303,opinion_degree_solution,50,1.4715211391448975,polarized,random,False
55,5,2184.9151268457117,299,3415,opinion_degree_solution,50,1.4715211391448975,polarized,random,False
56,6,2187.478844143839,308,3303,opinion_degree_solution,50,1.4715211391448975,polarized,random,False
57,7,2200.0288094013276,315,3299,opinion_degree_solution,50,1.4715211391448975,polarized,random,False
58,8,2176.064576200604,281,3299,opinion_degree_solution,50,1.4715211391448975,polarized,random,False
59,9,2173.2926190305725,280,3303,opinion_degree_solution,50,1.4715211391448975,polarized,random,False
