,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2064.5432205559555,27,756,opinion_degree_solution,1,1.14625883102417,uniform,random,False
1,1,2066.2881410410873,30,908,opinion_degree_solution,1,1.14625883102417,uniform,random,False
2,2,2065.6922769844923,26,767,opinion_degree_solution,1,1.14625883102417,uniform,random,False
3,3,2074.415518237068,45,756,opinion_degree_solution,1,1.14625883102417,uniform,random,False
4,4,2066.9116399652194,32,756,opinion_degree_solution,1,1.14625883102417,uniform,random,False
5,5,2076.250785796464,48,756,opinion_degree_solution,1,1.14625883102417,uniform,random,False
6,6,2067.155998413596,32,756,opinion_degree_solution,1,1.14625883102417,uniform,random,False
7,7,2073.1131422777344,45,756,opinion_degree_solution,1,1.14625883102417,uniform,random,False
8,8,2055.885681610814,14,756,opinion_degree_solution,1,1.14625883102417,uniform,random,False
9,9,2065.0722590411883,30,756,opinion_degree_solution,1,1.14625883102417,uniform,random,False
10,0,2093.8284050899933,88,1335,opinion_degree_solution,10,1.117130994796753,uniform,random,False
11,1,2085.4384417325396,80,1332,opinion_degree_solution,10,1.117130994796753,uniform,random,False
12,2,2096.949835746346,87,1299,opinion_degree_solution,10,1.117130994796753,uniform,random,False
13,3,2096.7457998557925,89,1325,opinion_degree_solution,10,1.117130994796753,uniform,random,False
14,4,2093.747438466971,88,1319,opinion_degree_solution,10,1.117130994796753,uniform,random,False
15,5,2090.084833748341,87,1534,opinion_degree_solution,10,1.117130994796753,uniform,random,False
16,6,2084.5761031370494,71,1297,opinion_degree_solution,10,1.117130994796753,uniform,random,False
17,7,2099.2282892069,103,1307,opinion_degree_solution,10,1.117130994796753,uniform,random,False
18,8,2081.1355178014546,70,1345,opinion_degree_solution,10,1.117130994796753,uniform,random,False
19,9,2090.135037962105,81,1338,opinion_degree_solution,10,1.117130994796753,uniform,random,False
20,0,2161.2252370799233,223,2825,opinion_degree_solution,20,1.1915161609649658,uniform,random,False
21,1,2163.4745188874645,222,2765,opinion_degree_solution,20,1.1915161609649658,uniform,random,False
22,2,2160.5792702556814,229,2774,opinion_degree_solution,20,1.1915161609649658,uniform,random,False
23,3,2154.419528364631,192,2773,opinion_degree_solution,20,1.1915161609649658,uniform,random,False
24,4,2176.972104922106,244,2871,opinion_degree_solution,20,1.1915161609649658,uniform,random,False
25,5,2151.1503948094946,204,2772,opinion_degree_solution,20,1.1915161609649658,uniform,random,False
26,6,2175.633384260755,245,2772,opinion_degree_solution,20,1.1915161609649658,uniform,random,False
27,7,2170.222275719229,222,2837,opinion_degree_solution,20,1.1915161609649658,uniform,random,False
28,8,2166.0941743289254,225,2784,opinion_degree_solution,20,1.1915161609649658,uniform,random,False
29,9,2165.258649704977,217,2792,opinion_degree_solution,20,1.1915161609649658,uniform,random,False
30,0,2176.817378140414,249,3236,opinion_degree_solution,30,1.1806888580322266,uniform,random,False
31,1,2168.5437541779406,242,3234,opinion_degree_solution,30,1.1806888580322266,uniform,random,False
32,2,2191.0013284319566,303,3349,opinion_degree_solution,30,1.1806888580322266,uniform,random,False
33,3,2176.5997939929744,263,3243,opinion_degree_solution,30,1.1806888580322266,uniform,random,False
34,4,2178.698052517538,267,3262,opinion_degree_solution,30,1.1806888580322266,uniform,random,False
35,5,2173.967824825531,251,3221,opinion_degree_solution,30,1.1806888580322266,uniform,random,False
36,6,2189.1352625490417,280,3259,opinion_degree_solution,30,1.1806888580322266,uniform,random,False
37,7,2163.0692573235565,244,3256,opinion_degree_solution,30,1.1806888580322266,uniform,random,False
38,8,2188.250474485867,267,3231,opinion_degree_solution,30,1.1806888580322266,uniform,random,False
39,9,2192.0513256630156,283,3238,opinion_degree_solution,30,1.1806888580322266,uniform,random,False
40,0,2197.90090098562,209,2490,opinion_degree_solution,40,1.2408959865570068,uniform,random,False
