,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,2335.4952780613635,24,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
1,1,2329.660841054442,11,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
2,2,2330.1276265614715,11,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
3,3,2329.0105051718474,10,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
4,4,2342.4419186755676,39,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
5,5,2330.906560412258,14,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
6,6,2332.612629821066,17,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
7,7,2334.213949568615,21,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
8,8,2336.226974473372,27,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
9,9,2331.7190657074157,14,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
10,10,2332.212138649364,17,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
11,11,2332.555670660334,19,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
12,12,2331.232385777051,16,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
13,13,2334.05432388226,20,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
14,14,2328.8262853172128,9,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
15,15,2332.6463916003286,16,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
16,16,2331.866315859914,16,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
17,17,2333.935216763497,20,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
18,18,2333.878955543618,22,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
19,19,2332.3523086773553,18,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
20,20,2334.163797457654,21,767,opinion_degree_solution,1,1.284348726272583,polarized,random,True
21,21,2332.5449944097245,18,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
22,22,2336.760265067788,27,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
23,23,2333.4378605825223,21,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
24,24,2328.8820227776646,10,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
25,25,2338.7224103749845,30,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
26,26,2330.291885419293,13,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
27,27,2331.800892507598,15,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
28,28,2330.909085889597,14,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
29,29,2336.4637651372886,28,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
30,30,2331.908262233112,17,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
31,31,2332.898285686801,19,767,opinion_degree_solution,1,1.284348726272583,polarized,random,True
32,32,2333.2510160081497,18,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
33,33,2338.0892795001937,30,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
34,34,2333.090970724269,21,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
35,35,2331.163399090872,14,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
36,36,2335.2345538861223,23,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
37,37,2332.175777162336,18,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
38,38,2330.364165527231,13,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
39,39,2330.160246451105,13,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
40,40,2334.5557274527355,20,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
41,41,2331.163399090872,14,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
42,42,2337.229375408739,26,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
43,43,2330.0768099944057,12,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
44,44,2331.6559500350077,16,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
45,45,2332.3969370830932,16,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
46,46,2332.92138787312,18,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
47,47,2329.9091008937685,13,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
48,48,2331.0788031698385,15,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
49,49,2332.844621836795,17,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
50,50,2339.5548796022745,34,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
51,51,2330.584935612467,13,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
52,52,2330.785561266834,15,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
53,53,2334.0023541243354,25,767,opinion_degree_solution,1,1.284348726272583,polarized,random,True
54,54,2334.3020084113746,20,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
55,55,2335.9380688711785,20,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
56,56,2334.7611454658063,24,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
57,57,2331.5735162725177,15,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
58,58,2335.9514401060633,24,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
59,59,2329.4096954971055,11,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
60,60,2332.53990698388,17,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
61,61,2329.719151490011,12,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
62,62,2334.1194248503434,21,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
63,63,2333.878955543617,22,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
64,64,2340.2748313030406,33,767,opinion_degree_solution,1,1.284348726272583,polarized,random,True
65,65,2335.082176997372,22,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
66,66,2332.71019277119,16,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
67,67,2333.3315301265,18,767,opinion_degree_solution,1,1.284348726272583,polarized,random,True
68,68,2334.1517383095656,19,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
69,69,2331.765892718241,14,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
70,70,2333.8299662820955,19,756,opinion_degree_solution,1,1.284348726272583,polarized,random,True
