,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,1873.398750704418,24,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
1,1,1876.1712182631402,27,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
2,2,1876.1995634445552,27,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
3,3,1889.4930823800223,46,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
4,4,1866.6941366446238,15,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
5,5,1877.8661545402135,30,778,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
6,6,1868.7816627642203,18,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
7,7,1881.0358270680265,34,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
8,8,1875.278422940888,26,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
9,9,1879.4704665778424,31,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
10,10,1880.0530389876342,32,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
11,11,1867.151772591167,16,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
12,12,1876.1648920587525,26,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
13,13,1872.897546525212,23,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
14,14,1875.7210546857946,28,782,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
15,15,1869.424056605808,18,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
16,16,1879.588378613713,33,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
17,17,1865.873183840837,15,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
18,18,1874.9403156412914,26,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
19,19,1874.809915401613,25,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
20,20,1875.6410402329032,26,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
21,21,1871.9578785933966,23,767,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
22,22,1868.352541891944,17,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
23,23,1878.479849324995,32,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
24,24,1887.579209676311,43,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
25,25,1871.1682490067678,19,756,opinion_degree_solution,1,1.2645659446716309,uniform,random,True
