,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40729.31151035741,94,1739,degree_solution,1,0.18214821815490723,uniform,random,False
1,1,40741.27800760756,115,1983,degree_solution,1,0.18214821815490723,uniform,random,False
2,2,40746.77768544989,124,1809,degree_solution,1,0.18214821815490723,uniform,random,False
3,3,40756.574501265,155,2122,degree_solution,1,0.18214821815490723,uniform,random,False
4,4,40752.76440255904,138,2191,degree_solution,1,0.18214821815490723,uniform,random,False
5,5,40755.13236137349,148,2123,degree_solution,1,0.18214821815490723,uniform,random,False
6,6,40748.172495029605,118,1781,degree_solution,1,0.18214821815490723,uniform,random,False
7,7,40737.020953403495,109,1652,degree_solution,1,0.18214821815490723,uniform,random,False
8,8,40730.999338381735,92,1577,degree_solution,1,0.18214821815490723,uniform,random,False
9,9,40746.36051584352,121,1994,degree_solution,1,0.18214821815490723,uniform,random,False
10,10,40753.22443650621,134,2131,degree_solution,1,0.18214821815490723,uniform,random,False
11,11,40731.40516613682,105,1669,degree_solution,1,0.18214821815490723,uniform,random,False
12,12,40734.016152887525,99,1774,degree_solution,1,0.18214821815490723,uniform,random,False
13,13,40758.5895417966,141,2116,degree_solution,1,0.18214821815490723,uniform,random,False
14,14,40750.06998313807,121,1833,degree_solution,1,0.18214821815490723,uniform,random,False
15,15,40762.675092303994,169,2093,degree_solution,1,0.18214821815490723,uniform,random,False
16,16,40752.48668320458,125,2030,degree_solution,1,0.18214821815490723,uniform,random,False
17,17,40737.21618511893,121,1948,degree_solution,1,0.18214821815490723,uniform,random,False
18,18,40758.47607818317,139,1919,degree_solution,1,0.18214821815490723,uniform,random,False
19,19,40733.89762133256,104,1729,degree_solution,1,0.18214821815490723,uniform,random,False
20,20,40739.01147514292,121,1863,degree_solution,1,0.18214821815490723,uniform,random,False
21,21,40737.85809044588,109,1798,degree_solution,1,0.18214821815490723,uniform,random,False
22,22,40730.16681735597,94,1842,degree_solution,1,0.18214821815490723,uniform,random,False
23,23,40741.62836499177,129,2129,degree_solution,1,0.18214821815490723,uniform,random,False
24,24,40753.15923143233,140,1976,degree_solution,1,0.18214821815490723,uniform,random,False
25,25,40739.60886520384,113,1964,degree_solution,1,0.18214821815490723,uniform,random,False
26,26,40740.85303121232,115,2020,degree_solution,1,0.18214821815490723,uniform,random,False
27,27,40749.78571874063,152,2580,degree_solution,1,0.18214821815490723,uniform,random,False
28,28,40747.96778732416,123,1929,degree_solution,1,0.18214821815490723,uniform,random,False
29,29,40740.444701492444,115,1920,degree_solution,1,0.18214821815490723,uniform,random,False
30,30,40738.073422921814,116,2401,degree_solution,1,0.18214821815490723,uniform,random,False
31,31,40734.4723007408,102,1632,degree_solution,1,0.18214821815490723,uniform,random,False
32,32,40761.47781591297,155,2278,degree_solution,1,0.18214821815490723,uniform,random,False
33,33,40735.45447614474,97,1571,degree_solution,1,0.18214821815490723,uniform,random,False
34,34,40728.16241193149,87,1802,degree_solution,1,0.18214821815490723,uniform,random,False
35,35,40741.91527418983,121,1829,degree_solution,1,0.18214821815490723,uniform,random,False
36,36,40727.40075928765,85,1736,degree_solution,1,0.18214821815490723,uniform,random,False
37,37,40762.18280591456,170,2197,degree_solution,1,0.18214821815490723,uniform,random,False
38,38,40784.2208922216,221,2669,degree_solution,1,0.18214821815490723,uniform,random,False
39,39,40731.18902610867,100,1946,degree_solution,1,0.18214821815490723,uniform,random,False
40,40,40736.9042393666,115,2063,degree_solution,1,0.18214821815490723,uniform,random,False
41,41,40742.67537736585,126,1973,degree_solution,1,0.18214821815490723,uniform,random,False
42,42,40737.483530257225,110,1943,degree_solution,1,0.18214821815490723,uniform,random,False
43,43,40726.91408839417,89,1525,degree_solution,1,0.18214821815490723,uniform,random,False
44,44,40748.47195730361,131,1928,degree_solution,1,0.18214821815490723,uniform,random,False
45,45,40757.331428463345,142,2212,degree_solution,1,0.18214821815490723,uniform,random,False
46,46,40721.06405714361,82,1708,degree_solution,1,0.18214821815490723,uniform,random,False
47,47,40767.13044250058,175,2477,degree_solution,1,0.18214821815490723,uniform,random,False
48,48,40736.82549617988,114,1787,degree_solution,1,0.18214821815490723,uniform,random,False
49,49,40742.47474245949,116,1994,degree_solution,1,0.18214821815490723,uniform,random,False
50,50,40735.055854439444,111,1868,degree_solution,1,0.18214821815490723,uniform,random,False
51,51,40733.03861845996,99,1751,degree_solution,1,0.18214821815490723,uniform,random,False
52,52,40741.928754624,123,2011,degree_solution,1,0.18214821815490723,uniform,random,False
53,53,40757.25264590386,153,1998,degree_solution,1,0.18214821815490723,uniform,random,False
54,54,40733.73667873587,98,1952,degree_solution,1,0.18214821815490723,uniform,random,False
55,55,40723.82442076874,82,1570,degree_solution,1,0.18214821815490723,uniform,random,False
56,56,40810.48111727413,267,2697,degree_solution,1,0.18214821815490723,uniform,random,False
57,57,40720.58597161405,90,1660,degree_solution,1,0.18214821815490723,uniform,random,False
58,58,40765.02501897527,175,2907,degree_solution,1,0.18214821815490723,uniform,random,False
59,59,40729.847464360224,101,1575,degree_solution,1,0.18214821815490723,uniform,random,False
60,60,40738.61867820336,113,2103,degree_solution,1,0.18214821815490723,uniform,random,False
61,61,40734.99110414736,114,1712,degree_solution,1,0.18214821815490723,uniform,random,False
62,62,40736.042997872886,110,1902,degree_solution,1,0.18214821815490723,uniform,random,False
63,63,40768.847366636466,173,2423,degree_solution,1,0.18214821815490723,uniform,random,False
64,64,40730.01943116953,99,1618,degree_solution,1,0.18214821815490723,uniform,random,False
65,65,40738.82773721471,106,1823,degree_solution,1,0.18214821815490723,uniform,random,False
66,66,40757.493098484,146,1934,degree_solution,1,0.18214821815490723,uniform,random,False
67,67,40734.41720856158,101,1761,degree_solution,1,0.18214821815490723,uniform,random,False
68,68,40737.66454285278,116,1920,degree_solution,1,0.18214821815490723,uniform,random,False
69,69,40737.839390231406,117,1863,degree_solution,1,0.18214821815490723,uniform,random,False
70,70,40742.39063213393,119,2301,degree_solution,1,0.18214821815490723,uniform,random,False
71,71,40737.25230193219,113,1900,degree_solution,1,0.18214821815490723,uniform,random,False
72,72,40746.600615765914,128,1925,degree_solution,1,0.18214821815490723,uniform,random,False
73,73,40720.01234869121,94,1507,degree_solution,1,0.18214821815490723,uniform,random,False
74,74,40756.23477152668,143,2244,degree_solution,1,0.18214821815490723,uniform,random,False
75,75,40732.42082127521,100,1637,degree_solution,1,0.18214821815490723,uniform,random,False
76,76,40749.79354441438,138,2287,degree_solution,1,0.18214821815490723,uniform,random,False
77,77,40768.08497394333,159,2418,degree_solution,1,0.18214821815490723,uniform,random,False
78,78,40743.99826492699,130,1907,degree_solution,1,0.18214821815490723,uniform,random,False
79,79,40732.32834366362,100,1595,degree_solution,1,0.18214821815490723,uniform,random,False
80,80,40745.489031189216,125,2155,degree_solution,1,0.18214821815490723,uniform,random,False
81,81,40745.30924279621,128,1804,degree_solution,1,0.18214821815490723,uniform,random,False
82,82,40726.58120090058,88,1823,degree_solution,1,0.18214821815490723,uniform,random,False
83,83,40761.108246126365,152,2415,degree_solution,1,0.18214821815490723,uniform,random,False
84,84,40736.74915348366,116,2028,degree_solution,1,0.18214821815490723,uniform,random,False
85,85,40739.011250544645,121,1777,degree_solution,1,0.18214821815490723,uniform,random,False
86,86,40740.315267030266,105,1696,degree_solution,1,0.18214821815490723,uniform,random,False
87,87,40731.32638555088,96,2126,degree_solution,1,0.18214821815490723,uniform,random,False
88,88,40743.46275379123,118,1838,degree_solution,1,0.18214821815490723,uniform,random,False
89,89,40747.92063939231,121,2088,degree_solution,1,0.18214821815490723,uniform,random,False
90,90,40733.59219774077,93,1860,degree_solution,1,0.18214821815490723,uniform,random,False
91,91,40758.56164852383,153,2073,degree_solution,1,0.18214821815490723,uniform,random,False
92,92,40761.22860841486,153,2642,degree_solution,1,0.18214821815490723,uniform,random,False
93,93,40739.72165235775,115,2019,degree_solution,1,0.18214821815490723,uniform,random,False
94,94,40726.103121531145,88,1657,degree_solution,1,0.18214821815490723,uniform,random,False
95,95,40735.474203443846,115,1675,degree_solution,1,0.18214821815490723,uniform,random,False
96,96,40744.20143903319,126,2075,degree_solution,1,0.18214821815490723,uniform,random,False
97,97,40767.05951020715,162,2188,degree_solution,1,0.18214821815490723,uniform,random,False
98,98,40773.86131326026,175,2295,degree_solution,1,0.18214821815490723,uniform,random,False
99,99,40739.07402807495,128,2161,degree_solution,1,0.18214821815490723,uniform,random,False
100,0,40813.28948994007,253,4894,degree_solution,10,0.18322086334228516,uniform,random,False
101,1,40788.79555350665,208,4524,degree_solution,10,0.18322086334228516,uniform,random,False
102,2,40850.485082639694,319,5621,degree_solution,10,0.18322086334228516,uniform,random,False
103,3,40808.866250888816,239,4780,degree_solution,10,0.18322086334228516,uniform,random,False
104,4,40807.434010272416,251,4768,degree_solution,10,0.18322086334228516,uniform,random,False
105,5,40788.43096642534,213,4692,degree_solution,10,0.18322086334228516,uniform,random,False
106,6,40821.964464297685,277,5652,degree_solution,10,0.18322086334228516,uniform,random,False
107,7,40837.04643733086,315,5424,degree_solution,10,0.18322086334228516,uniform,random,False
108,8,40868.0850061046,370,5329,degree_solution,10,0.18322086334228516,uniform,random,False
109,9,40795.44385927343,221,4855,degree_solution,10,0.18322086334228516,uniform,random,False
110,10,40857.918420527014,347,5322,degree_solution,10,0.18322086334228516,uniform,random,False
111,11,40816.097697813384,273,4877,degree_solution,10,0.18322086334228516,uniform,random,False
112,12,40847.45577612626,323,5369,degree_solution,10,0.18322086334228516,uniform,random,False
113,13,40886.995094305676,395,5216,degree_solution,10,0.18322086334228516,uniform,random,False
114,14,40819.644160435884,260,4790,degree_solution,10,0.18322086334228516,uniform,random,False
115,15,40849.45843530838,323,5318,degree_solution,10,0.18322086334228516,uniform,random,False
116,16,40797.36472070913,215,4645,degree_solution,10,0.18322086334228516,uniform,random,False
117,17,40868.98603229224,378,6041,degree_solution,10,0.18322086334228516,uniform,random,False
118,18,40886.25530667022,420,5577,degree_solution,10,0.18322086334228516,uniform,random,False
119,19,40835.601009162034,312,5369,degree_solution,10,0.18322086334228516,uniform,random,False
120,20,40815.58145740155,258,5427,degree_solution,10,0.18322086334228516,uniform,random,False
121,21,40847.987923132714,320,5192,degree_solution,10,0.18322086334228516,uniform,random,False
122,22,40832.31108474314,282,5227,degree_solution,10,0.18322086334228516,uniform,random,False
123,23,40817.096474576785,273,5627,degree_solution,10,0.18322086334228516,uniform,random,False
124,24,40879.99746654592,406,5871,degree_solution,10,0.18322086334228516,uniform,random,False
125,25,40805.229617549216,245,4833,degree_solution,10,0.18322086334228516,uniform,random,False
126,26,40843.18938189491,318,5630,degree_solution,10,0.18322086334228516,uniform,random,False
127,27,40801.343773046276,258,4834,degree_solution,10,0.18322086334228516,uniform,random,False
128,28,40816.36071709039,256,4884,degree_solution,10,0.18322086334228516,uniform,random,False
129,29,40811.40439763438,255,5558,degree_solution,10,0.18322086334228516,uniform,random,False
130,30,40838.82083094997,335,5294,degree_solution,10,0.18322086334228516,uniform,random,False
131,31,40808.0822528551,241,4864,degree_solution,10,0.18322086334228516,uniform,random,False
132,32,40865.157086996915,353,5689,degree_solution,10,0.18322086334228516,uniform,random,False
133,33,40820.228829779386,278,5292,degree_solution,10,0.18322086334228516,uniform,random,False
134,34,40818.14874814642,266,4931,degree_solution,10,0.18322086334228516,uniform,random,False
135,35,40890.43951095262,388,5787,degree_solution,10,0.18322086334228516,uniform,random,False
136,36,40831.08691369721,308,5168,degree_solution,10,0.18322086334228516,uniform,random,False
137,37,40814.46442852818,262,4960,degree_solution,10,0.18322086334228516,uniform,random,False
138,38,40882.087675757975,391,5228,degree_solution,10,0.18322086334228516,uniform,random,False
139,39,40915.34115444004,442,6194,degree_solution,10,0.18322086334228516,uniform,random,False
140,40,40889.770040551804,399,5366,degree_solution,10,0.18322086334228516,uniform,random,False
141,41,40853.43189656941,338,5728,degree_solution,10,0.18322086334228516,uniform,random,False
142,42,40805.40051563639,241,4774,degree_solution,10,0.18322086334228516,uniform,random,False
143,43,40821.18285609154,279,5075,degree_solution,10,0.18322086334228516,uniform,random,False
144,44,40815.37301830866,261,5775,degree_solution,10,0.18322086334228516,uniform,random,False
145,45,40904.86793796257,434,6029,degree_solution,10,0.18322086334228516,uniform,random,False
146,46,40948.52851413388,520,6589,degree_solution,10,0.18322086334228516,uniform,random,False
147,47,40798.619611231865,225,4559,degree_solution,10,0.18322086334228516,uniform,random,False
148,48,40804.84004980077,229,4625,degree_solution,10,0.18322086334228516,uniform,random,False
149,49,40849.54956833598,331,5390,degree_solution,10,0.18322086334228516,uniform,random,False
150,50,40845.39825126767,322,5273,degree_solution,10,0.18322086334228516,uniform,random,False
151,51,40908.25988714993,434,5649,degree_solution,10,0.18322086334228516,uniform,random,False
152,52,40816.08219555017,277,5353,degree_solution,10,0.18322086334228516,uniform,random,False
153,53,40827.437342486286,279,5138,degree_solution,10,0.18322086334228516,uniform,random,False
154,54,40829.89619222791,283,5158,degree_solution,10,0.18322086334228516,uniform,random,False
155,55,40820.718225349614,278,5056,degree_solution,10,0.18322086334228516,uniform,random,False
156,56,40823.19132945048,301,5469,degree_solution,10,0.18322086334228516,uniform,random,False
157,57,40824.311839015325,269,4884,degree_solution,10,0.18322086334228516,uniform,random,False
158,58,40835.17159104643,288,5683,degree_solution,10,0.18322086334228516,uniform,random,False
159,59,40899.77121256871,414,6016,degree_solution,10,0.18322086334228516,uniform,random,False
160,60,40797.60531444091,224,5031,degree_solution,10,0.18322086334228516,uniform,random,False
161,61,40906.954868877554,436,6426,degree_solution,10,0.18322086334228516,uniform,random,False
162,62,40850.77581203312,333,5130,degree_solution,10,0.18322086334228516,uniform,random,False
163,63,40845.44617769604,324,5435,degree_solution,10,0.18322086334228516,uniform,random,False
164,64,40840.15212357587,315,4921,degree_solution,10,0.18322086334228516,uniform,random,False
165,65,40818.99493778628,277,4873,degree_solution,10,0.18322086334228516,uniform,random,False
166,66,40854.71057932673,340,5730,degree_solution,10,0.18322086334228516,uniform,random,False
167,67,40845.202728190554,322,5272,degree_solution,10,0.18322086334228516,uniform,random,False
168,68,40834.84374283333,311,5362,degree_solution,10,0.18322086334228516,uniform,random,False
169,69,40808.06287706535,234,5268,degree_solution,10,0.18322086334228516,uniform,random,False
170,70,40861.48552164837,362,5432,degree_solution,10,0.18322086334228516,uniform,random,False
171,71,40826.03390208221,292,5282,degree_solution,10,0.18322086334228516,uniform,random,False
172,72,40793.32213305532,207,4452,degree_solution,10,0.18322086334228516,uniform,random,False
173,73,40833.11051855298,304,5594,degree_solution,10,0.18322086334228516,uniform,random,False
174,74,40900.39722360496,433,5089,degree_solution,10,0.18322086334228516,uniform,random,False
175,75,40856.25697432995,319,5439,degree_solution,10,0.18322086334228516,uniform,random,False
176,76,40831.2502733213,293,5098,degree_solution,10,0.18322086334228516,uniform,random,False
177,77,40824.79292500461,283,5597,degree_solution,10,0.18322086334228516,uniform,random,False
178,78,40843.20424510615,312,5086,degree_solution,10,0.18322086334228516,uniform,random,False
179,79,40804.17682264687,245,4743,degree_solution,10,0.18322086334228516,uniform,random,False
180,80,40807.42862124626,242,5020,degree_solution,10,0.18322086334228516,uniform,random,False
181,81,40841.239436123295,342,6095,degree_solution,10,0.18322086334228516,uniform,random,False
182,82,40817.40183394329,266,5009,degree_solution,10,0.18322086334228516,uniform,random,False
183,83,40885.16827092267,400,5925,degree_solution,10,0.18322086334228516,uniform,random,False
184,84,40853.37232091541,332,5151,degree_solution,10,0.18322086334228516,uniform,random,False
185,85,40891.138705428275,411,5444,degree_solution,10,0.18322086334228516,uniform,random,False
186,86,40845.53215989377,314,5492,degree_solution,10,0.18322086334228516,uniform,random,False
187,87,40821.9659107551,289,5159,degree_solution,10,0.18322086334228516,uniform,random,False
188,88,40884.193657471835,375,5747,degree_solution,10,0.18322086334228516,uniform,random,False
189,89,40795.069941580485,207,4641,degree_solution,10,0.18322086334228516,uniform,random,False
190,90,40811.98303529773,270,5621,degree_solution,10,0.18322086334228516,uniform,random,False
191,91,40829.59430593402,282,5387,degree_solution,10,0.18322086334228516,uniform,random,False
192,92,40940.43676898057,472,6348,degree_solution,10,0.18322086334228516,uniform,random,False
193,93,40874.272945325196,380,5231,degree_solution,10,0.18322086334228516,uniform,random,False
194,94,40878.584674483776,382,5880,degree_solution,10,0.18322086334228516,uniform,random,False
195,95,40812.82712784396,264,5167,degree_solution,10,0.18322086334228516,uniform,random,False
196,96,40891.77688128397,425,6151,degree_solution,10,0.18322086334228516,uniform,random,False
