,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40754.061960643055,110,239,fast_LAIM_solution,1,384.88144397735596,polarized,random,False
1,1,40755.04794060445,115,243,fast_LAIM_solution,1,384.88144397735596,polarized,random,False
2,2,40749.37830159257,104,327,fast_LAIM_solution,1,384.88144397735596,polarized,random,False
3,3,40751.22942009041,105,253,fast_LAIM_solution,1,384.88144397735596,polarized,random,False
4,4,40764.123883174434,125,818,fast_LAIM_solution,1,384.88144397735596,polarized,random,False
5,5,40755.95859362895,124,310,fast_LAIM_solution,1,384.88144397735596,polarized,random,False
6,6,40760.34524184808,133,947,fast_LAIM_solution,1,384.88144397735596,polarized,random,False
7,7,40746.448208120106,106,239,fast_LAIM_solution,1,384.88144397735596,polarized,random,False
8,8,40754.60232175474,112,253,fast_LAIM_solution,1,384.88144397735596,polarized,random,False
9,9,40757.03330981202,118,312,fast_LAIM_solution,1,384.88144397735596,polarized,random,False
10,0,41072.9722612516,880,4336,fast_LAIM_solution,10,384.1857600212097,polarized,random,False
11,1,41078.949321679014,887,4563,fast_LAIM_solution,10,384.1857600212097,polarized,random,False
12,2,41045.54462026343,847,4287,fast_LAIM_solution,10,384.1857600212097,polarized,random,False
13,3,41058.1451470695,850,4080,fast_LAIM_solution,10,384.1857600212097,polarized,random,False
14,4,41058.641686217765,848,4247,fast_LAIM_solution,10,384.1857600212097,polarized,random,False
15,5,41112.63047670515,935,5542,fast_LAIM_solution,10,384.1857600212097,polarized,random,False
16,6,41079.21265898352,888,4631,fast_LAIM_solution,10,384.1857600212097,polarized,random,False
17,7,41099.30008626419,915,4881,fast_LAIM_solution,10,384.1857600212097,polarized,random,False
18,8,41048.19539217394,840,4112,fast_LAIM_solution,10,384.1857600212097,polarized,random,False
19,9,41067.42817251675,878,5052,fast_LAIM_solution,10,384.1857600212097,polarized,random,False
20,0,41470.201566365606,1525,8605,fast_LAIM_solution,20,386.08859276771545,polarized,random,False
21,1,41442.18481201971,1508,8838,fast_LAIM_solution,20,386.08859276771545,polarized,random,False
22,2,41475.145030369364,1563,8492,fast_LAIM_solution,20,386.08859276771545,polarized,random,False
23,3,41420.57861820642,1458,8419,fast_LAIM_solution,20,386.08859276771545,polarized,random,False
24,4,41432.427121374225,1462,7847,fast_LAIM_solution,20,386.08859276771545,polarized,random,False
25,5,41467.099885050455,1506,8227,fast_LAIM_solution,20,386.08859276771545,polarized,random,False
26,6,41499.37120852574,1544,8688,fast_LAIM_solution,20,386.08859276771545,polarized,random,False
27,7,41450.787225343156,1491,8057,fast_LAIM_solution,20,386.08859276771545,polarized,random,False
28,8,41527.8909519891,1657,8643,fast_LAIM_solution,20,386.08859276771545,polarized,random,False
29,9,41470.910272580375,1541,8298,fast_LAIM_solution,20,386.08859276771545,polarized,random,False
30,0,41627.007011938054,2106,10383,fast_LAIM_solution,30,386.049822807312,polarized,random,False
31,1,41626.823061227245,2120,10736,fast_LAIM_solution,30,386.049822807312,polarized,random,False
32,2,41521.06926982509,1954,10051,fast_LAIM_solution,30,386.049822807312,polarized,random,False
33,3,41567.60871362223,2057,10039,fast_LAIM_solution,30,386.049822807312,polarized,random,False
34,4,41553.78172471867,2038,10293,fast_LAIM_solution,30,386.049822807312,polarized,random,False
