,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40734.45653231574,107,285,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
1,1,40735.0317452289,101,274,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
2,2,40740.96311591667,113,240,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
3,3,40729.44478724052,91,250,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
4,4,40738.93113809329,112,239,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
5,5,40743.58241770153,115,313,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
6,6,40731.367558371174,99,241,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
7,7,40743.142534736115,117,311,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
8,8,40731.80648015768,103,239,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
9,9,40736.604876605605,108,286,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
10,10,40742.74519339124,121,423,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
11,11,40737.241863321164,106,396,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
12,12,40738.51370227353,112,239,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
13,13,40740.79527542263,116,387,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
14,14,40760.010107552975,149,1426,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
15,15,40738.57232351487,110,330,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
16,16,40735.607353180094,107,285,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
17,17,40734.277549589766,100,496,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
18,18,40734.67864161741,103,307,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
19,19,40757.154636245104,150,1150,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
20,20,40735.305998659525,108,239,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
21,21,40736.22264678395,111,251,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
22,22,40740.20907950161,111,239,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
23,23,40746.96388119977,131,1024,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
24,24,40743.20730980588,116,254,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
25,25,40737.87916508521,108,239,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
26,26,40733.99227029893,105,240,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
27,27,40749.79617458607,130,912,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
28,28,40735.45699595035,112,243,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
29,29,40736.078017358566,105,239,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
30,30,40737.34908164337,106,339,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
31,31,40730.95757307846,98,239,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
32,32,40737.86322230394,107,340,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
33,33,40739.711282516146,110,291,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
34,34,40741.71456980594,117,345,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
35,35,40734.0349568957,101,295,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
36,36,40737.94483320539,110,239,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
37,37,40747.386574947894,124,514,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
38,38,40736.447173536275,115,492,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
39,39,40732.490703961914,104,251,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
40,40,40733.75893213413,98,295,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
41,41,40738.31865408798,110,264,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
42,42,40730.38032749279,99,407,fast_LAIM_solution,1,213.67308688163757,uniform,random,False
