,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40186.75941559436,119,304,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
1,1,40194.680712450994,133,685,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
2,2,40206.713636492794,156,896,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
3,3,40181.10461402483,110,248,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
4,4,40175.66194113427,91,309,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
5,5,40181.71997752977,103,296,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
6,6,40181.01038478826,103,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
7,7,40187.65665737467,116,460,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
8,8,40178.881167633466,108,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
9,9,40183.49111807054,109,246,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
10,10,40177.611282680926,97,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
11,11,40181.849472470734,119,480,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
12,12,40187.579848970025,122,937,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
13,13,40188.70796037637,117,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
14,14,40185.353587843696,114,312,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
15,15,40199.568775551,148,921,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
16,16,40179.92791074631,102,250,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
17,17,40180.78338766484,108,250,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
18,18,40185.135041736125,116,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
19,19,40200.4167507117,132,1096,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
20,20,40185.94896952028,113,296,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
21,21,40177.4705749861,96,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
22,22,40183.05602794983,109,295,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
23,23,40186.06702657517,114,248,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
24,24,40212.97181775555,166,1567,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
25,25,40193.6429876746,122,498,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
26,26,40187.71801795589,123,371,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
27,27,40183.38651603333,116,289,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
28,28,40184.102402952674,114,311,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
29,29,40179.356115780414,100,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
30,30,40182.70950098222,109,254,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
31,31,40179.80017408532,106,323,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
32,32,40182.41841553046,111,310,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
33,33,40176.09935676962,96,250,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
34,34,40186.23228827886,115,286,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
35,35,40180.624829732194,99,634,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
36,36,40181.61857312426,103,332,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
37,37,40188.8603075235,115,535,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
38,38,40190.493543391036,121,244,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
39,39,40183.17355343808,111,253,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
40,40,40184.3692079383,116,292,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
41,41,40184.27852853737,110,298,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
42,42,40175.83400818827,99,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
43,43,40185.138631614915,112,724,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
44,44,40178.53001461696,103,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
45,45,40191.91039322273,126,526,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
46,46,40190.47022880443,132,392,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
47,47,40189.103966003946,113,362,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
48,48,40187.81094370098,108,341,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
49,49,40181.96520006611,107,298,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
50,50,40186.70762881714,105,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
51,51,40180.301495527005,111,244,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
52,52,40187.88782845343,118,299,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
53,53,40173.76064795906,95,260,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
54,54,40275.48431004381,289,1167,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
55,55,40182.42611061139,112,253,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
56,56,40191.022363394084,123,903,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
57,57,40179.74219792383,107,255,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
58,58,40193.96570164396,120,526,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
59,59,40178.47203905967,99,250,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
60,60,40179.473250392315,101,254,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
61,61,40185.355835253875,109,296,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
62,62,40182.91667584645,99,250,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
63,63,40189.35629316729,120,255,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
64,64,40195.82474822413,132,1107,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
65,65,40182.71076565141,113,298,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
66,66,40180.6624547509,121,686,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
67,67,40192.38610026095,120,254,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
68,68,40196.227718523696,123,904,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
69,69,40180.67552225867,101,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
70,70,40176.56080084816,106,243,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
71,71,40180.977146880796,104,243,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
72,72,40181.70028833649,113,296,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
73,73,40187.39559094679,111,398,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
74,74,40179.15800620349,105,240,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
75,75,40188.0426680061,121,864,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
76,76,40186.28671374234,112,298,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
77,77,40196.69964929336,132,539,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
78,78,40196.44657117529,131,869,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
79,79,40184.30954789053,110,355,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
80,80,40177.37631703664,97,243,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
81,81,40188.7537437943,125,275,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
82,82,40193.88107184326,124,638,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
83,83,40181.92302726639,105,293,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
84,84,40186.66108604558,113,243,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
85,85,40182.185561546125,108,332,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
86,86,40183.80664666533,111,243,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
87,87,40181.19735310978,103,244,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
88,88,40192.43812051152,128,345,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
89,89,40180.133040005276,105,241,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
90,90,40184.119814239864,111,324,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
91,91,40186.947288192045,109,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
92,92,40189.36591259859,121,665,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
93,93,40188.13890470822,118,241,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
94,94,40184.688354692364,111,295,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
95,95,40186.34851724402,107,239,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
96,96,40186.23064256243,112,704,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
97,97,40182.048642204725,110,299,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
98,98,40185.84728943879,119,531,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
99,99,40179.09792549108,100,286,fast_LAIM_solution,1,438.9460799694061,polarized,random,True
100,0,40369.9501595454,816,4201,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
101,1,40395.35892372171,872,4077,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
102,2,40393.015367421256,868,4415,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
103,3,40394.26301075278,900,4142,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
104,4,40479.88683070332,1013,5325,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
105,5,40372.528413056636,833,3993,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
106,6,40449.481291720724,956,4599,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
107,7,40415.252762396056,932,4842,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
108,8,40376.70462270831,853,3999,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
109,9,40391.45791215956,903,4672,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
110,10,40409.32687612763,932,4988,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
111,11,40407.749371222024,913,4507,fast_LAIM_solution,10,422.67846512794495,polarized,random,True
