,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40514.08326026426,111,296,fast_LAIM_solution,1,453.2574529647827,uniform,random,True
1,1,40530.81482868874,137,946,fast_LAIM_solution,1,453.2574529647827,uniform,random,True
2,2,40514.56891612415,105,250,fast_LAIM_solution,1,453.2574529647827,uniform,random,True
3,3,40514.20917772943,113,323,fast_LAIM_solution,1,453.2574529647827,uniform,random,True
4,4,40507.35306987921,96,239,fast_LAIM_solution,1,453.2574529647827,uniform,random,True
5,5,40509.96134525476,104,239,fast_LAIM_solution,1,453.2574529647827,uniform,random,True
6,6,40512.93469873747,102,239,fast_LAIM_solution,1,453.2574529647827,uniform,random,True
7,7,40526.964848936586,134,338,fast_LAIM_solution,1,453.2574529647827,uniform,random,True
8,8,40514.90797765197,107,295,fast_LAIM_solution,1,453.2574529647827,uniform,random,True
9,9,40538.385633461214,159,1237,fast_LAIM_solution,1,453.2574529647827,uniform,random,True
10,0,41246.08157864735,942,4948,fast_LAIM_solution,10,453.33887004852295,uniform,random,True
11,1,41236.484790042596,917,4622,fast_LAIM_solution,10,453.33887004852295,uniform,random,True
12,2,41259.54617519283,975,4904,fast_LAIM_solution,10,453.33887004852295,uniform,random,True
13,3,41231.11676045382,910,4455,fast_LAIM_solution,10,453.33887004852295,uniform,random,True
14,4,41233.91394222943,895,4702,fast_LAIM_solution,10,453.33887004852295,uniform,random,True
15,5,41235.90799396576,937,4503,fast_LAIM_solution,10,453.33887004852295,uniform,random,True
16,6,41257.725880073616,924,4710,fast_LAIM_solution,10,453.33887004852295,uniform,random,True
17,7,41226.50158435273,888,4550,fast_LAIM_solution,10,453.33887004852295,uniform,random,True
18,8,41215.76454681624,877,4589,fast_LAIM_solution,10,453.33887004852295,uniform,random,True
19,9,41203.72299519175,843,4034,fast_LAIM_solution,10,453.33887004852295,uniform,random,True
20,0,41016.15122561676,1506,9027,fast_LAIM_solution,20,454.8956937789917,uniform,random,True
21,1,41076.591115243566,1591,10164,fast_LAIM_solution,20,454.8956937789917,uniform,random,True
22,2,41034.10529458045,1565,9301,fast_LAIM_solution,20,454.8956937789917,uniform,random,True
23,3,41013.67126687877,1485,9425,fast_LAIM_solution,20,454.8956937789917,uniform,random,True
24,4,41046.15274815746,1538,9765,fast_LAIM_solution,20,454.8956937789917,uniform,random,True
25,5,41018.479115173,1502,9081,fast_LAIM_solution,20,454.8956937789917,uniform,random,True
26,6,41082.362596294486,1617,9764,fast_LAIM_solution,20,454.8956937789917,uniform,random,True
27,7,40970.84355181839,1429,8729,fast_LAIM_solution,20,454.8956937789917,uniform,random,True
28,8,41105.979154728404,1654,9890,fast_LAIM_solution,20,454.8956937789917,uniform,random,True
29,9,40980.15397637045,1429,8856,fast_LAIM_solution,20,454.8956937789917,uniform,random,True
30,0,41680.98620420781,2193,12832,fast_LAIM_solution,30,447.9989058971405,uniform,random,True
31,1,41669.912181490516,2119,13310,fast_LAIM_solution,30,447.9989058971405,uniform,random,True
32,2,41599.08554724157,2021,11481,fast_LAIM_solution,30,447.9989058971405,uniform,random,True
33,3,41587.101397278515,1987,11282,fast_LAIM_solution,30,447.9989058971405,uniform,random,True
34,4,41635.39066999896,2052,11549,fast_LAIM_solution,30,447.9989058971405,uniform,random,True
35,5,41754.33374402561,2275,12938,fast_LAIM_solution,30,447.9989058971405,uniform,random,True
36,6,41710.01732640021,2190,11731,fast_LAIM_solution,30,447.9989058971405,uniform,random,True
37,7,41591.56646834806,1972,10846,fast_LAIM_solution,30,447.9989058971405,uniform,random,True
38,8,41731.25670461536,2272,12380,fast_LAIM_solution,30,447.9989058971405,uniform,random,True
39,9,41627.626595214504,2046,12187,fast_LAIM_solution,30,447.9989058971405,uniform,random,True
40,0,41801.9879971277,2531,14667,fast_LAIM_solution,40,376.46441984176636,uniform,random,True
41,1,41785.34991226363,2484,13885,fast_LAIM_solution,40,376.46441984176636,uniform,random,True
42,2,41775.34890559029,2442,13419,fast_LAIM_solution,40,376.46441984176636,uniform,random,True
43,3,41809.28526549335,2523,13852,fast_LAIM_solution,40,376.46441984176636,uniform,random,True
44,4,41818.87004480473,2604,14558,fast_LAIM_solution,40,376.46441984176636,uniform,random,True
45,5,41879.441886732864,2679,14313,fast_LAIM_solution,40,376.46441984176636,uniform,random,True
46,6,41927.34089824907,2724,14630,fast_LAIM_solution,40,376.46441984176636,uniform,random,True
47,7,41836.861686220276,2599,14541,fast_LAIM_solution,40,376.46441984176636,uniform,random,True
48,8,41889.55875937072,2683,14261,fast_LAIM_solution,40,376.46441984176636,uniform,random,True
49,9,41752.89536253554,2463,13726,fast_LAIM_solution,40,376.46441984176636,uniform,random,True
50,0,42282.77209944942,2982,16400,fast_LAIM_solution,50,377.8625831604004,uniform,random,True
51,1,42295.767254228005,3024,15867,fast_LAIM_solution,50,377.8625831604004,uniform,random,True
52,2,42209.866827130514,2869,15067,fast_LAIM_solution,50,377.8625831604004,uniform,random,True
53,3,42371.42827180494,3202,16761,fast_LAIM_solution,50,377.8625831604004,uniform,random,True
54,4,42434.24106578798,3265,16969,fast_LAIM_solution,50,377.8625831604004,uniform,random,True
55,5,42422.95073347937,3293,17492,fast_LAIM_solution,50,377.8625831604004,uniform,random,True
56,6,42423.07392747597,3274,16645,fast_LAIM_solution,50,377.8625831604004,uniform,random,True
57,7,42262.64935828748,3022,15937,fast_LAIM_solution,50,377.8625831604004,uniform,random,True
58,8,42377.98051280694,3186,16594,fast_LAIM_solution,50,377.8625831604004,uniform,random,True
59,9,42330.3638696131,3121,16241,fast_LAIM_solution,50,377.8625831604004,uniform,random,True
