,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40656.3691614657,1,16,min_opinion_solution,1,0.08159995079040527,polarized,random,False
1,1,40657.14829879216,2,47,min_opinion_solution,1,0.08159995079040527,polarized,random,False
2,2,40657.36786546638,2,42,min_opinion_solution,1,0.08159995079040527,polarized,random,False
3,3,40656.3691614657,1,16,min_opinion_solution,1,0.08159995079040527,polarized,random,False
4,4,40656.3691614657,1,16,min_opinion_solution,1,0.08159995079040527,polarized,random,False
5,5,40656.3691614657,1,16,min_opinion_solution,1,0.08159995079040527,polarized,random,False
6,6,40656.3691614657,1,16,min_opinion_solution,1,0.08159995079040527,polarized,random,False
7,7,40656.45320106721,2,27,min_opinion_solution,1,0.08159995079040527,polarized,random,False
8,8,40660.255798913466,5,64,min_opinion_solution,1,0.08159995079040527,polarized,random,False
9,9,40656.3691614657,1,16,min_opinion_solution,1,0.08159995079040527,polarized,random,False
10,0,40484.35713863723,14,248,min_opinion_solution,10,0.08535504341125488,polarized,random,False
11,1,40551.8478542005,153,923,min_opinion_solution,10,0.08535504341125488,polarized,random,False
12,2,40485.29894161527,21,349,min_opinion_solution,10,0.08535504341125488,polarized,random,False
13,3,40483.42477048845,14,213,min_opinion_solution,10,0.08535504341125488,polarized,random,False
14,4,40483.476119710154,14,241,min_opinion_solution,10,0.08535504341125488,polarized,random,False
15,5,40511.05179255342,52,458,min_opinion_solution,10,0.08535504341125488,polarized,random,False
16,6,40482.646633794844,12,206,min_opinion_solution,10,0.08535504341125488,polarized,random,False
17,7,40488.399520872685,25,295,min_opinion_solution,10,0.08535504341125488,polarized,random,False
18,8,40488.691237113126,20,483,min_opinion_solution,10,0.08535504341125488,polarized,random,False
19,9,40482.42305023558,12,212,min_opinion_solution,10,0.08535504341125488,polarized,random,False
20,0,40580.49298036161,31,473,min_opinion_solution,20,0.07142877578735352,polarized,random,False
21,1,40587.16242481315,39,701,min_opinion_solution,20,0.07142877578735352,polarized,random,False
22,2,40581.14730291761,33,449,min_opinion_solution,20,0.07142877578735352,polarized,random,False
23,3,40573.92467626116,24,397,min_opinion_solution,20,0.07142877578735352,polarized,random,False
24,4,40580.08471016413,34,542,min_opinion_solution,20,0.07142877578735352,polarized,random,False
25,5,40576.43626475394,27,462,min_opinion_solution,20,0.07142877578735352,polarized,random,False
26,6,40578.75867911454,32,494,min_opinion_solution,20,0.07142877578735352,polarized,random,False
27,7,40576.426223757655,26,408,min_opinion_solution,20,0.07142877578735352,polarized,random,False
28,8,40577.16778290455,28,464,min_opinion_solution,20,0.07142877578735352,polarized,random,False
29,9,40572.41294001562,22,385,min_opinion_solution,20,0.07142877578735352,polarized,random,False
30,0,40810.999512328955,53,934,min_opinion_solution,30,0.07927918434143066,polarized,random,False
31,1,40802.6495062203,36,617,min_opinion_solution,30,0.07927918434143066,polarized,random,False
32,2,40808.93358220774,50,738,min_opinion_solution,30,0.07927918434143066,polarized,random,False
33,3,40811.64577882803,49,894,min_opinion_solution,30,0.07927918434143066,polarized,random,False
34,4,40806.16069851691,42,651,min_opinion_solution,30,0.07927918434143066,polarized,random,False
35,5,40803.96381352989,37,641,min_opinion_solution,30,0.07927918434143066,polarized,random,False
36,6,40803.21388534043,35,630,min_opinion_solution,30,0.07927918434143066,polarized,random,False
37,7,40807.345663299675,45,645,min_opinion_solution,30,0.07927918434143066,polarized,random,False
38,8,40818.028469542536,57,1130,min_opinion_solution,30,0.07927918434143066,polarized,random,False
39,9,40808.63658684546,43,681,min_opinion_solution,30,0.07927918434143066,polarized,random,False
40,0,40747.152539404844,67,981,min_opinion_solution,40,0.07189297676086426,polarized,random,False
41,1,40753.52975001098,72,1450,min_opinion_solution,40,0.07189297676086426,polarized,random,False
42,2,40749.451524355005,63,969,min_opinion_solution,40,0.07189297676086426,polarized,random,False
43,3,40744.954385002675,59,1119,min_opinion_solution,40,0.07189297676086426,polarized,random,False
44,4,40744.65028687071,60,946,min_opinion_solution,40,0.07189297676086426,polarized,random,False
45,5,40740.015966550964,54,945,min_opinion_solution,40,0.07189297676086426,polarized,random,False
46,6,40751.024314099115,75,1318,min_opinion_solution,40,0.07189297676086426,polarized,random,False
47,7,40736.866770400484,47,857,min_opinion_solution,40,0.07189297676086426,polarized,random,False
48,8,40747.928955441464,65,941,min_opinion_solution,40,0.07189297676086426,polarized,random,False
49,9,40755.21021096213,72,1265,min_opinion_solution,40,0.07189297676086426,polarized,random,False
50,0,40547.611595554656,106,1568,min_opinion_solution,50,0.09058117866516113,polarized,random,False
51,1,40538.75332790299,88,1288,min_opinion_solution,50,0.09058117866516113,polarized,random,False
52,2,40535.79260473683,79,1155,min_opinion_solution,50,0.09058117866516113,polarized,random,False
53,3,40537.22096876869,83,1051,min_opinion_solution,50,0.09058117866516113,polarized,random,False
54,4,40542.433096704975,97,1535,min_opinion_solution,50,0.09058117866516113,polarized,random,False
55,5,40541.659118620344,86,1254,min_opinion_solution,50,0.09058117866516113,polarized,random,False
56,6,40539.5105083653,83,1128,min_opinion_solution,50,0.09058117866516113,polarized,random,False
57,7,40536.5140267019,80,1131,min_opinion_solution,50,0.09058117866516113,polarized,random,False
58,8,40549.2629910489,100,1258,min_opinion_solution,50,0.09058117866516113,polarized,random,False
59,9,40542.812948667975,89,1119,min_opinion_solution,50,0.09058117866516113,polarized,random,False
