,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40483.83606649192,1,10,min_opinion_solution,1,0.08084511756896973,polarized,random,True
1,1,40483.83606649192,1,10,min_opinion_solution,1,0.08084511756896973,polarized,random,True
2,2,40484.19847393301,2,11,min_opinion_solution,1,0.08084511756896973,polarized,random,True
3,3,40483.83606649192,1,10,min_opinion_solution,1,0.08084511756896973,polarized,random,True
4,4,40486.34403218107,5,40,min_opinion_solution,1,0.08084511756896973,polarized,random,True
5,5,40483.83606649192,1,10,min_opinion_solution,1,0.08084511756896973,polarized,random,True
6,6,40483.83606649192,1,10,min_opinion_solution,1,0.08084511756896973,polarized,random,True
7,7,40484.380973633146,3,13,min_opinion_solution,1,0.08084511756896973,polarized,random,True
8,8,40484.19847393301,2,11,min_opinion_solution,1,0.08084511756896973,polarized,random,True
9,9,40483.83606649192,1,10,min_opinion_solution,1,0.08084511756896973,polarized,random,True
10,0,40274.65005834104,28,303,min_opinion_solution,10,0.07818317413330078,polarized,random,True
11,1,40278.32735523302,30,312,min_opinion_solution,10,0.07818317413330078,polarized,random,True
12,2,40278.10397450219,31,317,min_opinion_solution,10,0.07818317413330078,polarized,random,True
13,3,40274.68248057268,27,295,min_opinion_solution,10,0.07818317413330078,polarized,random,True
14,4,40271.63854318798,23,293,min_opinion_solution,10,0.07818317413330078,polarized,random,True
15,5,40283.16674582899,37,314,min_opinion_solution,10,0.07818317413330078,polarized,random,True
16,6,40278.17037647229,34,431,min_opinion_solution,10,0.07818317413330078,polarized,random,True
17,7,40275.448285473685,32,309,min_opinion_solution,10,0.07818317413330078,polarized,random,True
18,8,40275.663689102956,30,294,min_opinion_solution,10,0.07818317413330078,polarized,random,True
19,9,40278.726040406684,31,308,min_opinion_solution,10,0.07818317413330078,polarized,random,True
20,0,40888.26501545542,27,321,min_opinion_solution,20,0.0726327896118164,polarized,random,True
21,1,40889.36391408031,31,375,min_opinion_solution,20,0.0726327896118164,polarized,random,True
22,2,40892.796701442334,34,391,min_opinion_solution,20,0.0726327896118164,polarized,random,True
23,3,40891.48021740826,32,368,min_opinion_solution,20,0.0726327896118164,polarized,random,True
24,4,40889.47156609013,28,421,min_opinion_solution,20,0.0726327896118164,polarized,random,True
25,5,40892.195274870166,35,419,min_opinion_solution,20,0.0726327896118164,polarized,random,True
26,6,40888.37812691924,28,331,min_opinion_solution,20,0.0726327896118164,polarized,random,True
27,7,40895.12556847474,38,657,min_opinion_solution,20,0.0726327896118164,polarized,random,True
28,8,40891.63280741305,32,393,min_opinion_solution,20,0.0726327896118164,polarized,random,True
29,9,40886.357496689154,25,342,min_opinion_solution,20,0.0726327896118164,polarized,random,True
30,0,40295.74801942779,53,292,min_opinion_solution,30,0.07861018180847168,polarized,random,True
31,1,40289.83086405567,47,292,min_opinion_solution,30,0.07861018180847168,polarized,random,True
32,2,40331.752712006135,129,543,min_opinion_solution,30,0.07861018180847168,polarized,random,True
33,3,40325.75760199411,99,462,min_opinion_solution,30,0.07861018180847168,polarized,random,True
34,4,40298.04727398555,59,307,min_opinion_solution,30,0.07861018180847168,polarized,random,True
35,5,40303.34657504808,64,293,min_opinion_solution,30,0.07861018180847168,polarized,random,True
36,6,40295.27692412502,53,297,min_opinion_solution,30,0.07861018180847168,polarized,random,True
37,7,40295.12845012838,51,259,min_opinion_solution,30,0.07861018180847168,polarized,random,True
38,8,40315.1256807187,79,374,min_opinion_solution,30,0.07861018180847168,polarized,random,True
39,9,40288.769556750776,50,292,min_opinion_solution,30,0.07861018180847168,polarized,random,True
40,0,40548.87713315815,99,1021,min_opinion_solution,40,0.07944917678833008,polarized,random,True
41,1,40512.16004282211,46,571,min_opinion_solution,40,0.07944917678833008,polarized,random,True
42,2,40516.51012450484,51,575,min_opinion_solution,40,0.07944917678833008,polarized,random,True
43,3,40528.97550255146,69,672,min_opinion_solution,40,0.07944917678833008,polarized,random,True
44,4,40515.3486878541,48,664,min_opinion_solution,40,0.07944917678833008,polarized,random,True
45,5,40518.97682518678,52,586,min_opinion_solution,40,0.07944917678833008,polarized,random,True
46,6,40523.983928712856,64,1006,min_opinion_solution,40,0.07944917678833008,polarized,random,True
47,7,40513.9469895306,47,556,min_opinion_solution,40,0.07944917678833008,polarized,random,True
48,8,40526.67657786465,71,783,min_opinion_solution,40,0.07944917678833008,polarized,random,True
49,9,40516.737921794345,53,635,min_opinion_solution,40,0.07944917678833008,polarized,random,True
50,0,41501.87518498783,65,985,min_opinion_solution,50,0.07592105865478516,polarized,random,True
51,1,41510.778828518094,71,1152,min_opinion_solution,50,0.07592105865478516,polarized,random,True
52,2,41508.42373948684,72,1082,min_opinion_solution,50,0.07592105865478516,polarized,random,True
53,3,41506.38374252121,72,1154,min_opinion_solution,50,0.07592105865478516,polarized,random,True
54,4,41514.602758081826,74,1036,min_opinion_solution,50,0.07592105865478516,polarized,random,True
55,5,41511.99183903895,75,1045,min_opinion_solution,50,0.07592105865478516,polarized,random,True
56,6,41513.041498123755,78,1021,min_opinion_solution,50,0.07592105865478516,polarized,random,True
57,7,41510.57423824805,72,1054,min_opinion_solution,50,0.07592105865478516,polarized,random,True
58,8,41507.872687389725,67,1010,min_opinion_solution,50,0.07592105865478516,polarized,random,True
59,9,41512.76032909327,76,1150,min_opinion_solution,50,0.07592105865478516,polarized,random,True
