,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40458.59843644186,1,4,min_opinion_solution,1,0.0897359848022461,uniform,random,True
1,1,40458.59843644186,1,4,min_opinion_solution,1,0.0897359848022461,uniform,random,True
2,2,40458.59843644186,1,4,min_opinion_solution,1,0.0897359848022461,uniform,random,True
3,3,40458.59843644186,1,4,min_opinion_solution,1,0.0897359848022461,uniform,random,True
4,4,40458.59843644186,1,4,min_opinion_solution,1,0.0897359848022461,uniform,random,True
5,5,40458.59843644186,1,4,min_opinion_solution,1,0.0897359848022461,uniform,random,True
6,6,40458.59843644186,1,4,min_opinion_solution,1,0.0897359848022461,uniform,random,True
7,7,40458.59843644186,1,4,min_opinion_solution,1,0.0897359848022461,uniform,random,True
8,8,40458.59843644186,1,4,min_opinion_solution,1,0.0897359848022461,uniform,random,True
9,9,40458.59843644186,1,4,min_opinion_solution,1,0.0897359848022461,uniform,random,True
10,0,40772.11313151307,12,170,min_opinion_solution,10,0.08400201797485352,uniform,random,True
11,1,40777.423744416876,21,344,min_opinion_solution,10,0.08400201797485352,uniform,random,True
12,2,40770.39659759049,10,164,min_opinion_solution,10,0.08400201797485352,uniform,random,True
13,3,40773.403903663115,16,357,min_opinion_solution,10,0.08400201797485352,uniform,random,True
14,4,40771.27047407842,11,194,min_opinion_solution,10,0.08400201797485352,uniform,random,True
15,5,40772.64154747451,14,239,min_opinion_solution,10,0.08400201797485352,uniform,random,True
16,6,40772.10248634797,13,284,min_opinion_solution,10,0.08400201797485352,uniform,random,True
17,7,40772.63062233483,14,241,min_opinion_solution,10,0.08400201797485352,uniform,random,True
18,8,40772.18644047906,13,170,min_opinion_solution,10,0.08400201797485352,uniform,random,True
19,9,40771.07457275823,11,164,min_opinion_solution,10,0.08400201797485352,uniform,random,True
20,0,40289.12209970193,21,179,min_opinion_solution,20,0.08872389793395996,uniform,random,True
21,1,40306.716062791325,52,519,min_opinion_solution,20,0.08872389793395996,uniform,random,True
22,2,40293.11897989967,28,224,min_opinion_solution,20,0.08872389793395996,uniform,random,True
23,3,40293.1277089318,29,231,min_opinion_solution,20,0.08872389793395996,uniform,random,True
24,4,40291.02731646145,24,190,min_opinion_solution,20,0.08872389793395996,uniform,random,True
25,5,40291.27238574416,26,218,min_opinion_solution,20,0.08872389793395996,uniform,random,True
26,6,40291.64303040883,27,191,min_opinion_solution,20,0.08872389793395996,uniform,random,True
27,7,40293.36666910682,28,211,min_opinion_solution,20,0.08872389793395996,uniform,random,True
28,8,40292.04719251781,28,213,min_opinion_solution,20,0.08872389793395996,uniform,random,True
29,9,40289.32822420287,24,188,min_opinion_solution,20,0.08872389793395996,uniform,random,True
30,0,40642.69305071645,35,407,min_opinion_solution,30,0.08369708061218262,uniform,random,True
31,1,40644.68984500498,39,446,min_opinion_solution,30,0.08369708061218262,uniform,random,True
32,2,40650.97722272056,49,534,min_opinion_solution,30,0.08369708061218262,uniform,random,True
33,3,40644.153804144815,36,436,min_opinion_solution,30,0.08369708061218262,uniform,random,True
34,4,40641.74984722364,33,370,min_opinion_solution,30,0.08369708061218262,uniform,random,True
35,5,40643.21489769012,35,373,min_opinion_solution,30,0.08369708061218262,uniform,random,True
36,6,40640.9748911386,34,374,min_opinion_solution,30,0.08369708061218262,uniform,random,True
37,7,40644.64663887243,37,429,min_opinion_solution,30,0.08369708061218262,uniform,random,True
38,8,40645.27652003693,37,428,min_opinion_solution,30,0.08369708061218262,uniform,random,True
39,9,40647.31429844358,44,500,min_opinion_solution,30,0.08369708061218262,uniform,random,True
40,0,40608.18463502879,61,782,min_opinion_solution,40,0.09208416938781738,uniform,random,True
41,1,40599.98235594033,47,635,min_opinion_solution,40,0.09208416938781738,uniform,random,True
42,2,40597.8274358556,44,640,min_opinion_solution,40,0.09208416938781738,uniform,random,True
43,3,40602.46211815268,52,811,min_opinion_solution,40,0.09208416938781738,uniform,random,True
44,4,40603.9137172286,52,944,min_opinion_solution,40,0.09208416938781738,uniform,random,True
45,5,40600.59414741087,48,642,min_opinion_solution,40,0.09208416938781738,uniform,random,True
46,6,40612.21148900859,70,1078,min_opinion_solution,40,0.09208416938781738,uniform,random,True
47,7,40614.98265416189,73,1492,min_opinion_solution,40,0.09208416938781738,uniform,random,True
48,8,40607.47927521242,61,826,min_opinion_solution,40,0.09208416938781738,uniform,random,True
49,9,40605.24529443261,53,864,min_opinion_solution,40,0.09208416938781738,uniform,random,True
50,0,40848.3841093303,70,871,min_opinion_solution,50,0.08963775634765625,uniform,random,True
51,1,40844.114047191906,63,854,min_opinion_solution,50,0.08963775634765625,uniform,random,True
52,2,40851.32588670209,77,1105,min_opinion_solution,50,0.08963775634765625,uniform,random,True
53,3,40844.41872141925,62,749,min_opinion_solution,50,0.08963775634765625,uniform,random,True
54,4,40858.54321719091,81,906,min_opinion_solution,50,0.08963775634765625,uniform,random,True
55,5,40848.35737030211,66,799,min_opinion_solution,50,0.08963775634765625,uniform,random,True
56,6,40852.023389996815,74,826,min_opinion_solution,50,0.08963775634765625,uniform,random,True
57,7,40863.48245663805,93,907,min_opinion_solution,50,0.08963775634765625,uniform,random,True
58,8,40862.0571379438,93,898,min_opinion_solution,50,0.08963775634765625,uniform,random,True
59,9,40859.52164376119,97,1004,min_opinion_solution,50,0.08963775634765625,uniform,random,True
