,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40707.87389552029,63,1886,opinion_degree_solution,1,13.766213178634644,polarized,random,False
1,1,40685.18657703882,26,1433,opinion_degree_solution,1,13.766213178634644,polarized,random,False
2,2,40756.65619381974,138,2682,opinion_degree_solution,1,13.766213178634644,polarized,random,False
3,3,40711.949127954475,71,1955,opinion_degree_solution,1,13.766213178634644,polarized,random,False
4,4,40695.65724559496,46,1616,opinion_degree_solution,1,13.766213178634644,polarized,random,False
5,5,40705.76619977819,70,1815,opinion_degree_solution,1,13.766213178634644,polarized,random,False
6,6,40755.97200839983,174,2760,opinion_degree_solution,1,13.766213178634644,polarized,random,False
7,7,40742.8848296513,126,2177,opinion_degree_solution,1,13.766213178634644,polarized,random,False
8,8,40696.003047998536,44,1422,opinion_degree_solution,1,13.766213178634644,polarized,random,False
9,9,40757.43806611656,166,2722,opinion_degree_solution,1,13.766213178634644,polarized,random,False
10,0,41012.31698968785,430,8678,opinion_degree_solution,10,13.243452787399292,polarized,random,False
11,1,41060.44546662063,531,8631,opinion_degree_solution,10,13.243452787399292,polarized,random,False
12,2,40984.524278424724,428,8082,opinion_degree_solution,10,13.243452787399292,polarized,random,False
13,3,41004.60820195078,423,7892,opinion_degree_solution,10,13.243452787399292,polarized,random,False
14,4,40999.53825545996,393,8050,opinion_degree_solution,10,13.243452787399292,polarized,random,False
15,5,41016.11862969529,454,8194,opinion_degree_solution,10,13.243452787399292,polarized,random,False
16,6,41012.5003979381,493,8373,opinion_degree_solution,10,13.243452787399292,polarized,random,False
17,7,41043.14033257932,492,8346,opinion_degree_solution,10,13.243452787399292,polarized,random,False
18,8,41027.43961556925,464,8182,opinion_degree_solution,10,13.243452787399292,polarized,random,False
19,9,40994.45887300471,410,7965,opinion_degree_solution,10,13.243452787399292,polarized,random,False
20,0,41234.09893624772,773,11726,opinion_degree_solution,20,12.393746852874756,polarized,random,False
21,1,41171.93264646277,683,11116,opinion_degree_solution,20,12.393746852874756,polarized,random,False
22,2,41203.11280898971,701,11754,opinion_degree_solution,20,12.393746852874756,polarized,random,False
23,3,41185.130876830175,682,10668,opinion_degree_solution,20,12.393746852874756,polarized,random,False
24,4,41426.00974563038,1106,13120,opinion_degree_solution,20,12.393746852874756,polarized,random,False
25,5,41147.732883221164,595,11074,opinion_degree_solution,20,12.393746852874756,polarized,random,False
26,6,41304.92459089947,897,12452,opinion_degree_solution,20,12.393746852874756,polarized,random,False
27,7,41215.05519378201,792,11492,opinion_degree_solution,20,12.393746852874756,polarized,random,False
28,8,41218.13701883301,713,11264,opinion_degree_solution,20,12.393746852874756,polarized,random,False
29,9,41271.22334994953,849,11849,opinion_degree_solution,20,12.393746852874756,polarized,random,False
30,0,41137.40947483058,688,10910,opinion_degree_solution,30,12.333580017089844,polarized,random,False
31,1,41274.910550315566,935,11952,opinion_degree_solution,30,12.333580017089844,polarized,random,False
32,2,41139.8843350132,741,10855,opinion_degree_solution,30,12.333580017089844,polarized,random,False
33,3,41118.13738069165,657,10533,opinion_degree_solution,30,12.333580017089844,polarized,random,False
34,4,41123.53659757095,717,11107,opinion_degree_solution,30,12.333580017089844,polarized,random,False
35,5,41165.61090222144,817,11587,opinion_degree_solution,30,12.333580017089844,polarized,random,False
36,6,41148.790083869906,759,11346,opinion_degree_solution,30,12.333580017089844,polarized,random,False
37,7,41197.5745533284,817,11968,opinion_degree_solution,30,12.333580017089844,polarized,random,False
38,8,41170.633655879246,746,11691,opinion_degree_solution,30,12.333580017089844,polarized,random,False
39,9,41120.34135492731,660,10692,opinion_degree_solution,30,12.333580017089844,polarized,random,False
40,0,41141.78596925942,864,13084,opinion_degree_solution,40,12.468982219696045,polarized,random,False
41,1,41092.7726157323,738,12368,opinion_degree_solution,40,12.468982219696045,polarized,random,False
42,2,41199.317273493434,1009,13724,opinion_degree_solution,40,12.468982219696045,polarized,random,False
43,3,41158.509030307294,856,13082,opinion_degree_solution,40,12.468982219696045,polarized,random,False
44,4,41077.166313042195,704,12157,opinion_degree_solution,40,12.468982219696045,polarized,random,False
45,5,41093.15565973163,782,12603,opinion_degree_solution,40,12.468982219696045,polarized,random,False
46,6,41119.21848572241,811,12936,opinion_degree_solution,40,12.468982219696045,polarized,random,False
47,7,41221.6730429967,1023,13478,opinion_degree_solution,40,12.468982219696045,polarized,random,False
48,8,41187.213865221966,999,13580,opinion_degree_solution,40,12.468982219696045,polarized,random,False
49,9,41169.88503804414,868,12860,opinion_degree_solution,40,12.468982219696045,polarized,random,False
50,0,41322.822110701854,837,13279,opinion_degree_solution,50,12.21561074256897,polarized,random,False
51,1,41323.04271651264,863,13469,opinion_degree_solution,50,12.21561074256897,polarized,random,False
52,2,41471.65362154389,1162,14855,opinion_degree_solution,50,12.21561074256897,polarized,random,False
53,3,41408.50089539874,1060,14254,opinion_degree_solution,50,12.21561074256897,polarized,random,False
54,4,41416.92717651706,1031,14433,opinion_degree_solution,50,12.21561074256897,polarized,random,False
55,5,41295.344767655646,873,13250,opinion_degree_solution,50,12.21561074256897,polarized,random,False
56,6,41339.31543589711,885,13597,opinion_degree_solution,50,12.21561074256897,polarized,random,False
57,7,41421.11926329428,1109,14504,opinion_degree_solution,50,12.21561074256897,polarized,random,False
58,8,41533.737558746696,1283,14993,opinion_degree_solution,50,12.21561074256897,polarized,random,False
59,9,41406.48277099091,1085,14002,opinion_degree_solution,50,12.21561074256897,polarized,random,False
