,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40707.170392941436,46,1519,opinion_degree_solution,1,11.757424116134644,uniform,random,False
1,1,40745.85907229191,109,2160,opinion_degree_solution,1,11.757424116134644,uniform,random,False
2,2,40794.38891119865,216,2778,opinion_degree_solution,1,11.757424116134644,uniform,random,False
3,3,40748.27264045978,120,2444,opinion_degree_solution,1,11.757424116134644,uniform,random,False
4,4,40729.506774292466,80,2334,opinion_degree_solution,1,11.757424116134644,uniform,random,False
5,5,40759.55612005396,145,2696,opinion_degree_solution,1,11.757424116134644,uniform,random,False
6,6,40715.64817088955,49,1968,opinion_degree_solution,1,11.757424116134644,uniform,random,False
7,7,40803.27257716206,231,2730,opinion_degree_solution,1,11.757424116134644,uniform,random,False
8,8,40775.65818231023,176,2282,opinion_degree_solution,1,11.757424116134644,uniform,random,False
9,9,40728.08761733085,82,1781,opinion_degree_solution,1,11.757424116134644,uniform,random,False
10,0,40857.94752508422,481,7930,opinion_degree_solution,10,11.693436861038208,uniform,random,False
11,1,40857.8331474029,435,8586,opinion_degree_solution,10,11.693436861038208,uniform,random,False
12,2,40805.52581120721,373,7257,opinion_degree_solution,10,11.693436861038208,uniform,random,False
13,3,40783.75203292788,334,7316,opinion_degree_solution,10,11.693436861038208,uniform,random,False
14,4,40841.587865122,456,7704,opinion_degree_solution,10,11.693436861038208,uniform,random,False
15,5,40774.64660011171,306,6930,opinion_degree_solution,10,11.693436861038208,uniform,random,False
16,6,40822.97400853822,401,8090,opinion_degree_solution,10,11.693436861038208,uniform,random,False
17,7,40786.99070266407,324,7861,opinion_degree_solution,10,11.693436861038208,uniform,random,False
18,8,40819.2664533163,387,7852,opinion_degree_solution,10,11.693436861038208,uniform,random,False
19,9,40826.241060938584,403,8042,opinion_degree_solution,10,11.693436861038208,uniform,random,False
20,0,41007.50713826526,662,10183,opinion_degree_solution,20,11.977511882781982,uniform,random,False
21,1,40968.273281855305,552,9503,opinion_degree_solution,20,11.977511882781982,uniform,random,False
22,2,40971.54300017807,536,9623,opinion_degree_solution,20,11.977511882781982,uniform,random,False
23,3,41002.679004305224,583,9720,opinion_degree_solution,20,11.977511882781982,uniform,random,False
24,4,40917.344906943894,461,9245,opinion_degree_solution,20,11.977511882781982,uniform,random,False
25,5,40992.98028338137,591,10215,opinion_degree_solution,20,11.977511882781982,uniform,random,False
26,6,41049.95487439006,691,10002,opinion_degree_solution,20,11.977511882781982,uniform,random,False
27,7,40914.10059052094,435,9198,opinion_degree_solution,20,11.977511882781982,uniform,random,False
28,8,41018.09092436317,632,9905,opinion_degree_solution,20,11.977511882781982,uniform,random,False
29,9,40974.721012700786,550,10007,opinion_degree_solution,20,11.977511882781982,uniform,random,False
30,0,41114.92442723127,925,13336,opinion_degree_solution,30,12.002271890640259,uniform,random,False
31,1,40986.7619107896,693,12206,opinion_degree_solution,30,12.002271890640259,uniform,random,False
32,2,41049.22346639553,836,12776,opinion_degree_solution,30,12.002271890640259,uniform,random,False
33,3,41067.480287724495,862,12891,opinion_degree_solution,30,12.002271890640259,uniform,random,False
34,4,40977.537416627856,690,12654,opinion_degree_solution,30,12.002271890640259,uniform,random,False
35,5,40996.95723401209,729,13002,opinion_degree_solution,30,12.002271890640259,uniform,random,False
36,6,41085.20805438727,927,13036,opinion_degree_solution,30,12.002271890640259,uniform,random,False
37,7,41046.85715652536,825,12600,opinion_degree_solution,30,12.002271890640259,uniform,random,False
38,8,41092.48016876281,917,13723,opinion_degree_solution,30,12.002271890640259,uniform,random,False
39,9,41017.57951876028,736,12673,opinion_degree_solution,30,12.002271890640259,uniform,random,False
40,0,41105.01073869612,908,12721,opinion_degree_solution,40,12.051094770431519,uniform,random,False
41,1,41155.1144246394,1004,13114,opinion_degree_solution,40,12.051094770431519,uniform,random,False
42,2,41068.303369015826,800,12176,opinion_degree_solution,40,12.051094770431519,uniform,random,False
43,3,40993.468455900795,700,11893,opinion_degree_solution,40,12.051094770431519,uniform,random,False
44,4,41183.320122863544,1021,13056,opinion_degree_solution,40,12.051094770431519,uniform,random,False
45,5,41120.125444143276,942,12933,opinion_degree_solution,40,12.051094770431519,uniform,random,False
46,6,41124.8895791372,940,12444,opinion_degree_solution,40,12.051094770431519,uniform,random,False
47,7,41046.46677102107,780,12088,opinion_degree_solution,40,12.051094770431519,uniform,random,False
48,8,41105.89403881597,892,12846,opinion_degree_solution,40,12.051094770431519,uniform,random,False
49,9,41076.737621991975,851,12161,opinion_degree_solution,40,12.051094770431519,uniform,random,False
50,0,41320.52723158338,1213,14932,opinion_degree_solution,50,12.466776132583618,uniform,random,False
51,1,41355.0881224695,1299,14752,opinion_degree_solution,50,12.466776132583618,uniform,random,False
52,2,41305.61337429863,1143,14336,opinion_degree_solution,50,12.466776132583618,uniform,random,False
53,3,41250.952048017454,1064,14069,opinion_degree_solution,50,12.466776132583618,uniform,random,False
54,4,41317.650411829985,1197,14333,opinion_degree_solution,50,12.466776132583618,uniform,random,False
55,5,41278.34251376437,1142,14679,opinion_degree_solution,50,12.466776132583618,uniform,random,False
56,6,41319.26682902134,1185,14898,opinion_degree_solution,50,12.466776132583618,uniform,random,False
57,7,41281.15794104178,1121,14493,opinion_degree_solution,50,12.466776132583618,uniform,random,False
58,8,41253.393380423535,1088,13991,opinion_degree_solution,50,12.466776132583618,uniform,random,False
59,9,41295.77233335829,1155,14572,opinion_degree_solution,50,12.466776132583618,uniform,random,False
