,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,41304.728516108975,36,1068,opinion_degree_solution,1,12.198721885681152,polarized,random,True
1,1,41299.63630429287,26,827,opinion_degree_solution,1,12.198721885681152,polarized,random,True
2,2,41299.8580102754,23,743,opinion_degree_solution,1,12.198721885681152,polarized,random,True
3,3,41295.605113050064,15,635,opinion_degree_solution,1,12.198721885681152,polarized,random,True
4,4,41291.71719688331,11,688,opinion_degree_solution,1,12.198721885681152,polarized,random,True
5,5,41295.205833842614,23,893,opinion_degree_solution,1,12.198721885681152,polarized,random,True
6,6,41299.451001343456,21,915,opinion_degree_solution,1,12.198721885681152,polarized,random,True
7,7,41296.89719851194,16,689,opinion_degree_solution,1,12.198721885681152,polarized,random,True
8,8,41291.310186104,11,651,opinion_degree_solution,1,12.198721885681152,polarized,random,True
9,9,41305.34547189096,29,1050,opinion_degree_solution,1,12.198721885681152,polarized,random,True
10,0,41136.548906274555,418,6453,opinion_degree_solution,10,11.925570011138916,polarized,random,True
11,1,41153.45180213732,456,7102,opinion_degree_solution,10,11.925570011138916,polarized,random,True
12,2,41133.35582107989,375,6300,opinion_degree_solution,10,11.925570011138916,polarized,random,True
13,3,41104.450327891944,350,6213,opinion_degree_solution,10,11.925570011138916,polarized,random,True
14,4,41130.526648181425,367,6334,opinion_degree_solution,10,11.925570011138916,polarized,random,True
15,5,41164.875397659875,471,6727,opinion_degree_solution,10,11.925570011138916,polarized,random,True
16,6,41159.22683219332,436,6710,opinion_degree_solution,10,11.925570011138916,polarized,random,True
17,7,41158.82848988248,438,7066,opinion_degree_solution,10,11.925570011138916,polarized,random,True
18,8,41139.058523733445,398,6474,opinion_degree_solution,10,11.925570011138916,polarized,random,True
19,9,41117.33660122395,361,6145,opinion_degree_solution,10,11.925570011138916,polarized,random,True
20,0,40417.84510772015,549,9193,opinion_degree_solution,20,12.054992914199829,polarized,random,True
21,1,40497.38569343622,706,9753,opinion_degree_solution,20,12.054992914199829,polarized,random,True
22,2,40459.297486440024,639,10069,opinion_degree_solution,20,12.054992914199829,polarized,random,True
23,3,40425.44776882616,572,10085,opinion_degree_solution,20,12.054992914199829,polarized,random,True
24,4,40397.1610435335,494,9234,opinion_degree_solution,20,12.054992914199829,polarized,random,True
25,5,40429.314316284,600,8898,opinion_degree_solution,20,12.054992914199829,polarized,random,True
26,6,40357.29104817961,415,8527,opinion_degree_solution,20,12.054992914199829,polarized,random,True
27,7,40421.840634827946,564,10187,opinion_degree_solution,20,12.054992914199829,polarized,random,True
28,8,40461.9837301765,628,9742,opinion_degree_solution,20,12.054992914199829,polarized,random,True
29,9,40337.573197042664,389,8253,opinion_degree_solution,20,12.054992914199829,polarized,random,True
30,0,41162.971416591,1073,12622,opinion_degree_solution,30,12.066068887710571,polarized,random,True
31,1,41150.0579396587,1024,12704,opinion_degree_solution,30,12.066068887710571,polarized,random,True
32,2,41090.00400356986,929,12348,opinion_degree_solution,30,12.066068887710571,polarized,random,True
33,3,41249.842040945725,1259,13410,opinion_degree_solution,30,12.066068887710571,polarized,random,True
34,4,41134.17189234844,1021,12390,opinion_degree_solution,30,12.066068887710571,polarized,random,True
35,5,41106.753762882356,951,12220,opinion_degree_solution,30,12.066068887710571,polarized,random,True
36,6,41140.28977587827,1015,12505,opinion_degree_solution,30,12.066068887710571,polarized,random,True
37,7,41166.216834240084,1100,13552,opinion_degree_solution,30,12.066068887710571,polarized,random,True
38,8,41152.99312607604,1031,12508,opinion_degree_solution,30,12.066068887710571,polarized,random,True
39,9,41245.77752396426,1205,13064,opinion_degree_solution,30,12.066068887710571,polarized,random,True
40,0,41526.951229615064,1331,15282,opinion_degree_solution,40,12.45340871810913,polarized,random,True
41,1,41602.02723019775,1456,16157,opinion_degree_solution,40,12.45340871810913,polarized,random,True
42,2,41562.49778965625,1382,15675,opinion_degree_solution,40,12.45340871810913,polarized,random,True
43,3,41589.67204453889,1435,15957,opinion_degree_solution,40,12.45340871810913,polarized,random,True
44,4,41574.59670957292,1437,16687,opinion_degree_solution,40,12.45340871810913,polarized,random,True
45,5,41517.70454444232,1335,14644,opinion_degree_solution,40,12.45340871810913,polarized,random,True
46,6,41420.382439369554,1090,14378,opinion_degree_solution,40,12.45340871810913,polarized,random,True
47,7,41446.384161118294,1195,14580,opinion_degree_solution,40,12.45340871810913,polarized,random,True
48,8,41542.62461304202,1351,15830,opinion_degree_solution,40,12.45340871810913,polarized,random,True
49,9,41375.00034108207,1056,13801,opinion_degree_solution,40,12.45340871810913,polarized,random,True
50,0,41042.364765111924,1178,15418,opinion_degree_solution,50,12.606521844863892,polarized,random,True
51,1,41176.32518600755,1402,16201,opinion_degree_solution,50,12.606521844863892,polarized,random,True
52,2,41238.08207874185,1573,16756,opinion_degree_solution,50,12.606521844863892,polarized,random,True
53,3,41112.27692079819,1281,15627,opinion_degree_solution,50,12.606521844863892,polarized,random,True
54,4,41220.101685368594,1506,16283,opinion_degree_solution,50,12.606521844863892,polarized,random,True
55,5,41180.539391455975,1385,15372,opinion_degree_solution,50,12.606521844863892,polarized,random,True
56,6,41233.413175041984,1494,16411,opinion_degree_solution,50,12.606521844863892,polarized,random,True
57,7,41266.32914937401,1581,16821,opinion_degree_solution,50,12.606521844863892,polarized,random,True
58,8,41237.99151670358,1481,16403,opinion_degree_solution,50,12.606521844863892,polarized,random,True
59,9,41081.45317646425,1233,15125,opinion_degree_solution,50,12.606521844863892,polarized,random,True
