,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,40510.70752427608,99,1957,opinion_degree_solution,1,14.995215892791748,uniform,random,True
1,1,40555.649647465456,192,2982,opinion_degree_solution,1,14.995215892791748,uniform,random,True
2,2,40493.673057242435,73,1684,opinion_degree_solution,1,14.995215892791748,uniform,random,True
3,3,40551.171050409095,182,2519,opinion_degree_solution,1,14.995215892791748,uniform,random,True
4,4,40497.92888315143,82,1809,opinion_degree_solution,1,14.995215892791748,uniform,random,True
5,5,40556.56216191552,209,3136,opinion_degree_solution,1,14.995215892791748,uniform,random,True
6,6,40505.232997732564,95,2435,opinion_degree_solution,1,14.995215892791748,uniform,random,True
7,7,40581.41369184606,246,3482,opinion_degree_solution,1,14.995215892791748,uniform,random,True
8,8,40554.783059483925,176,2858,opinion_degree_solution,1,14.995215892791748,uniform,random,True
9,9,40535.50441024386,165,2175,opinion_degree_solution,1,14.995215892791748,uniform,random,True
10,10,40486.25870622683,62,1892,opinion_degree_solution,1,14.995215892791748,uniform,random,True
11,11,40495.11714819106,67,1855,opinion_degree_solution,1,14.995215892791748,uniform,random,True
12,12,40487.92449776638,56,1746,opinion_degree_solution,1,14.995215892791748,uniform,random,True
13,13,40565.65191241683,201,2855,opinion_degree_solution,1,14.995215892791748,uniform,random,True
14,14,40513.65824766479,111,2044,opinion_degree_solution,1,14.995215892791748,uniform,random,True
15,15,40488.808925220714,64,1812,opinion_degree_solution,1,14.995215892791748,uniform,random,True
16,16,40498.19238767205,79,1934,opinion_degree_solution,1,14.995215892791748,uniform,random,True
17,17,40520.3304701921,124,2873,opinion_degree_solution,1,14.995215892791748,uniform,random,True
18,18,40508.80081547319,111,2176,opinion_degree_solution,1,14.995215892791748,uniform,random,True
19,19,40482.773472107794,53,1633,opinion_degree_solution,1,14.995215892791748,uniform,random,True
20,20,40486.79270474962,62,1845,opinion_degree_solution,1,14.995215892791748,uniform,random,True
21,21,40590.36430339884,248,3252,opinion_degree_solution,1,14.995215892791748,uniform,random,True
22,22,40562.09840880068,204,2609,opinion_degree_solution,1,14.995215892791748,uniform,random,True
23,23,40517.85305933536,107,1994,opinion_degree_solution,1,14.995215892791748,uniform,random,True
24,24,40484.0624454005,50,1594,opinion_degree_solution,1,14.995215892791748,uniform,random,True
25,25,40496.217994224855,82,2390,opinion_degree_solution,1,14.995215892791748,uniform,random,True
26,26,40546.711731669435,167,2808,opinion_degree_solution,1,14.995215892791748,uniform,random,True
27,27,40548.98883583975,186,3007,opinion_degree_solution,1,14.995215892791748,uniform,random,True
28,28,40513.72736550585,103,1971,opinion_degree_solution,1,14.995215892791748,uniform,random,True
29,29,40506.64910405683,96,1925,opinion_degree_solution,1,14.995215892791748,uniform,random,True
30,30,40522.82912284539,127,2255,opinion_degree_solution,1,14.995215892791748,uniform,random,True
31,31,40477.258972449665,44,1739,opinion_degree_solution,1,14.995215892791748,uniform,random,True
32,32,40490.54853377627,66,1745,opinion_degree_solution,1,14.995215892791748,uniform,random,True
33,33,40514.5681776613,109,2040,opinion_degree_solution,1,14.995215892791748,uniform,random,True
34,34,40565.143555150345,224,2702,opinion_degree_solution,1,14.995215892791748,uniform,random,True
35,35,40484.00159231074,49,1595,opinion_degree_solution,1,14.995215892791748,uniform,random,True
36,36,40563.94218617356,200,2693,opinion_degree_solution,1,14.995215892791748,uniform,random,True
37,37,40571.310500049505,218,2576,opinion_degree_solution,1,14.995215892791748,uniform,random,True
38,38,40482.373369021116,54,1726,opinion_degree_solution,1,14.995215892791748,uniform,random,True
39,39,40519.08029080376,126,2517,opinion_degree_solution,1,14.995215892791748,uniform,random,True
40,40,40497.898105621825,76,2107,opinion_degree_solution,1,14.995215892791748,uniform,random,True
41,41,40501.719266341446,85,2004,opinion_degree_solution,1,14.995215892791748,uniform,random,True
42,42,40516.073457031416,121,2253,opinion_degree_solution,1,14.995215892791748,uniform,random,True
43,43,40494.80821987025,77,2205,opinion_degree_solution,1,14.995215892791748,uniform,random,True
44,44,40560.00122614643,235,3728,opinion_degree_solution,1,14.995215892791748,uniform,random,True
45,45,40477.902449678775,35,1456,opinion_degree_solution,1,14.995215892791748,uniform,random,True
46,46,40506.40807515826,97,2157,opinion_degree_solution,1,14.995215892791748,uniform,random,True
47,47,40559.11313002426,204,3403,opinion_degree_solution,1,14.995215892791748,uniform,random,True
48,48,40538.86160741734,166,2474,opinion_degree_solution,1,14.995215892791748,uniform,random,True
49,49,40492.50898289347,65,1755,opinion_degree_solution,1,14.995215892791748,uniform,random,True
50,50,40566.8763564875,219,2529,opinion_degree_solution,1,14.995215892791748,uniform,random,True
51,51,40527.89125820283,139,2529,opinion_degree_solution,1,14.995215892791748,uniform,random,True
52,52,40506.25281636385,95,1993,opinion_degree_solution,1,14.995215892791748,uniform,random,True
53,53,40571.06955297143,208,2949,opinion_degree_solution,1,14.995215892791748,uniform,random,True
54,54,40498.37911074192,81,1863,opinion_degree_solution,1,14.995215892791748,uniform,random,True
55,55,40499.58274429393,69,1780,opinion_degree_solution,1,14.995215892791748,uniform,random,True
56,56,40512.999797786724,121,2402,opinion_degree_solution,1,14.995215892791748,uniform,random,True
57,57,40488.93650798536,58,1814,opinion_degree_solution,1,14.995215892791748,uniform,random,True
58,58,40486.23759141303,57,1712,opinion_degree_solution,1,14.995215892791748,uniform,random,True
59,59,40495.414365515564,75,2383,opinion_degree_solution,1,14.995215892791748,uniform,random,True
60,60,40493.18075441803,75,1707,opinion_degree_solution,1,14.995215892791748,uniform,random,True
61,61,40505.3931032508,92,2050,opinion_degree_solution,1,14.995215892791748,uniform,random,True
62,62,40508.4294759788,112,2252,opinion_degree_solution,1,14.995215892791748,uniform,random,True
63,63,40485.13974372693,49,1644,opinion_degree_solution,1,14.995215892791748,uniform,random,True
64,64,40508.50169452431,97,1820,opinion_degree_solution,1,14.995215892791748,uniform,random,True
65,65,40556.850468770885,205,2614,opinion_degree_solution,1,14.995215892791748,uniform,random,True
66,66,40532.92304427722,147,2223,opinion_degree_solution,1,14.995215892791748,uniform,random,True
67,67,40485.919551976986,59,1851,opinion_degree_solution,1,14.995215892791748,uniform,random,True
68,68,40485.05933228299,50,1619,opinion_degree_solution,1,14.995215892791748,uniform,random,True
69,69,40483.993168830726,56,2016,opinion_degree_solution,1,14.995215892791748,uniform,random,True
70,70,40494.12188387342,73,1891,opinion_degree_solution,1,14.995215892791748,uniform,random,True
71,71,40493.63576582463,70,2047,opinion_degree_solution,1,14.995215892791748,uniform,random,True
72,72,40564.74543352855,235,2695,opinion_degree_solution,1,14.995215892791748,uniform,random,True
73,73,40483.72522188167,58,1550,opinion_degree_solution,1,14.995215892791748,uniform,random,True
74,74,40486.77203145716,59,1701,opinion_degree_solution,1,14.995215892791748,uniform,random,True
75,75,40508.757128375495,96,2068,opinion_degree_solution,1,14.995215892791748,uniform,random,True
76,76,40525.0643781052,147,2403,opinion_degree_solution,1,14.995215892791748,uniform,random,True
77,77,40493.4339719249,67,1860,opinion_degree_solution,1,14.995215892791748,uniform,random,True
78,78,40495.22501667375,76,1910,opinion_degree_solution,1,14.995215892791748,uniform,random,True
79,79,40490.79794140445,69,1793,opinion_degree_solution,1,14.995215892791748,uniform,random,True
80,80,40499.896060155006,89,2389,opinion_degree_solution,1,14.995215892791748,uniform,random,True
81,81,40494.975881122555,69,1993,opinion_degree_solution,1,14.995215892791748,uniform,random,True
82,82,40530.55076721377,139,2469,opinion_degree_solution,1,14.995215892791748,uniform,random,True
83,83,40486.0727226636,59,1874,opinion_degree_solution,1,14.995215892791748,uniform,random,True
84,84,40494.18260779936,76,2088,opinion_degree_solution,1,14.995215892791748,uniform,random,True
85,85,40543.18186897029,170,2488,opinion_degree_solution,1,14.995215892791748,uniform,random,True
86,86,40491.228868504186,60,1987,opinion_degree_solution,1,14.995215892791748,uniform,random,True
87,87,40562.869826281705,218,3123,opinion_degree_solution,1,14.995215892791748,uniform,random,True
88,88,40486.154965800946,57,1644,opinion_degree_solution,1,14.995215892791748,uniform,random,True
89,89,40513.00825032973,100,2330,opinion_degree_solution,1,14.995215892791748,uniform,random,True
90,90,40512.93014468702,105,1853,opinion_degree_solution,1,14.995215892791748,uniform,random,True
91,91,40525.24998481732,134,2535,opinion_degree_solution,1,14.995215892791748,uniform,random,True
92,92,40479.34416642195,45,1535,opinion_degree_solution,1,14.995215892791748,uniform,random,True
93,93,40534.07484949441,162,2172,opinion_degree_solution,1,14.995215892791748,uniform,random,True
94,94,40501.91974161623,90,2018,opinion_degree_solution,1,14.995215892791748,uniform,random,True
95,95,40489.851519293945,67,1820,opinion_degree_solution,1,14.995215892791748,uniform,random,True
96,96,40494.98274695996,75,2188,opinion_degree_solution,1,14.995215892791748,uniform,random,True
97,97,40511.39964242088,113,2305,opinion_degree_solution,1,14.995215892791748,uniform,random,True
98,98,40535.74705869086,146,2096,opinion_degree_solution,1,14.995215892791748,uniform,random,True
99,99,40511.013271210766,114,2044,opinion_degree_solution,1,14.995215892791748,uniform,random,True
100,0,40662.79289614621,379,7921,opinion_degree_solution,10,12.785876035690308,uniform,random,True
101,1,40714.20505412663,457,8197,opinion_degree_solution,10,12.785876035690308,uniform,random,True
102,2,40749.02521511035,554,8897,opinion_degree_solution,10,12.785876035690308,uniform,random,True
103,3,40700.81143716194,469,8050,opinion_degree_solution,10,12.785876035690308,uniform,random,True
104,4,40690.88962171777,452,7927,opinion_degree_solution,10,12.785876035690308,uniform,random,True
105,5,40680.57339778882,448,8105,opinion_degree_solution,10,12.785876035690308,uniform,random,True
106,6,40841.9468175323,765,9392,opinion_degree_solution,10,12.785876035690308,uniform,random,True
107,7,40677.53138370267,424,8284,opinion_degree_solution,10,12.785876035690308,uniform,random,True
108,8,40739.148268094206,559,8529,opinion_degree_solution,10,12.785876035690308,uniform,random,True
109,9,40713.79469489648,490,8423,opinion_degree_solution,10,12.785876035690308,uniform,random,True
110,10,40778.88054294201,633,9838,opinion_degree_solution,10,12.785876035690308,uniform,random,True
111,11,40707.51613092092,478,7945,opinion_degree_solution,10,12.785876035690308,uniform,random,True
112,12,40755.7339206074,591,8837,opinion_degree_solution,10,12.785876035690308,uniform,random,True
113,13,40739.63787478878,535,8738,opinion_degree_solution,10,12.785876035690308,uniform,random,True
114,14,40693.36346430549,439,8302,opinion_degree_solution,10,12.785876035690308,uniform,random,True
115,15,40670.505816364195,423,7796,opinion_degree_solution,10,12.785876035690308,uniform,random,True
116,16,40720.680775517605,503,8785,opinion_degree_solution,10,12.785876035690308,uniform,random,True
117,17,40814.18451828941,706,9363,opinion_degree_solution,10,12.785876035690308,uniform,random,True
118,18,40764.64512961653,613,8844,opinion_degree_solution,10,12.785876035690308,uniform,random,True
119,19,40769.370640850466,578,8747,opinion_degree_solution,10,12.785876035690308,uniform,random,True
120,20,40795.60795939798,652,9427,opinion_degree_solution,10,12.785876035690308,uniform,random,True
121,21,40733.24171663153,535,8554,opinion_degree_solution,10,12.785876035690308,uniform,random,True
122,22,40669.86338601257,409,7985,opinion_degree_solution,10,12.785876035690308,uniform,random,True
123,23,40708.658778828125,493,8270,opinion_degree_solution,10,12.785876035690308,uniform,random,True
124,24,40747.72699240383,551,8934,opinion_degree_solution,10,12.785876035690308,uniform,random,True
125,25,40812.47761038766,719,9417,opinion_degree_solution,10,12.785876035690308,uniform,random,True
126,26,40692.61409581291,474,8500,opinion_degree_solution,10,12.785876035690308,uniform,random,True
127,27,40725.814578187135,529,8326,opinion_degree_solution,10,12.785876035690308,uniform,random,True
128,28,40684.86740862372,441,8127,opinion_degree_solution,10,12.785876035690308,uniform,random,True
129,29,40786.957473918745,650,9434,opinion_degree_solution,10,12.785876035690308,uniform,random,True
130,30,40684.3340632998,445,7862,opinion_degree_solution,10,12.785876035690308,uniform,random,True
131,31,40809.7696587296,681,9346,opinion_degree_solution,10,12.785876035690308,uniform,random,True
132,32,40716.056604453384,497,8113,opinion_degree_solution,10,12.785876035690308,uniform,random,True
133,33,40672.48464606321,397,7806,opinion_degree_solution,10,12.785876035690308,uniform,random,True
