,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,566980.4212311951,1,2,min_opinion_solution,1,1.147601842880249,polarized,random,False
1,1,566980.4212311951,1,2,min_opinion_solution,1,1.147601842880249,polarized,random,False
2,2,566980.4212311951,1,2,min_opinion_solution,1,1.147601842880249,polarized,random,False
3,3,566980.4212311951,1,2,min_opinion_solution,1,1.147601842880249,polarized,random,False
4,4,566980.4212311951,1,2,min_opinion_solution,1,1.147601842880249,polarized,random,False
5,5,566980.4212311951,1,2,min_opinion_solution,1,1.147601842880249,polarized,random,False
6,6,566980.4212311951,1,2,min_opinion_solution,1,1.147601842880249,polarized,random,False
7,7,566980.4212311951,1,2,min_opinion_solution,1,1.147601842880249,polarized,random,False
8,8,566981.3098318686,3,6,min_opinion_solution,1,1.147601842880249,polarized,random,False
9,9,566980.4212311951,1,2,min_opinion_solution,1,1.147601842880249,polarized,random,False
10,0,567941.649287678,194,680,min_opinion_solution,100,1.1305389404296875,polarized,random,False
11,1,567937.4243265945,189,676,min_opinion_solution,100,1.1305389404296875,polarized,random,False
12,2,567941.856384509,195,683,min_opinion_solution,100,1.1305389404296875,polarized,random,False
13,3,567945.3555294063,197,659,min_opinion_solution,100,1.1305389404296875,polarized,random,False
14,4,567938.7903049717,179,639,min_opinion_solution,100,1.1305389404296875,polarized,random,False
15,5,567947.7823320784,200,706,min_opinion_solution,100,1.1305389404296875,polarized,random,False
16,6,567954.8818276856,211,968,min_opinion_solution,100,1.1305389404296875,polarized,random,False
17,7,567987.3071826954,276,1710,min_opinion_solution,100,1.1305389404296875,polarized,random,False
18,8,567934.2654359812,180,635,min_opinion_solution,100,1.1305389404296875,polarized,random,False
19,9,567943.5773012068,207,797,min_opinion_solution,100,1.1305389404296875,polarized,random,False
20,0,567444.7552548627,302,1095,min_opinion_solution,200,1.1228458881378174,polarized,random,False
21,1,567428.2026055928,282,1003,min_opinion_solution,200,1.1228458881378174,polarized,random,False
22,2,567439.0050954882,296,1045,min_opinion_solution,200,1.1228458881378174,polarized,random,False
23,3,567498.7942134113,421,2575,min_opinion_solution,200,1.1228458881378174,polarized,random,False
24,4,567439.0406932574,300,1214,min_opinion_solution,200,1.1228458881378174,polarized,random,False
25,5,567449.9694798805,307,1075,min_opinion_solution,200,1.1228458881378174,polarized,random,False
26,6,567444.2435652881,301,1037,min_opinion_solution,200,1.1228458881378174,polarized,random,False
27,7,567447.7985442913,315,1094,min_opinion_solution,200,1.1228458881378174,polarized,random,False
28,8,567433.9340447376,287,998,min_opinion_solution,200,1.1228458881378174,polarized,random,False
29,9,567445.1298920636,299,1019,min_opinion_solution,200,1.1228458881378174,polarized,random,False
30,0,568420.7519710438,526,2467,min_opinion_solution,300,1.1263909339904785,polarized,random,False
31,1,568393.8423161265,489,2014,min_opinion_solution,300,1.1263909339904785,polarized,random,False
32,2,568402.4388732391,498,2086,min_opinion_solution,300,1.1263909339904785,polarized,random,False
33,3,568408.9159511761,504,2122,min_opinion_solution,300,1.1263909339904785,polarized,random,False
34,4,568414.7642336303,522,2207,min_opinion_solution,300,1.1263909339904785,polarized,random,False
35,5,568426.8439120835,553,2527,min_opinion_solution,300,1.1263909339904785,polarized,random,False
36,6,568374.3830523866,452,1954,min_opinion_solution,300,1.1263909339904785,polarized,random,False
37,7,568398.1743661668,490,2167,min_opinion_solution,300,1.1263909339904785,polarized,random,False
