,trial,opinion,activated,visited,algorithm,seed_size,algorithm_time,opinion_distr_func,ffm_distr_func,use_communities
0,0,567211.4839183382,1,3,min_opinion_solution,1,0.5892949104309082,uniform,random,False
1,1,567211.4839183382,1,3,min_opinion_solution,1,0.5892949104309082,uniform,random,False
2,2,567211.4839183382,1,3,min_opinion_solution,1,0.5892949104309082,uniform,random,False
3,3,567211.4839183382,1,3,min_opinion_solution,1,0.5892949104309082,uniform,random,False
4,4,567211.4839183382,1,3,min_opinion_solution,1,0.5892949104309082,uniform,random,False
5,5,567211.4839183382,1,3,min_opinion_solution,1,0.5892949104309082,uniform,random,False
6,6,567211.4839183382,1,3,min_opinion_solution,1,0.5892949104309082,uniform,random,False
7,7,567211.4839183382,1,3,min_opinion_solution,1,0.5892949104309082,uniform,random,False
8,8,567211.4839183382,1,3,min_opinion_solution,1,0.5892949104309082,uniform,random,False
9,9,567211.4839183382,1,3,min_opinion_solution,1,0.5892949104309082,uniform,random,False
10,0,568007.3690984906,162,638,min_opinion_solution,100,0.5920777320861816,uniform,random,False
11,1,568014.1704161313,170,633,min_opinion_solution,100,0.5920777320861816,uniform,random,False
12,2,568042.9156804269,225,975,min_opinion_solution,100,0.5920777320861816,uniform,random,False
13,3,568040.5765048311,215,786,min_opinion_solution,100,0.5920777320861816,uniform,random,False
14,4,568016.4619565207,189,994,min_opinion_solution,100,0.5920777320861816,uniform,random,False
15,5,568011.496768423,170,636,min_opinion_solution,100,0.5920777320861816,uniform,random,False
16,6,568032.0012600283,214,997,min_opinion_solution,100,0.5920777320861816,uniform,random,False
17,7,568029.9547475001,195,725,min_opinion_solution,100,0.5920777320861816,uniform,random,False
18,8,568010.7346976625,173,683,min_opinion_solution,100,0.5920777320861816,uniform,random,False
19,9,568025.8587911819,192,741,min_opinion_solution,100,0.5920777320861816,uniform,random,False
20,0,568076.7068975626,617,3671,min_opinion_solution,200,0.5948448181152344,uniform,random,False
21,1,568039.0711341939,555,2836,min_opinion_solution,200,0.5948448181152344,uniform,random,False
22,2,568025.9993139968,540,2603,min_opinion_solution,200,0.5948448181152344,uniform,random,False
23,3,568032.78229433,540,3056,min_opinion_solution,200,0.5948448181152344,uniform,random,False
24,4,568049.349546279,570,3113,min_opinion_solution,200,0.5948448181152344,uniform,random,False
25,5,568037.1385341411,553,2744,min_opinion_solution,200,0.5948448181152344,uniform,random,False
26,6,568022.6686916649,532,2525,min_opinion_solution,200,0.5948448181152344,uniform,random,False
27,7,568047.9912927651,593,3227,min_opinion_solution,200,0.5948448181152344,uniform,random,False
28,8,568021.5676460372,533,2584,min_opinion_solution,200,0.5948448181152344,uniform,random,False
29,9,568039.7374029281,551,2688,min_opinion_solution,200,0.5948448181152344,uniform,random,False
30,0,567227.5532752072,538,2334,min_opinion_solution,300,0.6006300449371338,uniform,random,False
31,1,567202.3506692481,477,2162,min_opinion_solution,300,0.6006300449371338,uniform,random,False
32,2,567192.4110848923,467,2077,min_opinion_solution,300,0.6006300449371338,uniform,random,False
33,3,567232.4033248257,549,2568,min_opinion_solution,300,0.6006300449371338,uniform,random,False
34,4,567241.8468536261,572,2607,min_opinion_solution,300,0.6006300449371338,uniform,random,False
35,5,567262.8418356724,610,2702,min_opinion_solution,300,0.6006300449371338,uniform,random,False
36,6,567225.156677285,535,2626,min_opinion_solution,300,0.6006300449371338,uniform,random,False
37,7,567225.752772548,535,2327,min_opinion_solution,300,0.6006300449371338,uniform,random,False
38,8,567254.5645705811,597,3294,min_opinion_solution,300,0.6006300449371338,uniform,random,False
39,9,567243.1248134694,567,2528,min_opinion_solution,300,0.6006300449371338,uniform,random,False
40,0,568181.9156467646,782,3503,min_opinion_solution,400,0.582763671875,uniform,random,False
41,1,568181.6755942616,788,4046,min_opinion_solution,400,0.582763671875,uniform,random,False
42,2,568242.2332074633,936,5494,min_opinion_solution,400,0.582763671875,uniform,random,False
43,3,568110.5402279723,659,2688,min_opinion_solution,400,0.582763671875,uniform,random,False
44,4,568140.2815008105,701,3356,min_opinion_solution,400,0.582763671875,uniform,random,False
45,5,568117.0882184588,666,3208,min_opinion_solution,400,0.582763671875,uniform,random,False
46,6,568138.4529695456,713,3015,min_opinion_solution,400,0.582763671875,uniform,random,False
47,7,568105.2460961431,640,2931,min_opinion_solution,400,0.582763671875,uniform,random,False
48,8,568151.8279963124,715,3239,min_opinion_solution,400,0.582763671875,uniform,random,False
49,9,568132.4370811336,693,3103,min_opinion_solution,400,0.582763671875,uniform,random,False
50,0,567811.3882832071,802,3433,min_opinion_solution,500,0.5854249000549316,uniform,random,False
51,1,567829.3485077712,819,3777,min_opinion_solution,500,0.5854249000549316,uniform,random,False
52,2,567852.8069833046,873,4236,min_opinion_solution,500,0.5854249000549316,uniform,random,False
53,3,567800.895891277,775,3391,min_opinion_solution,500,0.5854249000549316,uniform,random,False
54,4,567808.9265797806,793,3569,min_opinion_solution,500,0.5854249000549316,uniform,random,False
55,5,567849.1223304875,862,4015,min_opinion_solution,500,0.5854249000549316,uniform,random,False
56,6,568025.7678008449,1217,5164,min_opinion_solution,500,0.5854249000549316,uniform,random,False
57,7,567899.562053462,961,4219,min_opinion_solution,500,0.5854249000549316,uniform,random,False
58,8,567870.0109667098,908,3935,min_opinion_solution,500,0.5854249000549316,uniform,random,False
59,9,567795.6999091269,775,3330,min_opinion_solution,500,0.5854249000549316,uniform,random,False
60,0,568062.5888590746,975,3615,min_opinion_solution,600,0.5918869972229004,uniform,random,False
61,1,568063.1063192909,984,3716,min_opinion_solution,600,0.5918869972229004,uniform,random,False
62,2,568060.5571594732,963,3417,min_opinion_solution,600,0.5918869972229004,uniform,random,False
63,3,568183.7079324002,1196,4747,min_opinion_solution,600,0.5918869972229004,uniform,random,False
64,4,568055.5438408781,977,3700,min_opinion_solution,600,0.5918869972229004,uniform,random,False
65,5,568035.6508294065,921,3593,min_opinion_solution,600,0.5918869972229004,uniform,random,False
66,6,568054.2357941117,956,3483,min_opinion_solution,600,0.5918869972229004,uniform,random,False
67,7,568032.1756291288,909,3476,min_opinion_solution,600,0.5918869972229004,uniform,random,False
68,8,568099.0301602784,1063,3861,min_opinion_solution,600,0.5918869972229004,uniform,random,False
69,9,568041.8047808982,929,3412,min_opinion_solution,600,0.5918869972229004,uniform,random,False
70,0,568474.8467116569,1071,4279,min_opinion_solution,700,0.6108999252319336,uniform,random,False
71,1,568461.470635696,1050,3992,min_opinion_solution,700,0.6108999252319336,uniform,random,False
72,2,568514.0070210906,1144,4509,min_opinion_solution,700,0.6108999252319336,uniform,random,False
73,3,568484.0142940504,1070,3943,min_opinion_solution,700,0.6108999252319336,uniform,random,False
74,4,568462.8610646927,1058,3970,min_opinion_solution,700,0.6108999252319336,uniform,random,False
75,5,568439.6655223955,1027,3748,min_opinion_solution,700,0.6108999252319336,uniform,random,False
76,6,568475.651351485,1083,4152,min_opinion_solution,700,0.6108999252319336,uniform,random,False
77,7,568506.2467490541,1150,4267,min_opinion_solution,700,0.6108999252319336,uniform,random,False
78,8,568497.805104018,1115,4015,min_opinion_solution,700,0.6108999252319336,uniform,random,False
79,9,568495.9054081119,1107,4333,min_opinion_solution,700,0.6108999252319336,uniform,random,False
