,trial,opinion,activated,algorithm,seed_size,algorithm_time
0,0,522.9300661378173,19,fast_LAIM_solution,1,0.8180580139160156
1,1,512.9088591748379,11,fast_LAIM_solution,1,0.814100980758667
2,2,516.5236083415388,17,fast_LAIM_solution,1,0.8015680313110352
3,3,504.63584883677436,10,fast_LAIM_solution,1,0.8006160259246826
4,4,507.2616812836764,22,fast_LAIM_solution,1,0.8017380237579346
5,5,523.2643910527054,11,fast_LAIM_solution,1,0.797558069229126
6,6,516.0993540855867,22,fast_LAIM_solution,1,0.7985789775848389
7,7,499.90318304309426,13,fast_LAIM_solution,1,0.8033368587493896
8,8,515.4057414704179,9,fast_LAIM_solution,1,0.7986769676208496
9,9,505.4829563256529,8,fast_LAIM_solution,1,0.8033130168914795
10,0,540.1007187966769,84,fast_LAIM_solution,10,0.8101198673248291
11,1,564.8874890414934,93,fast_LAIM_solution,10,0.8032159805297852
12,2,550.3827286703211,94,fast_LAIM_solution,10,0.8013651371002197
13,3,527.3569754646916,84,fast_LAIM_solution,10,0.798194169998169
14,4,552.1405858118261,72,fast_LAIM_solution,10,0.7979691028594971
15,5,533.4754264713492,72,fast_LAIM_solution,10,0.8004233837127686
16,6,549.4301538378546,88,fast_LAIM_solution,10,0.8179957866668701
17,7,556.7399416224399,98,fast_LAIM_solution,10,0.816093921661377
18,8,539.0970295627699,78,fast_LAIM_solution,10,0.8092858791351318
19,9,539.6693388944142,89,fast_LAIM_solution,10,0.8035569190979004
20,0,562.743651221214,122,fast_LAIM_solution,20,0.8033487796783447
21,1,575.8047144763283,134,fast_LAIM_solution,20,0.8168110847473145
22,2,572.0820290396092,131,fast_LAIM_solution,20,0.8046169281005859
23,3,582.8150861562854,143,fast_LAIM_solution,20,0.8025407791137695
24,4,568.9460537435376,143,fast_LAIM_solution,20,0.8065280914306641
25,5,571.7787237686123,134,fast_LAIM_solution,20,0.8049428462982178
26,6,565.7899278146124,123,fast_LAIM_solution,20,0.8035368919372559
27,7,556.1323653822891,103,fast_LAIM_solution,20,0.8051619529724121
28,8,582.5272498700501,139,fast_LAIM_solution,20,0.8062291145324707
29,9,588.4192825357902,150,fast_LAIM_solution,20,0.806135892868042
30,0,582.0492887154851,158,fast_LAIM_solution,30,0.8087630271911621
31,1,589.7774604976536,179,fast_LAIM_solution,30,0.8074901103973389
32,2,585.7405457627576,171,fast_LAIM_solution,30,0.8070938587188721
33,3,586.2824832197646,171,fast_LAIM_solution,30,0.8060917854309082
34,4,574.7072775886468,162,fast_LAIM_solution,30,0.8166558742523193
35,5,572.7285167785845,156,fast_LAIM_solution,30,0.8045480251312256
36,6,583.320347029569,175,fast_LAIM_solution,30,0.8112268447875977
37,7,581.6653498232556,139,fast_LAIM_solution,30,0.820479154586792
38,8,574.2760687869813,153,fast_LAIM_solution,30,0.8161191940307617
39,9,587.4222094491362,166,fast_LAIM_solution,30,0.8029189109802246
40,0,599.4206859817849,199,fast_LAIM_solution,40,0.8077402114868164
41,1,605.1270599953792,192,fast_LAIM_solution,40,0.8186957836151123
42,2,581.0537191566976,169,fast_LAIM_solution,40,0.8104100227355957
43,3,615.8962754561414,210,fast_LAIM_solution,40,0.8055582046508789
44,4,606.0684447017027,192,fast_LAIM_solution,40,0.8060469627380371
45,5,614.7320011112611,235,fast_LAIM_solution,40,0.8071370124816895
46,6,595.5078372291189,186,fast_LAIM_solution,40,0.8095779418945312
47,7,602.2924856302899,204,fast_LAIM_solution,40,0.8088181018829346
48,8,595.5065598135224,190,fast_LAIM_solution,40,0.8171348571777344
49,9,590.4054448259614,206,fast_LAIM_solution,40,0.8072249889373779
50,0,607.2215018450352,210,fast_LAIM_solution,50,0.8118641376495361
51,1,630.6976668909329,241,fast_LAIM_solution,50,0.8066461086273193
52,2,617.4519282259897,229,fast_LAIM_solution,50,0.8100049495697021
53,3,621.6783766766482,236,fast_LAIM_solution,50,0.8084049224853516
54,4,613.2513254679199,215,fast_LAIM_solution,50,0.808934211730957
55,5,607.6732322286518,213,fast_LAIM_solution,50,0.8156299591064453
56,6,622.5581397207601,245,fast_LAIM_solution,50,0.8082058429718018
57,7,606.2387856075701,215,fast_LAIM_solution,50,0.8057599067687988
58,8,610.8089340549782,200,fast_LAIM_solution,50,0.8106238842010498
59,9,603.6253918338084,220,fast_LAIM_solution,50,0.8083882331848145
60,0,641.656501423938,267,fast_LAIM_solution,60,0.8098266124725342
61,1,612.9211721098116,226,fast_LAIM_solution,60,0.809840202331543
62,2,631.9425324172526,241,fast_LAIM_solution,60,0.8093051910400391
63,3,625.7670252731465,240,fast_LAIM_solution,60,0.8108022212982178
64,4,644.9772718485603,237,fast_LAIM_solution,60,0.8093607425689697
65,5,615.825007155549,243,fast_LAIM_solution,60,0.80861496925354
66,6,625.7294210541845,244,fast_LAIM_solution,60,0.8088748455047607
67,7,621.5542381315587,238,fast_LAIM_solution,60,0.8102338314056396
68,8,614.093874996462,247,fast_LAIM_solution,60,0.8098998069763184
69,9,615.188911330071,238,fast_LAIM_solution,60,0.8153631687164307
70,0,639.2010228635064,268,fast_LAIM_solution,70,0.8111488819122314
71,1,638.0366686511509,292,fast_LAIM_solution,70,0.808790922164917
72,2,633.8053012532861,267,fast_LAIM_solution,70,0.8111200332641602
73,3,639.9426771073073,253,fast_LAIM_solution,70,0.8097710609436035
74,4,627.9363129446181,271,fast_LAIM_solution,70,0.8109102249145508
75,5,623.5948748018175,278,fast_LAIM_solution,70,0.8090622425079346
76,6,650.1843908452189,287,fast_LAIM_solution,70,0.8115770816802979
77,7,648.2959453432555,276,fast_LAIM_solution,70,0.8093907833099365
78,8,621.8544478468405,255,fast_LAIM_solution,70,0.8121170997619629
79,9,631.0874131779234,259,fast_LAIM_solution,70,0.8397631645202637
80,0,661.7344188832083,306,fast_LAIM_solution,80,0.824394941329956
81,1,656.2777154669984,300,fast_LAIM_solution,80,0.831428050994873
82,2,653.2102704415933,272,fast_LAIM_solution,80,0.8252718448638916
83,3,639.405646747491,286,fast_LAIM_solution,80,0.8147768974304199
84,4,643.2358009697983,263,fast_LAIM_solution,80,0.8133728504180908
85,5,650.7148446851983,279,fast_LAIM_solution,80,0.8134689331054688
86,6,643.007360056026,288,fast_LAIM_solution,80,0.8132731914520264
87,7,642.2764820995881,269,fast_LAIM_solution,80,0.812593936920166
88,8,644.1176055770527,290,fast_LAIM_solution,80,0.8135271072387695
89,9,641.9174484908262,307,fast_LAIM_solution,80,0.8130240440368652
90,0,672.7044426343031,322,fast_LAIM_solution,90,0.8166201114654541
91,1,658.818436042338,299,fast_LAIM_solution,90,0.813075065612793
92,2,656.6828110499406,311,fast_LAIM_solution,90,0.8130199909210205
93,3,655.7417913055438,304,fast_LAIM_solution,90,0.8165707588195801
94,4,652.1045374043789,297,fast_LAIM_solution,90,0.818342924118042
95,5,636.5585140175057,284,fast_LAIM_solution,90,0.8393428325653076
96,6,673.1796623962654,334,fast_LAIM_solution,90,0.8309497833251953
97,7,645.4186527421374,296,fast_LAIM_solution,90,0.8147571086883545
98,8,685.4957226122064,355,fast_LAIM_solution,90,0.8166368007659912
99,9,652.636470700445,279,fast_LAIM_solution,90,0.818809986114502
100,0,683.4936203766136,350,fast_LAIM_solution,100,0.8170287609100342
101,1,659.3783962003688,322,fast_LAIM_solution,100,0.8148269653320312
102,2,660.4120683923435,320,fast_LAIM_solution,100,0.8306622505187988
103,3,680.579553738145,340,fast_LAIM_solution,100,0.8201501369476318
104,4,663.3853816929349,317,fast_LAIM_solution,100,0.8216650485992432
105,5,688.7697308001262,342,fast_LAIM_solution,100,0.8156208992004395
106,6,663.7908875631416,328,fast_LAIM_solution,100,0.8147678375244141
107,7,659.6387828186781,316,fast_LAIM_solution,100,0.8164370059967041
108,8,669.6052123212678,341,fast_LAIM_solution,100,0.8259148597717285
109,9,647.5079659356171,306,fast_LAIM_solution,100,0.8135631084442139
0,0,497.77329993809303,11,LAIM_solution,1,3.255908250808716
1,1,509.6203761801347,36,LAIM_solution,1,3.291857957839966
2,2,509.0149184341752,9,LAIM_solution,1,3.234921932220459
3,3,511.5249059760102,15,LAIM_solution,1,3.2428698539733887
4,4,506.693314674412,18,LAIM_solution,1,3.2387101650238037
5,5,510.94186008110756,11,LAIM_solution,1,3.232102870941162
6,6,493.8795668843834,7,LAIM_solution,1,3.232830047607422
7,7,504.19286102210845,10,LAIM_solution,1,3.2154550552368164
8,8,515.5399730349355,11,LAIM_solution,1,3.2271668910980225
9,9,513.084892219477,9,LAIM_solution,1,3.2315731048583984
10,0,535.9540520123801,71,LAIM_solution,10,31.114673852920532
11,1,544.5552769335504,95,LAIM_solution,10,31.078447818756104
12,2,538.8627847020363,86,LAIM_solution,10,30.9293110370636
13,3,557.1353770092586,105,LAIM_solution,10,31.128063917160034
14,4,544.6463416413187,76,LAIM_solution,10,31.17476987838745
15,5,538.4294815850063,81,LAIM_solution,10,30.933999061584473
16,6,547.4886720833716,71,LAIM_solution,10,30.999075889587402
17,7,539.0681810745834,73,LAIM_solution,10,31.114192962646484
18,8,542.0066262339633,78,LAIM_solution,10,31.191537141799927
19,9,539.7666426050271,95,LAIM_solution,10,31.127536058425903
20,0,576.2804866496474,123,LAIM_solution,20,60.299896001815796
21,1,568.9600972837617,126,LAIM_solution,20,60.42043900489807
22,2,577.2822577583419,110,LAIM_solution,20,60.386906147003174
23,3,562.4281927019877,136,LAIM_solution,20,60.51911187171936
24,4,559.3742856083295,129,LAIM_solution,20,61.09711313247681
25,5,554.877049679747,94,LAIM_solution,20,60.421469926834106
26,6,568.4728756490474,128,LAIM_solution,20,60.451295137405396
27,7,578.4860547045553,156,LAIM_solution,20,60.58251619338989
28,8,557.9679093540298,130,LAIM_solution,20,60.379817962646484
29,9,563.813063902012,125,LAIM_solution,20,60.47983908653259
30,0,577.8545068814531,155,LAIM_solution,30,88.91232585906982
31,1,607.6311378947279,196,LAIM_solution,30,88.08375310897827
32,2,604.2261664062878,174,LAIM_solution,30,88.14793801307678
33,3,578.0296275096692,170,LAIM_solution,30,88.21259021759033
34,4,578.9531681163685,161,LAIM_solution,30,87.70900678634644
35,5,572.9228869695726,152,LAIM_solution,30,88.02704882621765
36,6,594.6911418260402,172,LAIM_solution,30,88.40386199951172
37,7,593.3550978751128,196,LAIM_solution,30,87.8576488494873
38,8,590.9247916716039,160,LAIM_solution,30,87.76741671562195
39,9,572.4252983670794,167,LAIM_solution,30,94.51687026023865
40,0,613.2227440349977,201,LAIM_solution,40,122.93038487434387
41,1,577.6971760254872,169,LAIM_solution,40,120.84996509552002
42,2,607.3695774205192,204,LAIM_solution,40,112.54027795791626
43,3,597.167273621951,179,LAIM_solution,40,112.28499603271484
44,4,607.5730215105054,182,LAIM_solution,40,112.1685700416565
45,5,592.5602396044662,167,LAIM_solution,40,111.98985481262207
46,6,602.2320568312475,212,LAIM_solution,40,112.81870174407959
